stem,category,view,split,group,dhash
train_001,scratch,face,train,0,9f73e1ccc8f979bd
train_002,scratch,face,train,1,0671e0d4d0c8f8e0
train_003,scratch,face,train,2,dc72e8dcd0c0e0e2
train_004,scratch,face,train,3,ec52d8d0d2c2f0f0
train_005,scratch,face,train,4,c8b666e4fcdcf8f8
train_006,scratch,face,train,5,1068ece4f4dc7838
train_007,scratch,face,train,6,1f71e8e8f4ec7939
train_008,scratch,side,train,7,7e78f8d4e4c8e8e6
train_009,scratch,oblique,train,8,3ce2c9c8c8e8f0f3
train_010,scratch,side,train,9,7274f4f4f4f8781d
train_011,scratch,face,train,10,8ff1f0d0f0f0e0c1
train_012,scratch,face,train,11,96e9e8d0b0f0e1c2
train_013,scratch,oblique,train,12,1771f4e6664c7838
train_014,scratch,face,train,13,0671c8ecd0f0f1e2
train_015,scratch,oblique,train,14,1f79fcf4e4e8f9e6
train_016,scratch,oblique,train,15,1679e8ccf4f0f1e6
train_017,normal,side,train,16,f272fbd3d3d9cbc3
train_018,normal,side,train,17,f9f9fdd0d8d4e8cc
train_019,normal,side,train,17,f979fcd0d8d0e9c9
train_020,scratch,face,train,18,0670f8c8f0f0f1f0
train_021,normal,face,train,19,a671f8f4c4f0f0fc
train_022,normal,face,train,20,6f71d8f0f0e474fc
train_023,missing_tooth,face,val,21,0773f0f4f0f8f1f0
train_024,missing_tooth,face,val,21,1c73f0f4f0f9f1f2
train_025,missing_tooth,face,val,21,0e72f0f4f0f9f1f0
train_026,missing_tooth,face,val,21,0e72f0f4f0f9f1d1
train_027,missing_tooth,face,val,21,0e72f0f4f0f9f1d0
train_028,missing_tooth,oblique,train,22,edfbd0d8d8d0c7cd
train_029,missing_tooth,oblique,train,22,edfbd0d8d8d0c3cd
train_030,missing_tooth,oblique,train,23,f8fbd0d8d8d4d3d9
train_031,normal,face,train,24,a77958d0e4e4f0f0
train_032,normal,face,train,24,a771d8dce4ecf078
train_033,normal,face,val,25,0573f9d8f0f0f0f0
train_034,normal,face,val,25,0473f9d8f4f0f0f0
train_035,normal,face,val,25,0773f9d8d0f0f1f0
train_036,normal,face,val,25,0671f9d8f4f0f1f0
train_037,normal,face,val,25,1573f9d8d4f0f8f0
train_038,missing_tooth,side,train,26,e9f1d0d8d8ece0f3
train_039,missing_tooth,side,train,27,b478f8d4c8c8e8e6
train_040,missing_tooth,side,val,28,b468e8d4d8c8e8e6
train_041,normal,face,train,29,966968f4c4ccf878
train_042,normal,face,train,30,073968d8d4e4f078
train_043,missing_tooth,oblique,val,31,2779f9ecf0f8f1e3
train_044,normal,oblique,val,31,0779f8ecf0f8f9e3
train_045,missing_tooth,oblique,val,31,0771f9ecd8d8e1e3
train_046,missing_tooth,oblique,val,31,1779f8ecf0f8f9e7
train_047,missing_tooth,oblique,val,31,2779f8e4f8f8f1c7
train_048,missing_tooth,side,train,32,f678f8d0f8d8e8c6
train_049,missing_tooth,side,train,33,fe7cfcd8f0f8e8cc
train_050,missing_tooth,side,train,32,fc7cfcd0d8d8e9cc
train_051,normal,face,train,34,0d3168d4e0ccf8f8
train_052,normal,face,train,35,4e31d8d8f4e47078
train_053,missing_tooth,oblique,train,36,8d72f1e8f8f87979
train_054,missing_tooth,face,train,36,1d72f1e8f8f87879
train_055,missing_tooth,oblique,train,36,2d72f9e8f0f8f9f1
train_056,missing_tooth,oblique,train,36,1c72f9e8f0f8f9f1
train_057,missing_tooth,oblique,train,36,0c72f9e8f8f8f9f1
train_058,missing_tooth,side,train,37,be64ecd4ccc8e8cc
train_059,missing_tooth,side,train,38,f468e8d4dcd8e8c4
train_060,missing_tooth,side,train,38,3e78ecd4dcd8e8c6
train_061,normal,face,train,39,1771f8f4cce87078
train_062,normal,face,train,40,edb1d8f0f4e470fc
train_063,missing_tooth,face,train,41,0d73f0f4f0f8f0e2
train_064,missing_tooth,face,train,41,2d73f0f4f0f8f0e2
train_065,missing_tooth,face,train,42,73f0f4f4f0f9f0e6
train_066,missing_tooth,face,train,42,73f0f4f4f0f9f0e6
train_067,missing_tooth,face,train,41,0d73f0f4f4f0f0e6
train_068,missing_tooth,oblique,train,43,dbeff5d8d8f1e666
train_069,missing_tooth,oblique,train,44,dbffd4d8d8d1e6ce
train_070,missing_tooth,oblique,train,45,dbffd0d8d8d0e6cc
train_071,scratch,face,train,46,9c7868f4d0ecec78
train_072,scratch,face,train,47,0f51d8dcc4cce478
train_073,scratch,oblique,train,48,0671f9e8f8f8f9f3
train_074,scratch,oblique,train,48,8f79f8dcd8f8f9e2
