stem,binary_label,source_category,view,split,group,dhash
train_001,defect,scratch,face,train,0,9f73e1ccc8f979bd
train_002,defect,scratch,face,train,1,0671e0d4d0c8f8e0
train_003,defect,scratch,face,train,2,dc72e8dcd0c0e0e2
train_004,defect,scratch,face,train,3,ec52d8d0d2c2f0f0
train_005,defect,scratch,face,train,4,c8b666e4fcdcf8f8
train_006,defect,scratch,face,train,5,1068ece4f4dc7838
train_007,defect,scratch,face,train,6,1f71e8e8f4ec7939
train_008,defect,scratch,side,train,7,7e78f8d4e4c8e8e6
train_009,defect,scratch,oblique,train,8,3ce2c9c8c8e8f0f3
train_010,defect,scratch,side,train,9,7274f4f4f4f8781d
train_011,defect,scratch,face,train,10,8ff1f0d0f0f0e0c1
train_012,defect,scratch,face,train,11,96e9e8d0b0f0e1c2
train_013,defect,scratch,oblique,train,12,1771f4e6664c7838
train_014,defect,scratch,face,train,13,0671c8ecd0f0f1e2
train_015,defect,scratch,oblique,train,14,1f79fcf4e4e8f9e6
train_016,defect,scratch,oblique,train,15,1679e8ccf4f0f1e6
train_017,normal,normal,side,train,16,f272fbd3d3d9cbc3
train_018,normal,normal,side,train,17,f9f9fdd0d8d4e8cc
train_019,normal,normal,side,train,17,f979fcd0d8d0e9c9
train_020,defect,scratch,face,train,18,0670f8c8f0f0f1f0
train_021,normal,normal,face,train,19,a671f8f4c4f0f0fc
train_022,normal,normal,face,train,20,6f71d8f0f0e474fc
train_023,defect,missing_tooth,face,val,21,0773f0f4f0f8f1f0
train_024,defect,missing_tooth,face,val,21,1c73f0f4f0f9f1f2
train_025,defect,missing_tooth,face,val,21,0e72f0f4f0f9f1f0
train_026,defect,missing_tooth,face,val,21,0e72f0f4f0f9f1d1
train_027,defect,missing_tooth,face,val,21,0e72f0f4f0f9f1d0
train_028,defect,missing_tooth,oblique,train,22,edfbd0d8d8d0c7cd
train_029,defect,missing_tooth,oblique,train,22,edfbd0d8d8d0c3cd
train_030,defect,missing_tooth,oblique,train,23,f8fbd0d8d8d4d3d9
train_031,normal,normal,face,train,24,a77958d0e4e4f0f0
train_032,normal,normal,face,train,24,a771d8dce4ecf078
train_033,normal,normal,face,val,25,0573f9d8f0f0f0f0
train_034,normal,normal,face,val,25,0473f9d8f4f0f0f0
train_035,normal,normal,face,val,25,0773f9d8d0f0f1f0
train_036,normal,normal,face,val,25,0671f9d8f4f0f1f0
train_037,normal,normal,face,val,25,1573f9d8d4f0f8f0
train_038,defect,missing_tooth,side,train,26,e9f1d0d8d8ece0f3
train_039,defect,missing_tooth,side,train,27,b478f8d4c8c8e8e6
train_040,defect,missing_tooth,side,val,28,b468e8d4d8c8e8e6
train_041,normal,normal,face,train,29,966968f4c4ccf878
train_042,normal,normal,face,train,30,073968d8d4e4f078
train_043,defect,missing_tooth,oblique,val,31,2779f9ecf0f8f1e3
train_044,normal,normal,oblique,val,31,0779f8ecf0f8f9e3
train_045,defect,missing_tooth,oblique,val,31,0771f9ecd8d8e1e3
train_046,defect,missing_tooth,oblique,val,31,1779f8ecf0f8f9e7
train_047,defect,missing_tooth,oblique,val,31,2779f8e4f8f8f1c7
train_048,defect,missing_tooth,side,train,32,f678f8d0f8d8e8c6
train_049,defect,missing_tooth,side,train,33,fe7cfcd8f0f8e8cc
train_050,defect,missing_tooth,side,train,32,fc7cfcd0d8d8e9cc
train_051,normal,normal,face,train,34,0d3168d4e0ccf8f8
train_052,normal,normal,face,train,35,4e31d8d8f4e47078
train_053,defect,missing_tooth,oblique,train,36,8d72f1e8f8f87979
train_054,defect,missing_tooth,face,train,36,1d72f1e8f8f87879
train_055,defect,missing_tooth,oblique,train,36,2d72f9e8f0f8f9f1
train_056,defect,missing_tooth,oblique,train,36,1c72f9e8f0f8f9f1
train_057,defect,missing_tooth,oblique,train,36,0c72f9e8f8f8f9f1
train_058,defect,missing_tooth,side,train,37,be64ecd4ccc8e8cc
train_059,defect,missing_tooth,side,train,38,f468e8d4dcd8e8c4
train_060,defect,missing_tooth,side,train,38,3e78ecd4dcd8e8c6
train_061,normal,normal,face,train,39,1771f8f4cce87078
train_062,normal,normal,face,train,40,edb1d8f0f4e470fc
train_063,defect,missing_tooth,face,train,41,0d73f0f4f0f8f0e2
train_064,defect,missing_tooth,face,train,41,2d73f0f4f0f8f0e2
train_065,defect,missing_tooth,face,train,42,73f0f4f4f0f9f0e6
train_066,defect,missing_tooth,face,train,42,73f0f4f4f0f9f0e6
train_067,defect,missing_tooth,face,train,41,0d73f0f4f4f0f0e6
train_068,defect,missing_tooth,oblique,train,43,dbeff5d8d8f1e666
train_069,defect,missing_tooth,oblique,train,44,dbffd4d8d8d1e6ce
train_070,defect,missing_tooth,oblique,train,45,dbffd0d8d8d0e6cc
train_071,defect,scratch,face,train,46,9c7868f4d0ecec78
train_072,defect,scratch,face,train,47,0f51d8dcc4cce478
train_073,defect,scratch,oblique,train,48,0671f9e8f8f8f9f3
train_074,defect,scratch,oblique,train,48,8f79f8dcd8f8f9e2
train_075,defect,scratch,oblique,train,48,8f79f9ccd8f8f9e3
train_076,defect,scratch,oblique,train,48,af71f1cccce8f9f3
train_077,defect,scratch,oblique,train,48,af71f9ecdcf8f9f3
train_078,defect,scratch,side,train,49,bcf8f8e4d0cce4e7
train_079,normal,normal,side,val,28,b478e8d4d8d8e8e6
train_080,defect,scratch,side,val,28,7c78f8d4d8d8e8c6
train_081,normal,normal,face,train,50,9779e8f4cce8f0f8
train_082,defect,missing_tooth,face,train,41,2d73f0f4f0f0f0e6
train_083,defect,missing_tooth,face,train,41,a973f0f4f0f0f1e4
train_084,defect,missing_tooth,face,train,41,2d73f0f4f0f8f0e6
train_085,defect,missing_tooth,face,train,41,a973f0f4f0f8f1e4
train_086,defect,missing_tooth,face,train,41,b973f0f4f0f8f1f0
train_087,defect,missing_tooth,oblique,val,51,dbdbf0d8d8d0cbcd
train_088,defect,missing_tooth,oblique,val,51,dbfbf0d8d8c4d3db
train_089,defect,missing_tooth,oblique,val,51,dbdbd0d8d8c4d3db
train_090,normal,normal,face,train,52,a471d8f0f0e478ec
train_091,defect,scratch,face,train,53,1e7178f4f4e4f878
train_092,defect,scratch,face,train,54,0f71e8d4d4c4f0f8
train_093,defect,scratch,oblique,train,55,8ff3f1e8d0fcf071
train_094,normal,normal,oblique,train,55,8ef2f1e9d0fcf8f3
train_095,defect,scratch,oblique,train,55,0cf2f1e9d8f8f873
train_096,defect,scratch,oblique,train,55,8ef2f9e8d0f8f8f3
train_097,defect,scratch,oblique,train,56,1ef3f1e4d0fcf0f3
train_098,normal,normal,side,train,57,fc7cecd0c0d4e8cc
train_099,defect,scratch,side,train,58,fc7cecd0d0c0c8c8
train_100,defect,scratch,side,train,58,f87cf4d0c4d0c9c9
train_101,normal,normal,face,train,59,a571e8fcc4e4f0f8
train_102,normal,normal,face,train,60,4a71d8dcece470f8
train_103,normal,normal,oblique,val,61,0d72f1d8d0fcf871
train_104,defect,scratch,oblique,val,61,4f73f1c8f8fcf871
train_105,normal,normal,oblique,val,61,0d73f1e8f0fcf871
train_106,normal,normal,oblique,val,61,8d72f9e8f4fcf871
train_107,defect,scratch,oblique,val,61,9ff3f1d8d8fcf873
train_108,normal,normal,side,train,62,e9f1f1c0c4e4f4f2
train_109,normal,normal,side,train,63,f9f9f9d0c0f4e4e6
train_110,normal,normal,side,train,64,f9e9e9d0d4f4e4e4
train_111,defect,scratch,face,train,65,ae31d8d4d4e4f078
train_112,defect,scratch,face,train,66,1e7178f8f4c4f870
train_113,defect,scratch,oblique,val,67,0d62f1d8f0f87879
train_114,defect,scratch,oblique,val,67,1c72f1d8c8ec7078
train_115,defect,scratch,face,val,67,0d72f1d8d8f8f879
train_116,defect,scratch,face,val,67,1d73f9c8d8e8f879
train_117,defect,scratch,oblique,val,67,1c72f1c8f8f8f871
train_118,normal,normal,side,train,68,b3f3f1d1f86cf0f3
train_119,normal,normal,side,train,69,f9f9f9d4ccece0e6
train_120,defect,scratch,side,train,70,dde9f9d4d0f8e8e5
train_121,normal,normal,face,train,71,df70f8f4ccf870be
train_122,normal,normal,face,train,72,9f70f0d4f6f2f4fa
train_123,defect,missing_tooth,face,train,73,9b61e0f0f0f97130
train_124,normal,normal,face,train,73,9361e0f0f0f97171
train_125,normal,normal,face,train,73,9971f0f4f0f97160
train_126,defect,missing_tooth,face,train,73,db61e0f4f0f97171
train_127,defect,missing_tooth,face,train,73,9b61e0f4f0f97131
train_128,defect,missing_tooth,oblique,train,74,9f7171f0ecece87c
train_129,defect,missing_tooth,oblique,train,74,f77171f0dcecf87d
train_130,defect,missing_tooth,oblique,train,75,df7171f0fcecfc3d
train_131,normal,normal,face,train,76,9ff0e0f2f2f8789c
train_132,normal,normal,face,train,76,9f70e4f2f6f8781c
train_133,normal,normal,oblique,train,77,9e71ecdcf0e87036
train_134,defect,missing_tooth,oblique,train,78,9e71e8dcf8e8783c
train_135,normal,normal,oblique,train,78,8e71e8dcf8f8701e
train_136,normal,normal,oblique,train,78,8e71e8dcf8f0703e
train_137,defect,missing_tooth,oblique,train,78,8e71ecdcf8f8703e
train_138,defect,missing_tooth,side,test,79,1ff8dcd8fcf8f070
train_139,defect,missing_tooth,side,test,79,fff8ecd8f4f8f070
train_140,normal,normal,side,test,79,fff8c8d0f4f8f070
train_141,normal,normal,face,test,80,9970e4f2f478381f
train_142,normal,normal,face,test,80,9f70e0d2f4f8781f
train_143,defect,missing_tooth,oblique,train,78,ce71e0dcd8f8701e
train_144,defect,missing_tooth,oblique,test,81,ce31e4dcd8e8703f
train_145,defect,missing_tooth,oblique,test,81,ce396cdcf8f07037
train_146,defect,missing_tooth,oblique,test,81,ce71e4dcd8e87036
train_147,defect,missing_tooth,oblique,train,78,8671ecdcd8f8703e
train_148,defect,missing_tooth,side,train,82,5ffcecd8e4f8e064
train_149,defect,missing_tooth,side,train,83,9ff8ccd8f8fcf074
train_150,defect,missing_tooth,side,train,84,9ff8ccd8e8f8f870
train_151,defect,scratch,face,test,80,9f70f8d2f4f8781f
train_152,defect,scratch,face,train,85,9974f6f6f2f8781f
train_153,defect,scratch,oblique,train,78,8e71e8dcd8e8703c
train_154,normal,normal,oblique,train,86,8f78e4d8f0e8703a
train_155,defect,scratch,oblique,train,87,9e79ecccece87030
train_156,defect,scratch,oblique,train,86,8671ecd8c8e8703a
train_157,defect,scratch,oblique,train,86,8671ecd8c8e8701f
train_158,normal,normal,side,test,88,fe70cccce8f87030
train_159,defect,scratch,side,train,89,fff8fcdcfce87070
train_160,defect,scratch,side,test,88,ff60c8d8f0e87030
train_161,defect,scratch,face,test,80,9f70e0f2f0f8781f
train_162,normal,normal,face,test,80,df70f0d2f4f8781f
train_163,defect,missing_tooth,oblique,test,90,9671e0dcfcf8789c
train_164,defect,missing_tooth,oblique,test,90,9671e0dcdcf87038
train_165,defect,missing_tooth,oblique,test,90,9671e0dcdcf8701f
train_166,defect,missing_tooth,oblique,test,90,9671e0dcdcf8703c
train_167,defect,missing_tooth,oblique,test,90,8e71e0dcdcf87019
train_168,defect,missing_tooth,side,test,79,fbf8ecd8fcf0f034
train_169,defect,missing_tooth,side,test,79,fff8ecd8f0f8f070
train_170,defect,missing_tooth,side,test,79,fff8ecd8ecf8f074
train_171,defect,scratch,face,train,91,9974f0d2f4f8701f
train_172,normal,normal,face,train,91,dff0f0f2f4f8709f
train_173,normal,normal,oblique,train,78,8f71e8dcf8f0703a
train_174,normal,normal,oblique,test,81,8e31ecdcd8e8703e
train_175,normal,normal,oblique,test,81,9e71ecdcd8e87037
train_176,normal,normal,oblique,test,81,ce71ecdcd8e8703e
train_177,normal,normal,oblique,test,81,ce71ecdcd8f0703f
train_178,normal,normal,side,train,92,fff0dcd8e0f8f070
train_179,normal,normal,side,train,92,fe70ccd8e0f87034
train_180,normal,normal,side,train,92,ff70ccd8f0f8f030
train_181,normal,normal,face,train,93,9c70e8f4fcf8701f
train_182,normal,normal,face,train,94,ddf1f0f0f0f0f0fe
train_183,normal,normal,face,train,95,9f61f0dce8f0f85f
train_184,defect,missing_tooth,face,train,95,1f70e4dcf8f0f89e
train_185,defect,missing_tooth,face,train,95,1370f0dce8f8f81e
train_186,defect,missing_tooth,oblique,train,95,1b70e4dcecf8f89e
train_187,defect,missing_tooth,face,train,95,1f70e4dce8f8f09e
train_188,defect,missing_tooth,oblique,train,96,fff4fcdcf0f0f07b
train_189,defect,missing_tooth,oblique,train,97,2ff4f4fcf070f03c
train_190,defect,missing_tooth,oblique,train,98,37fcf4dcf070f03e
train_191,normal,normal,face,train,93,9e70ecf4fcf8701f
train_192,normal,normal,face,train,99,9e71e0f2f0f8729f
