source_image,crop_path,box_index,class_id,confidence,x1,y1,x2,y2,pad_x1,pad_y1,pad_x2,pad_y2,image_width,image_height
test\test_001.jpg,crops\test\test_001.jpg,1,0,0.987711,1129.36,424.25,1500.06,801.75,1055,349,1574,877,2560,1440
test\test_002.jpg,crops\test\test_002.jpg,1,0,0.985694,1104.59,175.43,1487.28,542.94,1028,102,1564,616,2560,1440
test\test_003.jpg,crops\test\test_003.jpg,1,0,0.884845,1184.68,249.88,1585.47,525.51,1105,195,1666,581,2560,1440
test\test_004.jpg,crops\test\test_004.jpg,1,0,0.973946,1178.87,386.99,1565.54,788.10,1102,307,1643,868,2560,1440
test\test_005.jpg,crops\test\test_005.jpg,1,0,0.883532,1173.77,174.58,1549.13,525.61,1099,104,1624,596,2560,1440
test\test_006.jpg,crops\test\test_006.jpg,1,0,0.706799,1188.50,237.48,1666.35,444.93,1093,196,1762,486,2560,1440
test\test_007.jpg,crops\test\test_007.jpg,1,0,0.872699,1204.90,464.31,1473.02,746.11,1151,408,1527,802,2560,1440
test\test_008.jpg,crops\test\test_008.jpg,1,0,0.979150,1214.00,290.94,1469.43,475.50,1163,254,1521,512,2560,1440
test\test_009.jpg,crops\test\test_009.jpg,1,0,0.881996,1208.98,503.66,1450.06,583.31,1161,488,1498,599,2560,1440
test\test_010.jpg,crops\test\test_010.jpg,1,0,0.975741,1208.79,496.58,1482.50,781.24,1154,440,1537,838,2560,1440
test\test_011.jpg,crops\test\test_011.jpg,1,0,0.964241,1197.44,265.98,1477.29,488.19,1141,222,1533,533,2560,1440
test\test_012.jpg,crops\test\test_012.jpg,1,0,0.885461,924.79,391.89,1222.57,522.16,865,366,1282,548,2560,1440
test\test_013.jpg,crops\test\test_013.jpg,1,0,0.973873,1258.60,482.79,1505.36,748.49,1209,430,1555,802,2560,1440
test\test_014.jpg,crops\test\test_014.jpg,1,0,0.881610,1228.70,416.31,1481.71,613.25,1178,377,1532,653,2560,1440
test\test_015.jpg,crops\test\test_015.jpg,1,0,0.955880,1095.13,706.60,1355.65,803.19,1043,687,1408,823,2560,1440
test\test_016.jpg,crops\test\test_016.jpg,1,0,0.967966,1286.68,579.57,1525.28,846.05,1239,526,1573,899,2560,1440
test\test_017.jpg,crops\test\test_017.jpg,1,0,0.965705,1332.85,386.19,1601.34,586.84,1279,346,1655,627,2560,1440
test\test_018.jpg,crops\test\test_018.jpg,1,0,0.792622,1209.98,497.99,1444.94,577.51,1163,482,1492,593,2560,1440
test\test_019.jpg,crops\test\test_019.jpg,1,0,0.920297,1309.46,620.47,1539.44,872.56,1263,570,1585,923,2560,1440
test\test_020.jpg,crops\test\test_020.jpg,1,0,0.980989,1381.07,414.00,1640.68,613.92,1329,374,1693,654,2560,1440
test\test_021.jpg,crops\test\test_021.jpg,1,0,0.711364,1291.72,392.14,1545.91,474.48,1241,376,1597,491,2560,1440
test\test_022.jpg,crops\test\test_022.jpg,1,0,0.972272,1325.05,658.50,1545.27,885.97,1281,613,1589,931,2560,1440
test\test_023.jpg,crops\test\test_023.jpg,1,0,0.935605,1286.26,418.02,1548.70,618.60,1234,378,1601,659,2560,1440
test\test_024.jpg,crops\test\test_024.jpg,1,0,0.759328,1262.89,494.38,1515.22,577.61,1212,478,1566,594,2560,1440
test\test_025.jpg,crops\test\test_025.jpg,1,0,0.975970,1310.70,571.75,1546.91,818.85,1263,522,1594,868,2560,1440
test\test_026.jpg,crops\test\test_026.jpg,1,0,0.986288,1259.04,362.44,1522.36,553.36,1206,324,1575,592,2560,1440
test\test_027.jpg,crops\test\test_027.jpg,1,0,0.639215,1220.66,389.20,1479.87,470.93,1169,373,1532,487,2560,1440
test\test_028.jpg,crops\test\test_028.jpg,1,0,0.971433,1228.80,667.04,1422.97,874.10,1190,626,1462,916,2560,1440
test\test_029.jpg,crops\test\test_029.jpg,1,0,0.976446,1120.21,413.47,1361.77,581.94,1072,380,1410,616,2560,1440
test\test_030.jpg,crops\test\test_030.jpg,1,0,0.830624,1125.13,596.84,1352.32,678.03,1080,581,1398,694,2560,1440
test\test_031.jpg,crops\test\test_031.jpg,1,0,0.983184,1139.52,471.02,1447.46,783.51,1078,409,1509,846,2560,1440
test\test_032.jpg,crops\test\test_032.jpg,1,0,0.980407,1030.83,262.82,1363.70,564.47,964,202,1430,625,2560,1440
test\test_033.jpg,crops\test\test_033.jpg,1,0,0.923714,1138.35,380.85,1465.24,600.05,1073,337,1531,644,2560,1440
test\test_034.jpg,crops\test\test_034.jpg,1,0,0.970603,1301.65,485.45,1504.18,700.31,1261,442,1545,743,2560,1440
test\test_035.jpg,crops\test\test_035.jpg,1,0,0.976232,1266.44,381.88,1507.27,543.77,1218,350,1555,576,2560,1440
test\test_036.jpg,crops\test\test_036.jpg,1,0,0.932061,1158.67,384.21,1390.91,461.90,1112,369,1437,477,2560,1440
test\test_037.jpg,crops\test\test_037.jpg,1,0,0.685236,1317.92,485.79,1535.37,709.97,1274,441,1579,755,2560,1440
