stem,source_split,split,defect,classes,boxes,difficult_boxes,has_difficult,all_difficult,width,height,sha256,dhash,image,xml
train_001,train,val,0,,0,0,0,0,689,678,eeeef32fa5dcd0a861d034b44e1153f547d3c7b1882f387417bda6bffd3fb0c1,608c1e3337068600,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_001.jpg,
train_002,train,train,0,,0,0,0,0,521,519,4fc250109377b8940363ad34faa975f87698cc7be242932be0e6927a1763c193,e98e1f2b2f37071f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_002.jpg,
train_003,train,train,0,,0,0,0,0,606,633,96f3c90f6238c5a1eebaa2b015785353e111891105109a609f87719945565127,238c17232f3f1f1d,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_003.jpg,
train_004,train,train,0,,0,0,0,0,527,533,0294aa51578d0c6e17e6cf63e14ffebfe459fd9c0a643ee3574c22496bac63eb,13ad272f2d3d0f0f,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_004.jpg,
train_005,train,train,0,,0,0,0,0,564,568,866602a9eba1d271ccbd5166eb880cd4e83375041c9207b1ec8241f538ea85aa,2649991b03230707,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_005.jpg,
train_006,train,train,0,,0,0,0,0,489,555,c8cbce2939f87489520cc5e82079f0ea6390cf3ac2608181f797425a89bf617c,ef97131b0b238747,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_006.jpg,
train_007,train,train,0,,0,0,0,0,641,689,5d350e3f5f447d997ef74e8945afea484d22daf38b4af53130310aca4101f336,608e17170b138646,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_007.jpg,
train_008,train,train,0,,0,0,0,0,307,677,42281200f7235df5e6b742048ba75aee2ef688e10b84986ec229c2c151a6bbc2,0187070b1b371619,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_008.jpg,
train_009,train,val,0,,0,0,0,0,430,724,52f75b49da5b8a38a8077f9f8b76d094021dca6ddb4245654b3ff902b56a0d1d,c31d363737170f0c,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_009.jpg,
train_010,train,val,0,,0,0,0,0,329,665,a78b72f5ddbf28d5057edb5b39dfa4d23c716e4a4eb1fd636b931cb606fa9933,8d8b030b0b0787e2,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_010.jpg,
train_011,train,train,0,,0,0,0,0,657,654,2bdedc6fa62c6a4398ff6b107185c564eac1adc4f68e95058d039ee4ae7abfef,300e0f2f0b0f1f36,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_011.jpg,
train_012,train,val,0,,0,0,0,0,659,660,2a12d10717d68da7a17f2fbc1b28d23331b7ae2a07edc2305db05bb9e5608eb6,6916172f4f0f1e3d,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_012.jpg,
train_013,train,train,0,,0,0,0,0,569,716,6cbb727c9b6e664ff580cbf76abf025477e34aa576a2c5fe5a75ddde8cbe6be9,e08e0b1999b387c3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_013.jpg,
