left,right,reason,dhash_distance,correlation
train_025,train_026,dhash_2,2,0.9839892387390137
train_025,train_027,dhash_2,2,0.9872661828994751
train_026,train_027,dhash_0,0,0.9865436553955078
train_033,train_035,adjacent_correlated,4,0.9916781187057495
train_034,train_035,dhash_1,1,0.9861258864402771
train_034,train_036,dhash_1,1,0.9820203185081482
train_035,train_036,dhash_2,2,0.979581892490387
train_035,train_037,adjacent_correlated,4,0.9867516756057739
train_036,train_037,adjacent_correlated,6,0.9899842739105225
train_044,train_046,adjacent_correlated,5,0.9892985820770264
train_053,train_054,dhash_2,2,0.976057231426239
train_055,train_056,adjacent_correlated,3,0.9865176677703857
train_063,train_082,dhash_2,2,-1.0
train_063,train_084,dhash_1,1,-1.0
train_065,train_066,dhash_0,0,0.996537446975708
train_067,train_082,dhash_1,1,-1.0
train_074,train_075,dhash_2,2,0.9604239463806152
train_079,train_080,dhash_1,1,0.9744536876678467
train_082,train_083,adjacent_correlated,5,0.9870049357414246
train_082,train_084,adjacent_correlated,3,0.9917314052581787
train_083,train_085,dhash_2,2,0.9904125332832336
train_084,train_085,adjacent_correlated,4,0.9856454133987427
train_084,train_086,adjacent_correlated,5,0.9855519533157349
train_088,train_089,dhash_2,2,0.9362002015113831
train_115,train_117,adjacent_correlated,6,0.9868394732475281
train_123,train_124,dhash_1,1,0.9868983030319214
train_124,train_126,dhash_2,2,0.980550229549408
train_124,train_127,dhash_2,2,-1.0
train_126,train_127,adjacent_correlated,4,0.9860999584197998
train_132,train_301,dhash_2,2,-1.0
train_133,train_134,dhash_2,2,0.9784559011459351
train_133,train_135,adjacent_correlated,5,0.9905519485473633
train_133,train_147,dhash_2,2,-1.0
train_133,train_173,dhash_2,2,-1.0
train_133,train_215,dhash_2,2,-1.0
train_133,train_216,dhash_2,2,-1.0
train_133,train_225,dhash_2,2,-1.0
train_133,train_226,dhash_0,0,-1.0
train_133,train_228,dhash_1,1,-1.0
train_133,train_265,dhash_2,2,-1.0
train_133,train_267,dhash_1,1,-1.0
train_133,train_323,dhash_1,1,-1.0
train_133,train_324,dhash_2,2,-1.0
train_133,train_325,dhash_2,2,-1.0
train_133,train_326,dhash_1,1,-1.0
train_133,train_327,dhash_2,2,-1.0
train_133,train_335,dhash_1,1,-1.0
train_133,train_337,dhash_1,1,-1.0
train_133,train_348,dhash_1,1,-1.0
train_133,train_355,dhash_1,1,-1.0
train_133,train_357,dhash_2,2,-1.0
train_133,train_358,dhash_1,1,-1.0
train_133,train_384,dhash_2,2,-1.0
train_133,train_385,dhash_1,1,-1.0
train_133,train_386,dhash_1,1,-1.0
train_133,train_387,dhash_2,2,-1.0
train_133,train_414,dhash_1,1,-1.0
train_133,train_415,dhash_1,1,-1.0
train_133,train_416,dhash_1,1,-1.0
train_133,train_427,dhash_1,1,-1.0
train_133,train_434,dhash_1,1,-1.0
train_133,train_435,dhash_2,2,-1.0
train_133,train_436,dhash_1,1,-1.0
train_133,train_437,dhash_1,1,-1.0
train_133,train_465,dhash_2,2,-1.0
train_133,train_467,dhash_1,1,-1.0
train_133,train_477,dhash_2,2,-1.0
train_133,train_494,dhash_2,2,-1.0
train_134,train_136,adjacent_correlated,4,0.9880919456481934
train_134,train_173,dhash_2,2,-1.0
train_134,train_214,dhash_2,2,-1.0
train_134,train_215,dhash_0,0,-1.0
train_134,train_216,dhash_0,0,-1.0
train_134,train_217,dhash_2,2,-1.0
train_134,train_224,dhash_2,2,-1.0
train_134,train_226,dhash_2,2,-1.0
train_134,train_265,dhash_2,2,-1.0
train_134,train_267,dhash_1,1,-1.0
train_134,train_277,dhash_1,1,-1.0
train_134,train_306,dhash_2,2,-1.0
train_134,train_323,dhash_1,1,-1.0
train_134,train_324,dhash_0,0,-1.0
train_134,train_325,dhash_2,2,-1.0
train_134,train_326,dhash_1,1,-1.0
train_134,train_327,dhash_0,0,-1.0
train_134,train_333,dhash_1,1,-1.0
train_134,train_335,dhash_1,1,-1.0
train_134,train_336,dhash_1,1,-1.0
train_134,train_337,dhash_1,1,-1.0
train_134,train_348,dhash_1,1,-1.0
train_134,train_355,dhash_1,1,-1.0
train_134,train_358,dhash_1,1,-1.0
train_134,train_384,dhash_2,2,-1.0
train_134,train_385,dhash_1,1,-1.0
train_134,train_386,dhash_1,1,-1.0
train_134,train_397,dhash_1,1,-1.0
train_134,train_413,dhash_2,2,-1.0
train_134,train_414,dhash_1,1,-1.0
train_134,train_415,dhash_1,1,-1.0
train_134,train_424,dhash_2,2,-1.0
train_134,train_427,dhash_1,1,-1.0
train_134,train_434,dhash_1,1,-1.0
train_134,train_435,dhash_2,2,-1.0
train_134,train_436,dhash_1,1,-1.0
train_134,train_437,dhash_1,1,-1.0
train_134,train_443,dhash_2,2,-1.0
train_134,train_444,dhash_1,1,-1.0
train_134,train_445,dhash_1,1,-1.0
train_134,train_446,dhash_2,2,-1.0
train_134,train_447,dhash_1,1,-1.0
train_134,train_465,dhash_2,2,-1.0
train_134,train_467,dhash_1,1,-1.0
train_135,train_136,adjacent_correlated,3,0.9897638559341431
train_135,train_457,dhash_2,2,-1.0
train_136,train_137,adjacent_correlated,3,0.9888865351676941
train_136,train_173,dhash_2,2,-1.0
train_137,train_228,dhash_2,2,-1.0
train_138,train_139,dhash_2,2,0.9693310260772705
train_139,train_308,dhash_2,2,-1.0
train_142,train_282,dhash_1,1,-1.0
train_142,train_322,dhash_2,2,-1.0
train_142,train_332,dhash_2,2,-1.0
train_143,train_147,dhash_2,2,-1.0
train_143,train_153,dhash_2,2,-1.0
train_143,train_174,dhash_2,2,-1.0
train_143,train_176,dhash_2,2,-1.0
train_143,train_454,dhash_2,2,-1.0
train_143,train_455,dhash_2,2,-1.0
train_144,train_174,dhash_2,2,-1.0
train_144,train_176,dhash_2,2,-1.0
train_145,train_146,adjacent_correlated,5,0.9879012107849121
train_146,train_174,dhash_1,1,-1.0
train_146,train_176,dhash_1,1,-1.0
train_147,train_153,dhash_2,2,-1.0
train_147,train_174,dhash_2,2,-1.0
train_147,train_176,dhash_2,2,-1.0
train_147,train_177,dhash_2,2,-1.0
train_147,train_226,dhash_2,2,-1.0
train_147,train_494,dhash_2,2,-1.0
train_151,train_162,dhash_2,2,-1.0
train_151,train_281,dhash_2,2,-1.0
train_153,train_325,dhash_2,2,-1.0
train_156,train_157,adjacent_correlated,3,0.986508309841156
train_157,train_175,dhash_1,1,-1.0
train_162,train_253,dhash_2,2,-1.0
train_162,train_281,dhash_0,0,-1.0
train_162,train_322,dhash_2,2,-1.0
train_162,train_332,dhash_2,2,-1.0
train_162,train_343,dhash_2,2,-1.0
train_162,train_411,dhash_2,2,-1.0
train_162,train_412,dhash_2,2,-1.0
train_162,train_451,dhash_2,2,-1.0
train_162,train_471,dhash_1,1,-1.0
train_163,train_164,adjacent_correlated,5,0.9862640500068665
train_164,train_165,dhash_2,2,0.9778828620910645
train_164,train_166,dhash_2,2,0.9860717058181763
train_165,train_166,dhash_2,2,0.9800469875335693
train_165,train_167,dhash_1,1,0.984588623046875
train_166,train_167,adjacent_correlated,3,0.9945871829986572
train_166,train_463,dhash_2,2,-1.0
train_169,train_170,dhash_2,2,0.9877378344535828
train_172,train_471,dhash_2,2,-1.0
train_173,train_215,dhash_2,2,-1.0
train_173,train_216,dhash_2,2,-1.0
train_173,train_224,dhash_2,2,-1.0
train_173,train_226,dhash_2,2,-1.0
train_173,train_228,dhash_1,1,-1.0
train_173,train_265,dhash_2,2,-1.0
train_173,train_267,dhash_1,1,-1.0
train_173,train_323,dhash_1,1,-1.0
train_173,train_324,dhash_2,2,-1.0
train_173,train_325,dhash_2,2,-1.0
train_173,train_326,dhash_1,1,-1.0
train_173,train_327,dhash_2,2,-1.0
train_173,train_335,dhash_1,1,-1.0
train_173,train_337,dhash_1,1,-1.0
train_173,train_355,dhash_1,1,-1.0
train_173,train_358,dhash_1,1,-1.0
train_173,train_384,dhash_2,2,-1.0
train_173,train_385,dhash_1,1,-1.0
train_173,train_386,dhash_1,1,-1.0
train_173,train_414,dhash_1,1,-1.0
train_173,train_415,dhash_1,1,-1.0
train_173,train_425,dhash_1,1,-1.0
train_173,train_426,dhash_2,2,-1.0
train_173,train_427,dhash_1,1,-1.0
train_173,train_434,dhash_1,1,-1.0
train_173,train_435,dhash_2,2,-1.0
train_173,train_436,dhash_1,1,-1.0
train_173,train_437,dhash_1,1,-1.0
train_173,train_445,dhash_1,1,-1.0
train_173,train_465,dhash_2,2,-1.0
train_173,train_467,dhash_1,1,-1.0
train_173,train_477,dhash_2,2,-1.0
train_173,train_494,dhash_2,2,-1.0
train_174,train_176,dhash_0,0,0.974416971206665
train_174,train_177,dhash_2,2,-1.0
train_174,train_454,dhash_2,2,-1.0
train_175,train_176,adjacent_correlated,3,0.9895231127738953
train_175,train_177,adjacent_correlated,3,0.9955152273178101
train_175,train_285,dhash_2,2,-1.0
train_176,train_177,dhash_2,2,0.987308144569397
train_176,train_454,dhash_2,2,-1.0
train_178,train_308,dhash_2,2,-1.0
train_179,train_180,adjacent_correlated,8,0.9894505143165588
train_181,train_191,dhash_2,2,-1.0
train_181,train_232,dhash_2,2,-1.0
