stem,split,defect,boxes,kept_boxes,difficult_boxes,excluded,reason,image,xml
train_001,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_001.jpg,
train_002,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_002.jpg,
train_003,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_003.jpg,
train_004,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_004.jpg,
train_005,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_005.jpg,
train_006,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_006.jpg,
train_007,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_007.jpg,
train_008,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_008.jpg,
train_009,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_009.jpg,
train_010,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_010.jpg,
train_011,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_011.jpg,
train_012,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_012.jpg,
train_013,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_013.jpg,
train_014,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_014.jpg,
train_015,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_015.jpg,
train_016,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_016.jpg,
train_017,val,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_017.jpg,
train_018,train,0,0,0,0,0,,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_missing_tooth\train_018.jpg,
