stem,split,label,boxes,image,xml,width,height,dhash,sha256,excluded_from_train,exclusion_reason
train_001,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_001.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_001.xml,689,678,608c1e3337068600,eeeef32fa5dcd0a861d034b44e1153f547d3c7b1882f387417bda6bffd3fb0c1,False,
train_002,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_002.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_002.xml,521,519,e98e1f2b2f37071f,4fc250109377b8940363ad34faa975f87698cc7be242932be0e6927a1763c193,False,
train_003,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_003.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_003.xml,606,633,238c17232f3f1f1d,96f3c90f6238c5a1eebaa2b015785353e111891105109a609f87719945565127,False,
train_004,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_004.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_004.xml,527,533,13ad272f2d3d0f0f,0294aa51578d0c6e17e6cf63e14ffebfe459fd9c0a643ee3574c22496bac63eb,False,
train_005,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_005.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_005.xml,564,568,2649991b03230707,866602a9eba1d271ccbd5166eb880cd4e83375041c9207b1ec8241f538ea85aa,False,
train_006,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_006.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_006.xml,489,555,ef97131b0b238747,c8cbce2939f87489520cc5e82079f0ea6390cf3ac2608181f797425a89bf617c,False,
train_007,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_007.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_007.xml,641,689,608e17170b138646,5d350e3f5f447d997ef74e8945afea484d22daf38b4af53130310aca4101f336,False,
train_008,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_008.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_008.xml,307,677,0187070b1b371619,42281200f7235df5e6b742048ba75aee2ef688e10b84986ec229c2c151a6bbc2,False,
train_010,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_010.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_010.xml,329,665,8d8b030b0b0787e2,a78b72f5ddbf28d5057edb5b39dfa4d23c716e4a4eb1fd636b931cb606fa9933,False,
train_011,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_011.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_011.xml,657,654,300e0f2f0b0f1f36,2bdedc6fa62c6a4398ff6b107185c564eac1adc4f68e95058d039ee4ae7abfef,False,
train_012,train,scratch,4,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_012.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_012.xml,659,660,6916172f4f0f1e3d,2a12d10717d68da7a17f2fbc1b28d23331b7ae2a07edc2305db05bb9e5608eb6,False,
train_013,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_013.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_013.xml,569,716,e08e0b1999b387c3,6cbb727c9b6e664ff580cbf76abf025477e34aa576a2c5fe5a75ddde8cbe6be9,False,
train_014,train,scratch,3,F:\Work\VSCode\Projects\DATASET\dataset_defects\images\train_scratch\train_014.jpg,F:\Work\VSCode\Projects\DATASET\dataset_defects\annotations\train_scratch\train_014.xml,584,717,f98e37130f070e1d,7c1889987ec9e771294c25c7cb903802fc7a0fa4162feb9dfb069ab3498f4d99,False,
