stem,split,source_category,action,boxes
train_001,train,scratch,included,4
train_002,train,scratch,included,4
train_003,train,scratch,included,3
train_004,train,scratch,included,3
train_005,train,scratch,included,3
train_006,train,scratch,included,3
train_007,train,scratch,included,3
train_008,train,scratch,included,3
train_009,val,scratch,included,1
train_010,train,scratch,included,3
train_011,train,scratch,included,4
train_012,train,scratch,included,4
train_013,train,scratch,included,3
train_014,train,scratch,included,3
train_015,train,scratch,included,3
train_016,val,scratch,included,4
train_017,train,negative,included,0
train_018,train,negative,included,0
train_019,train,negative,included,0
train_020,train,scratch,included,3
train_021,val,negative,included,0
train_022,train,negative,included,0
train_023,,missing_tooth,excluded,0
train_024,,missing_tooth,excluded,0
train_025,,missing_tooth,excluded,0
train_026,,missing_tooth,excluded,0
train_027,,missing_tooth,excluded,0
train_028,,missing_tooth,excluded,0
train_029,,missing_tooth,excluded,0
train_030,,missing_tooth,excluded,0
train_031,val,negative,included,0
train_032,train,negative,included,0
train_033,train,negative,included,0
train_034,train,negative,included,0
train_035,train,negative,included,0
train_036,train,negative,included,0
train_037,train,negative,included,0
train_038,,missing_tooth,excluded,0
train_039,,missing_tooth,excluded,0
train_040,,missing_tooth,excluded,0
train_041,train,negative,included,0
train_042,val,negative,included,0
train_043,,missing_tooth,excluded,0
train_044,train,negative,included,0
train_045,,missing_tooth,excluded,0
train_046,,missing_tooth,excluded,0
train_047,,missing_tooth,excluded,0
train_048,,missing_tooth,excluded,0
train_049,,missing_tooth,excluded,0
train_050,,missing_tooth,excluded,0
train_051,train,negative,included,0
train_052,train,negative,included,0
train_053,,missing_tooth,excluded,0
train_054,,missing_tooth,excluded,0
train_055,,missing_tooth,excluded,0
train_056,,missing_tooth,excluded,0
train_057,,missing_tooth,excluded,0
train_058,,missing_tooth,excluded,0
train_059,,missing_tooth,excluded,0
train_060,,missing_tooth,excluded,0
train_061,train,negative,included,0
train_062,train,negative,included,0
train_063,,missing_tooth,excluded,0
train_064,,missing_tooth,excluded,0
train_065,,missing_tooth,excluded,0
train_066,,missing_tooth,excluded,0
train_067,,missing_tooth,excluded,0
train_068,,missing_tooth,excluded,0
train_069,,missing_tooth,excluded,0
train_070,,missing_tooth,excluded,0
train_071,train,scratch,included,4
train_072,train,scratch,included,4
train_073,train,scratch,included,2
train_074,train,scratch,included,2
train_075,train,scratch,included,2
train_076,train,scratch,included,3
train_077,val,scratch,included,2
train_078,train,scratch,included,2
train_079,train,negative,included,0
train_080,train,scratch,included,1
train_081,train,negative,included,0
train_082,,missing_tooth,excluded,0
train_083,,missing_tooth,excluded,0
train_084,,missing_tooth,excluded,0
train_085,,missing_tooth,excluded,0
train_086,,missing_tooth,excluded,0
train_087,,missing_tooth,excluded,0
train_088,,missing_tooth,excluded,0
train_089,,missing_tooth,excluded,0
train_090,val,negative,included,0
train_091,train,scratch,included,2
train_092,train,scratch,included,1
train_093,train,scratch,included,2
train_094,val,negative,included,0
train_095,train,scratch,included,1
train_096,val,scratch,included,1
train_097,train,scratch,included,5
train_098,train,negative,included,0
train_099,train,scratch,included,1
train_100,train,scratch,included,1
train_101,val,negative,included,0
train_102,val,negative,included,0
train_103,val,negative,included,0
train_104,train,scratch,included,1
train_105,train,negative,included,0
train_106,train,negative,included,0
train_107,train,scratch,included,1
train_108,train,negative,included,0
train_109,val,negative,included,0
train_110,train,negative,included,0
train_111,train,scratch,included,4
train_112,train,scratch,included,2
train_113,val,scratch,included,1
train_114,val,scratch,included,2
train_115,train,scratch,included,3
train_116,train,scratch,included,1
train_117,val,scratch,included,2
train_118,train,negative,included,0
train_119,train,negative,included,0
train_120,train,scratch,included,1
train_121,train,negative,included,0
train_122,train,negative,included,0
train_123,,missing_tooth,excluded,0
train_124,val,negative,included,0
train_125,train,negative,included,0
train_126,,missing_tooth,excluded,0
train_127,,missing_tooth,excluded,0
train_128,,missing_tooth,excluded,0
train_129,,missing_tooth,excluded,0
train_130,,missing_tooth,excluded,0
train_131,train,negative,included,0
train_132,val,negative,included,0
train_133,train,negative,included,0
train_134,,missing_tooth,excluded,0
train_135,train,negative,included,0
train_136,train,negative,included,0
train_137,,missing_tooth,excluded,0
train_138,,missing_tooth,excluded,0
train_139,,missing_tooth,excluded,0
train_140,train,negative,included,0
train_141,val,negative,included,0
train_142,val,negative,included,0
train_143,,missing_tooth,excluded,0
train_144,,missing_tooth,excluded,0
train_145,,missing_tooth,excluded,0
train_146,,missing_tooth,excluded,0
train_147,,missing_tooth,excluded,0
train_148,,missing_tooth,excluded,0
train_149,,missing_tooth,excluded,0
train_150,,missing_tooth,excluded,0
train_151,train,scratch,included,1
train_152,train,scratch,included,2
train_153,val,scratch,included,1
train_154,train,negative,included,0
train_155,train,scratch,included,3
train_156,train,scratch,included,1
train_157,val,scratch,included,1
train_158,train,negative,included,0
train_159,val,scratch,included,1
train_160,train,scratch,included,1
train_161,train,scratch,included,2
train_162,train,negative,included,0
train_163,,missing_tooth,excluded,0
train_164,,missing_tooth,excluded,0
train_165,,missing_tooth,excluded,0
train_166,,missing_tooth,excluded,0
train_167,,missing_tooth,excluded,0
train_168,,missing_tooth,excluded,0
train_169,,missing_tooth,excluded,0
train_170,,missing_tooth,excluded,0
train_171,train,scratch,included,1
train_172,train,negative,included,0
train_173,train,negative,included,0
train_174,train,negative,included,0
train_175,val,negative,included,0
train_176,train,negative,included,0
train_177,train,negative,included,0
train_178,val,negative,included,0
train_179,train,negative,included,0
train_180,val,negative,included,0
train_181,train,negative,included,0
train_182,train,negative,included,0
train_183,val,negative,included,0
train_184,,missing_tooth,excluded,0
train_185,,missing_tooth,excluded,0
train_186,,missing_tooth,excluded,0
train_187,,missing_tooth,excluded,0
train_188,,missing_tooth,excluded,0
train_189,,missing_tooth,excluded,0
train_190,,missing_tooth,excluded,0
train_191,train,negative,included,0
train_192,train,negative,included,0
train_193,,missing_tooth,excluded,0
train_194,,missing_tooth,excluded,0
train_195,train,negative,included,0
train_196,val,negative,included,0
train_197,,missing_tooth,excluded,0
train_198,,missing_tooth,excluded,0
train_199,,missing_tooth,excluded,0
train_200,,missing_tooth,excluded,0
train_201,,missing_tooth,excluded,0
train_202,train,scratch,included,3
train_203,val,scratch,included,1
train_204,train,scratch,included,2
train_205,val,scratch,included,3
train_206,train,negative,included,0
train_207,train,scratch,included,1
train_208,val,scratch,included,3
train_209,train,scratch,included,1
train_210,train,negative,included,0
train_211,train,negative,included,0
train_212,train,negative,included,0
train_213,train,scratch,included,1
train_214,train,negative,included,0
train_215,val,scratch,included,1
train_216,val,scratch,included,1
train_217,train,negative,included,0
train_218,train,negative,included,0
train_219,train,negative,included,0
train_220,train,scratch,included,1
