stem,split,category,objects
train_001,train,scratch,4
train_002,train,scratch,4
train_003,train,scratch,3
train_004,val,scratch,3
train_005,val,scratch,3
train_006,train,scratch,3
train_007,train,scratch,3
train_008,train,scratch,3
train_009,train,scratch,1
train_010,val,scratch,3
train_011,val,scratch,4
train_012,train,scratch,4
train_013,train,scratch,3
train_014,train,scratch,3
train_015,train,scratch,3
train_016,train,scratch,4
train_017,val,negative,0
train_018,train,negative,0
train_019,train,negative,0
train_020,train,scratch,3
train_021,train,negative,0
train_022,train,negative,0
train_023,train,missing_tooth,5
train_024,train,missing_tooth,3
train_025,train,missing_tooth,7
train_026,train,missing_tooth,7
train_027,train,missing_tooth,3
train_028,val,missing_tooth,8
train_029,val,missing_tooth,9
train_030,train,missing_tooth,6
train_031,train,negative,0
train_032,train,negative,0
train_033,train,negative,0
train_034,train,negative,0
train_035,train,negative,0
train_036,train,negative,0
train_037,train,negative,0
train_038,train,missing_tooth,7
train_039,train,missing_tooth,6
train_040,train,missing_tooth,5
train_041,train,negative,0
train_042,val,negative,0
train_043,train,missing_tooth,4
train_044,train,negative,0
train_045,train,missing_tooth,3
train_046,train,missing_tooth,5
train_047,train,missing_tooth,3
train_048,train,missing_tooth,5
train_049,train,missing_tooth,4
train_050,train,missing_tooth,4
train_051,val,negative,0
train_052,train,negative,0
train_053,train,missing_tooth,3
train_054,val,missing_tooth,3
train_055,train,missing_tooth,7
train_056,train,missing_tooth,7
train_057,val,missing_tooth,7
train_058,train,missing_tooth,7
train_059,train,missing_tooth,5
train_060,train,missing_tooth,3
train_061,train,negative,0
train_062,train,negative,0
train_063,val,missing_tooth,6
train_064,train,missing_tooth,6
train_065,train,missing_tooth,5
train_066,train,missing_tooth,5
train_067,train,missing_tooth,3
train_068,train,missing_tooth,3
train_069,train,missing_tooth,3
train_070,val,missing_tooth,3
train_071,train,scratch,4
train_072,val,scratch,4
train_073,train,scratch,2
train_074,train,scratch,2
train_075,train,scratch,2
train_076,train,scratch,3
train_077,train,scratch,2
train_078,train,scratch,2
train_079,train,negative,0
train_080,train,scratch,1
train_081,train,negative,0
train_082,train,missing_tooth,4
train_083,val,missing_tooth,5
train_084,train,missing_tooth,5
train_085,train,missing_tooth,6
train_086,val,missing_tooth,4
train_087,train,missing_tooth,6
train_088,train,missing_tooth,6
train_089,train,missing_tooth,4
train_090,train,negative,0
train_091,val,scratch,2
train_092,train,scratch,1
train_093,train,scratch,2
train_094,train,negative,0
train_095,train,scratch,1
train_096,train,scratch,1
train_097,val,scratch,5
train_098,train,negative,0
train_099,train,scratch,1
train_100,val,scratch,1
train_101,train,negative,0
train_102,val,negative,0
train_103,val,negative,0
train_104,train,scratch,1
train_105,val,negative,0
train_106,train,negative,0
train_107,train,scratch,1
train_108,train,negative,0
train_109,train,negative,0
train_110,train,negative,0
train_111,train,scratch,4
train_112,train,scratch,2
train_113,train,scratch,1
train_114,val,scratch,2
train_115,train,scratch,3
train_116,train,scratch,1
train_117,train,scratch,2
train_118,train,negative,0
train_119,val,negative,0
train_120,train,scratch,1
train_121,train,negative,0
train_122,train,negative,0
train_123,train,missing_tooth,3
train_124,train,negative,0
train_125,train,negative,0
train_126,train,negative,0
train_127,val,negative,0
train_128,train,missing_tooth,3
train_129,train,missing_tooth,3
train_130,train,missing_tooth,3
train_131,val,negative,0
train_132,train,negative,0
train_133,train,negative,0
train_134,val,missing_tooth,3
train_135,train,negative,0
train_136,train,negative,0
train_137,val,missing_tooth,3
train_138,train,missing_tooth,2
train_139,train,missing_tooth,3
train_140,train,negative,0
