severity,replicas,repeat,profile,wall_p95,wall_p50,gate190,sustained_overload,cls2_p95,injector_alive,temp_c
S0,0,1,FULL,180.40007225044974,175.94103200099198,True,False,48.58831625097082,True,
S0,0,1,LATENCY_DEGRADED_V2,136.2759925006685,128.123456499452,True,False,0.0,True,
S0,0,2,FULL,193.41359609861684,181.8493490027322,False,False,48.7977677010349,True,
S0,0,2,LATENCY_DEGRADED_V2,135.84143675052474,126.29066000044986,True,False,0.0,True,
S1,1,1,FULL,225.8150989004207,219.47410400025547,False,True,52.45646400107944,True,
S1,1,1,LATENCY_DEGRADED_V2,177.96333319929545,172.05135699987295,True,False,0.0,True,
S1,1,2,FULL,226.65533530016546,221.0015429991472,False,True,52.73641820094781,True,
S1,1,2,LATENCY_DEGRADED_V2,178.18780279849307,173.40454399891314,True,False,0.0,True,
S2,2,1,FULL,319.14446729842894,310.1581320006517,False,True,68.82940954965308,True,
S2,2,1,LATENCY_DEGRADED_V2,257.257005298743,249.10185350017855,False,True,0.0,True,
S2,2,2,FULL,322.89010169861285,311.88671400013845,False,True,70.2449203490687,True,
S2,2,2,LATENCY_DEGRADED_V2,257.0935454001301,251.95286799862515,False,True,0.0,True,
S3,3,1,FULL,398.7045638490599,385.16909399913857,False,True,75.59425874842418,True,
S3,3,1,LATENCY_DEGRADED_V2,322.3635470010777,315.64878599965596,False,True,0.0,True,
S3,3,2,FULL,401.1131713970826,385.60909399893717,False,True,75.62607229810965,True,
S3,3,2,LATENCY_DEGRADED_V2,324.31922699925053,315.32181250076974,False,True,0.0,True,
