stem,truth,view,scratch_probability,threshold,decision,correct
val_112,normal,face,0.3013786792513719,0.300273610279458,REJECT,0
val_037,normal,face,0.30864867243238536,0.300273610279458,REJECT,0
val_070,normal,oblique,0.31261230421296704,0.300273610279458,REJECT,0
val_141,normal,face,0.3282913645746567,0.300273610279458,REJECT,0
val_013,normal,face,0.36048275050895995,0.300273610279458,REJECT,0
val_088,normal,face,0.38126000529336845,0.300273610279458,REJECT,0
val_133,normal,oblique,0.3924215948515345,0.300273610279458,REJECT,0
val_176,normal,face,0.3929807906764349,0.300273610279458,REJECT,0
val_023,scratch,oblique,0.203814024552052,0.300273610279458,PASS,0
val_149,normal,oblique,0.4346019579365737,0.300273610279458,REJECT,0
val_069,scratch,oblique,0.300273610279458,0.300273610279458,REJECT,1
val_117,normal,oblique,0.2998578839875169,0.300273610279458,PASS,1
val_035,scratch,face,0.3055001437620999,0.300273610279458,REJECT,1
val_129,scratch,oblique,0.308233535304843,0.300273610279458,REJECT,1
val_137,normal,oblique,0.2861714852794584,0.300273610279458,PASS,1
val_005,normal,face,0.2861223947370131,0.300273610279458,PASS,1
val_116,normal,face,0.28242063148693475,0.300273610279458,PASS,1
val_114,normal,oblique,0.28042218982786676,0.300273610279458,PASS,1
val_140,normal,face,0.27680608913075955,0.300273610279458,PASS,1
val_059,scratch,side,0.3243059598796947,0.300273610279458,REJECT,1
val_068,scratch,face,0.3243404327133671,0.300273610279458,REJECT,1
val_150,normal,oblique,0.27306107746523245,0.300273610279458,PASS,1
val_178,normal,oblique,0.27068984035473576,0.300273610279458,PASS,1
val_061,scratch,oblique,0.32989620349792215,0.300273610279458,REJECT,1
val_072,scratch,face,0.33517840776497687,0.300273610279458,REJECT,1
val_054,normal,oblique,0.2639113514895395,0.300273610279458,PASS,1
val_085,normal,oblique,0.26006943230111923,0.300273610279458,PASS,1
val_064,scratch,face,0.34078224355350883,0.300273610279458,REJECT,1
val_186,normal,oblique,0.2581687460628801,0.300273610279458,PASS,1
val_074,normal,oblique,0.2570713239208726,0.300273610279458,PASS,1
val_108,normal,face,0.25669190756461413,0.300273610279458,PASS,1
val_130,normal,oblique,0.2565927413597628,0.300273610279458,PASS,1
val_136,normal,face,0.25647137074186027,0.300273610279458,PASS,1
val_101,normal,oblique,0.25372137256363636,0.300273610279458,PASS,1
val_093,normal,oblique,0.2515796748605231,0.300273610279458,PASS,1
val_194,scratch,oblique,0.34954813124710304,0.300273610279458,REJECT,1
val_168,normal,face,0.24932659864405735,0.300273610279458,PASS,1
val_121,normal,oblique,0.24732119209587053,0.300273610279458,PASS,1
val_177,normal,oblique,0.24267282359550174,0.300273610279458,PASS,1
val_100,normal,face,0.241250638628007,0.300273610279458,PASS,1
val_144,normal,face,0.23698253861589796,0.300273610279458,PASS,1
val_174,scratch,oblique,0.36432957360057205,0.300273610279458,REJECT,1
val_089,normal,oblique,0.23273795199802044,0.300273610279458,PASS,1
val_050,scratch,oblique,0.36844521024767074,0.300273610279458,REJECT,1
val_039,normal,oblique,0.23138138532536381,0.300273610279458,PASS,1
val_148,scratch,face,0.3699690188355007,0.300273610279458,REJECT,1
val_189,normal,oblique,0.22991484035618023,0.300273610279458,PASS,1
val_038,normal,oblique,0.2293911149247438,0.300273610279458,PASS,1
val_033,scratch,face,0.37186980227722194,0.300273610279458,REJECT,1
val_106,scratch,oblique,0.3725371901379013,0.300273610279458,REJECT,1
val_092,normal,face,0.22706751199186265,0.300273610279458,PASS,1
val_042,normal,oblique,0.22628994821465812,0.300273610279458,PASS,1
val_094,normal,oblique,0.22599676775889502,0.300273610279458,PASS,1
val_126,scratch,oblique,0.37801881157995915,0.300273610279458,REJECT,1
val_118,normal,oblique,0.22245214982624428,0.300273610279458,PASS,1
val_110,normal,oblique,0.22209205395350506,0.300273610279458,PASS,1
val_025,normal,face,0.21947369123012817,0.300273610279458,PASS,1
val_128,scratch,face,0.3882151928453117,0.300273610279458,REJECT,1
val_183,normal,oblique,0.21162609838828805,0.300273610279458,PASS,1
val_190,normal,oblique,0.2081974709682491,0.300273610279458,PASS,1
