name,stage,family,size,defect_weight,epochs,recall,fpr,auprc,tta,error
p_yolo_384_w1,pilot,yolo,384,1.0,30,0.8333333333333334,0.3,0.769265737686472,tta_mean,
p_yolo_512_w2,pilot,yolo,512,2.0,30,0.6666666666666666,0.3,0.8180514699010769,tta_mean,
p_yolo_512_w4,pilot,yolo,512,4.0,30,0.6,0.3,0.6765705592567354,none,
p_resnet18_384_w1,pilot,resnet18,384,1.0,30,0.8666666666666667,0.3,0.8864203274559593,tta_mean,
p_resnet18_384_w2,pilot,resnet18,384,2.0,30,0.8,0.3,0.8349667061496103,none,
p_resnet18_512_w4,pilot,resnet18,512,4.0,30,0.9,0.3,0.8531553705693804,tta_mean,
p_efficientnet_b0_384_w1,pilot,efficientnet_b0,384,1.0,30,0.8666666666666667,0.3,0.8377706497536487,none,
p_efficientnet_b0_384_w2,pilot,efficientnet_b0,384,2.0,30,0.8666666666666667,0.3,0.8583041396636039,none,
p_efficientnet_b0_512_w4,pilot,efficientnet_b0,512,4.0,30,0.8666666666666667,0.3,0.8620628688181181,tta_mean,
x_yolo_384_w1_s17,pilot,yolo,384,1.0,50,0.8333333333333334,0.25,0.8564912710501248,tta_mean,
x_yolo_384_w1_s73,pilot,yolo,384,1.0,50,0.6666666666666666,0.3,0.774458474860689,tta_mean,
x_resnet18_384_w1_s17,pilot,resnet18,384,1.0,60,0.7666666666666667,0.25,0.8494411501648905,none,
x_resnet18_384_w1_s73,pilot,resnet18,384,1.0,60,0.9,0.25,0.7747051198434839,none,
x_efficientnet_b0_384_w1_s17,pilot,efficientnet_b0,384,1.0,60,0.8333333333333334,0.3,0.7655617519882223,none,
x_efficientnet_b0_384_w1_s73,pilot,efficientnet_b0,384,1.0,60,0.9,0.3,0.7355472935314025,none,
t_texture_resnet18_384_s17,pilot,texture_resnet18,384,1.0,80,0.9,0.3,0.8276745671263233,none,
t_texture_resnet18_384_s73,pilot,texture_resnet18,384,1.0,80,0.9,0.3,0.8603113993581539,none,
t_texture_resnet18_512_s109,pilot,texture_resnet18,512,1.0,80,0.8333333333333334,0.3,0.7996148991577561,none,
xfull_resnet18_384_w1_s73_r1,full,resnet18,384,1.0,120,0.8666666666666667,0.3,0.8595813884617731,tta_mean,
xfull_texture_resnet18_384_w1_s73_r2,full,texture_resnet18,384,1.0,120,0.8666666666666667,0.3,0.8582439505784789,none,
