stem,split,category,view,score,reasons,preview
train_071,train,scratch,face,17,complex_scratch_boxes;v2_scratch_fn3_fp3,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_071.jpg
train_038,train,missing_tooth,side,16,side_view_missing_tooth;v2_missing_tooth_fn5_fp0,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_038.jpg
train_229,train,missing_tooth,side,16,side_view_missing_tooth;v2_missing_tooth_fn1_fp6,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_229.jpg
train_029,train,missing_tooth,oblique,11,v2_missing_tooth_fn3_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_029.jpg
train_286,train,scratch,oblique,9,v2_scratch_fn1_fp3,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_286.jpg
train_050,train,missing_tooth,side,8,side_view_missing_tooth;v2_missing_tooth_fn1_fp2,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_050.jpg
train_112,train,scratch,face,7,v2_scratch_fn1_fp2,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_112.jpg
train_300,train,missing_tooth,oblique,7,v2_missing_tooth_fn1_fp2,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_300.jpg
train_339,train,missing_tooth,side,7,side_view_missing_tooth;v2_missing_tooth_fn0_fp3,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_339.jpg
train_007,train,scratch,face,6,v2_scratch_fn2_fp0,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_007.jpg
train_078,train,scratch,side,6,v2_scratch_fn2_fp0,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_078.jpg
train_241,val,missing_tooth,oblique,6,v2_missing_tooth_fn2_fp0,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_241.jpg
train_313,val,missing_tooth,side,6,side_view_missing_tooth;v2_missing_tooth_fn1_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_313.jpg
train_221,train,scratch,side,5,complex_scratch_boxes;v2_scratch_fn1_fp0,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_221.jpg
train_028,train,missing_tooth,oblique,5,v2_missing_tooth_fn1_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_028.jpg
train_184,train,missing_tooth,face,5,v2_missing_tooth_fn1_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_184.jpg
train_254,train,missing_tooth,oblique,5,v2_missing_tooth_fn1_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_254.jpg
train_008,train,scratch,side,4,v2_scratch_fn0_fp2,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_008.jpg
train_012,train,scratch,face,4,complex_scratch_boxes;v2_scratch_fn0_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_012.jpg
train_114,val,scratch,oblique,4,v2_scratch_fn0_fp2,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_114.jpg
train_124,train,normal,face,4,v2_missing_tooth_fn0_fp2,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_124.jpg
train_334,train,missing_tooth,oblique,3,v2_missing_tooth_fn1_fp0,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_334.jpg
train_108,train,normal,side,2,v2_scratch_fn0_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_108.jpg
train_258,train,normal,oblique,2,v2_scratch_fn0_fp1,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_258.jpg
train_001,train,scratch,face,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_001.jpg
train_002,train,scratch,face,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_002.jpg
train_011,train,scratch,face,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_011.jpg
train_016,train,scratch,oblique,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_016.jpg
train_072,train,scratch,face,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_072.jpg
train_097,train,scratch,oblique,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_097.jpg
train_111,train,scratch,face,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_111.jpg
train_155,train,scratch,oblique,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_155.jpg
train_157,train,scratch,oblique,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_157.jpg
train_159,train,scratch,side,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_159.jpg
train_275,train,scratch,oblique,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_275.jpg
train_288,train,scratch,side,2,complex_scratch_boxes,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_288.jpg
train_039,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_039.jpg
train_040,val,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_040.jpg
train_048,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_048.jpg
train_049,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_049.jpg
train_058,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_058.jpg
train_059,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_059.jpg
train_060,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_060.jpg
train_148,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_148.jpg
train_149,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_149.jpg
train_150,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_150.jpg
train_230,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_230.jpg
train_231,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_231.jpg
train_259,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_259.jpg
train_260,train,missing_tooth,side,1,side_view_missing_tooth,F:\Work\VSCode\Projects\DATASET\outputs\defect_search_v3\review_queue\train_260.jpg
