timestamp,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
2026/09/13 02:46:05.953, 94, 4421, 8188, 68, 47.79
2026/09/13 02:46:36.097, 97, 4441, 8188, 69, 56.44
2026/09/13 02:47:06.162, 99, 4473, 8188, 71, 54.64
2026/09/13 02:47:36.228, 79, 4473, 8188, 70, 51.12
2026/09/13 02:48:06.308, 95, 4477, 8188, 71, 48.12
2026/09/13 02:48:36.391, 98, 4487, 8188, 71, 54.68
2026/09/13 02:49:06.447, 96, 4487, 8188, 71, 50.72
2026/09/13 02:49:36.509, 96, 4473, 8188, 72, 59.40
2026/09/13 02:50:06.570, 89, 4479, 8188, 72, 50.33
2026/09/13 02:50:36.635, 98, 4473, 8188, 72, 48.67
2026/09/13 02:51:06.700, 98, 4473, 8188, 72, 53.42
2026/09/13 02:51:36.759, 98, 4487, 8188, 72, 54.78
2026/09/13 02:52:06.830, 100, 4465, 8188, 72, 52.95
2026/09/13 02:52:36.898, 98, 4465, 8188, 72, 41.90
2026/09/13 02:53:06.954, 98, 4473, 8188, 73, 54.77
2026/09/13 02:53:37.043, 98, 4475, 8188, 73, 53.04
2026/09/13 02:54:07.126, 98, 4477, 8188, 73, 57.37
2026/09/13 02:54:37.225, 86, 4479, 8188, 73, 54.94
2026/09/13 02:55:07.292, 96, 4471, 8188, 73, 62.68
2026/09/13 02:55:37.364, 70, 4479, 8188, 71, 66.48
2026/09/13 02:56:07.423, 98, 4479, 8188, 72, 52.91
2026/09/13 02:56:37.481, 99, 4479, 8188, 72, 55.65
2026/09/13 02:57:07.540, 98, 4473, 8188, 73, 54.16
2026/09/13 02:57:37.605, 97, 4475, 8188, 73, 53.70
2026/09/13 02:58:07.663, 89, 4473, 8188, 73, 53.37
2026/09/13 02:58:37.722, 96, 4479, 8188, 73, 53.76
2026/09/13 02:59:07.784, 68, 2357, 8188, 71, 26.57
2026/09/13 02:59:37.846, 95, 4475, 8188, 73, 56.19
2026/09/13 03:00:07.924, 83, 4487, 8188, 72, 53.69
2026/09/13 03:00:38.006, 97, 4467, 8188, 72, 57.49
2026/09/13 03:01:08.065, 73, 4467, 8188, 73, 49.40
2026/09/13 03:01:38.136, 98, 4475, 8188, 71, 57.14
2026/09/13 03:02:08.190, 97, 4487, 8188, 72, 51.87
2026/09/13 03:02:38.272, 97, 4487, 8188, 73, 56.56
2026/09/13 03:03:08.335, 96, 4475, 8188, 73, 57.07
2026/09/13 03:03:38.419, 98, 4453, 8188, 73, 53.67
2026/09/13 03:04:08.479, 97, 4473, 8188, 71, 49.51
2026/09/13 03:04:38.532, 98, 4473, 8188, 73, 55.80
2026/09/13 03:05:08.596, 98, 4479, 8188, 72, 56.14
2026/09/13 03:05:38.662, 96, 4475, 8188, 73, 57.48
2026/09/13 03:06:08.721, 99, 4475, 8188, 73, 50.31
2026/09/13 03:06:38.774, 77, 4471, 8188, 72, 50.26
2026/09/13 03:07:08.834, 97, 4487, 8188, 72, 62.50
2026/09/13 03:07:38.891, 97, 4487, 8188, 72, 59.28
2026/09/13 03:08:08.950, 98, 4475, 8188, 73, 52.89
2026/09/13 03:08:39.019, 87, 4479, 8188, 72, 55.74
2026/09/13 03:09:09.080, 97, 4465, 8188, 73, 57.32
2026/09/13 03:09:39.151, 96, 4465, 8188, 72, 51.94
2026/09/13 03:10:09.212, 0, 273, 8188, 63, 2.03
2026/09/13 03:10:39.275, 0, 273, 8188, 57, 1.55
2026/09/13 03:11:09.334, 97, 3115, 8188, 66, 55.29
2026/09/13 03:11:39.387, 95, 3861, 8188, 68, 53.00
2026/09/13 03:12:09.470, 71, 3861, 8188, 69, 52.41
2026/09/13 03:12:39.550, 99, 3861, 8188, 70, 50.61
2026/09/13 03:13:09.624, 97, 3861, 8188, 70, 53.63
2026/09/13 03:13:39.699, 0, 3861, 8188, 64, 9.01
2026/09/13 03:14:09.766, 62, 3861, 8188, 68, 30.03
2026/09/13 03:14:39.843, 0, 3861, 8188, 64, 9.15
2026/09/13 03:15:09.902, 0, 3861, 8188, 53, 1.45
2026/09/13 03:15:39.967, 97, 3861, 8188, 66, 57.59
2026/09/13 03:16:10.036, 95, 3863, 8188, 67, 51.89
2026/09/13 03:16:40.098, 98, 3863, 8188, 69, 57.47
2026/09/13 03:17:10.162, 72, 3863, 8188, 70, 46.91
2026/09/13 03:17:40.221, 95, 3863, 8188, 70, 51.73
2026/09/13 03:18:10.299, 96, 3863, 8188, 70, 51.13
2026/09/13 03:18:40.351, 98, 3863, 8188, 71, 51.10
2026/09/13 03:19:10.405, 95, 3863, 8188, 71, 48.16
2026/09/13 03:19:40.474, 95, 3863, 8188, 71, 49.68
2026/09/13 03:20:10.546, 95, 3863, 8188, 71, 49.70
2026/09/13 03:20:40.615, 94, 3863, 8188, 72, 52.20
2026/09/13 03:21:10.681, 88, 3863, 8188, 72, 59.60
2026/09/13 03:21:40.740, 94, 3863, 8188, 72, 52.99
2026/09/13 03:22:10.805, 99, 3863, 8188, 72, 50.08
2026/09/13 03:22:40.868, 96, 3863, 8188, 71, 50.52
2026/09/13 03:23:10.935, 93, 3863, 8188, 72, 43.83
2026/09/13 03:23:41.000, 74, 3863, 8188, 71, 68.42
2026/09/13 03:24:11.083, 96, 3863, 8188, 72, 54.34
2026/09/13 03:24:41.136, 93, 3863, 8188, 72, 53.77
2026/09/13 03:25:11.200, 99, 3863, 8188, 72, 50.64
2026/09/13 03:25:41.281, 95, 3863, 8188, 72, 51.52
2026/09/13 03:26:11.350, 97, 3863, 8188, 71, 47.50
2026/09/13 03:26:41.406, 95, 3863, 8188, 71, 51.94
2026/09/13 03:27:11.467, 13, 3863, 8188, 68, 21.64
2026/09/13 03:27:41.530, 0, 273, 8188, 60, 1.56
2026/09/13 03:28:11.585, 0, 273, 8188, 55, 1.41
2026/09/13 03:28:41.637, 98, 4697, 8188, 66, 54.52
2026/09/13 03:29:11.690, 96, 4475, 8188, 68, 53.13
2026/09/13 03:29:41.746, 96, 4487, 8188, 70, 59.76
2026/09/13 03:30:11.821, 97, 4487, 8188, 70, 46.84
2026/09/13 03:30:41.885, 97, 4477, 8188, 71, 56.48
2026/09/13 03:31:11.974, 98, 4469, 8188, 71, 51.60
2026/09/13 03:31:42.042, 95, 4471, 8188, 72, 55.64
2026/09/13 03:32:12.110, 96, 4475, 8188, 72, 65.58
2026/09/13 03:32:42.193, 98, 4455, 8188, 72, 53.69
2026/09/13 03:33:12.264, 98, 4473, 8188, 72, 53.51
2026/09/13 03:33:42.333, 98, 4473, 8188, 73, 55.45
2026/09/13 03:34:12.416, 0, 2303, 8188, 57, 1.45
2026/09/13 03:34:42.514, 95, 4457, 8188, 67, 57.60
2026/09/13 03:35:12.574, 96, 4421, 8188, 69, 55.19
2026/09/13 03:35:42.637, 99, 4477, 8188, 69, 52.15
2026/09/13 03:36:12.700, 75, 4479, 8188, 70, 47.54
2026/09/13 03:36:42.754, 97, 4485, 8188, 71, 52.03
2026/09/13 03:37:12.821, 97, 4469, 8188, 72, 54.92
2026/09/13 03:37:42.873, 96, 4471, 8188, 71, 52.57
2026/09/13 03:38:12.926, 98, 4467, 8188, 72, 54.57
2026/09/13 03:38:42.982, 96, 4485, 8188, 72, 55.17
2026/09/13 03:39:13.041, 97, 4457, 8188, 72, 45.17
2026/09/13 03:39:43.103, 80, 4459, 8188, 72, 53.88
2026/09/13 03:40:13.173, 96, 4485, 8188, 72, 58.54
2026/09/13 03:40:43.228, 95, 4461, 8188, 72, 60.17
