epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.7369,0.58816,0.42,1,0.81374,0.000204167,0.000204167,0.0710375
2,6.32377,0.48127,0.76,1,0.57418,0.000423062,0.000423062,0.0379231
3,8.18022,0.51468,0.7,1,0.92861,0.000626558,0.000626558,0.00479322
4,10.042,0.40101,0.72,1,0.8623,0.0006307,0.0006307,0.0006307
5,11.8484,0.35342,0.72,1,0.99793,0.0006076,0.0006076,0.0006076
6,13.6223,0.30302,0.7,1,0.92351,0.0005845,0.0005845,0.0005845
7,15.4592,0.25735,0.7,1,0.78262,0.0005614,0.0005614,0.0005614
8,17.3654,0.20456,0.72,1,0.76676,0.0005383,0.0005383,0.0005383
9,19.1858,0.17396,0.72,1,1.15696,0.0005152,0.0005152,0.0005152
10,20.9864,0.16801,0.68,1,1.36613,0.0004921,0.0004921,0.0004921
11,22.7847,0.1344,0.7,1,1.60576,0.000469,0.000469,0.000469
12,24.5864,0.12764,0.68,1,1.46701,0.0004459,0.0004459,0.0004459
