epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.42391,0.66141,0.7,1,0.64552,0.000204167,0.000204167,0.0710375
2,4.24505,0.49688,0.72,1,0.60457,0.000428838,0.000428838,0.0379288
3,6.12632,0.47305,0.76,1,0.62075,0.000644268,0.000644268,0.00481093
4,7.9651,0.41108,0.68,1,0.64453,0.00065842,0.00065842,0.00065842
5,9.87273,0.37975,0.76,1,0.76831,0.00064456,0.00064456,0.00064456
6,11.7432,0.33156,0.72,1,0.95032,0.0006307,0.0006307,0.0006307
7,13.5884,0.26647,0.66,1,0.98907,0.00061684,0.00061684,0.00061684
8,15.4259,0.28154,0.68,1,0.9012,0.00060298,0.00060298,0.00060298
9,17.3016,0.27615,0.7,1,0.95985,0.00058912,0.00058912,0.00058912
10,19.2047,0.18723,0.66,1,0.90371,0.00057526,0.00057526,0.00057526
11,21.0995,0.14802,0.64,1,0.91299,0.0005614,0.0005614,0.0005614
12,22.9824,0.18924,0.66,1,0.94779,0.00054754,0.00054754,0.00054754
13,24.823,0.14001,0.66,1,1.63549,0.00053368,0.00053368,0.00053368
14,26.6622,0.13335,0.7,1,1.64849,0.00051982,0.00051982,0.00051982
15,28.5557,0.06999,0.72,1,1.40369,0.00050596,0.00050596,0.00050596
16,30.4452,0.06828,0.66,1,1.19299,0.0004921,0.0004921,0.0004921
17,32.3715,0.06618,0.64,1,1.09177,0.00047824,0.00047824,0.00047824
18,34.3196,0.06606,0.64,1,1.47787,0.00046438,0.00046438,0.00046438
19,36.2607,0.06355,0.64,1,1.87376,0.00045052,0.00045052,0.00045052
