epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.73,2.32777,17.4588,0.01058,0.00023,0.11538,0.00402,0.00099,2.43971,13.7021,0.01418,0.000217778,0.000217778,0.0691067
2,37.8357,2.23446,9.58237,0.01038,0.00032,0.19231,0.00191,0.00038,2.38553,8.35674,0.01225,0.000446645,0.000446645,0.0360022
3,57.0536,1.90304,6.83255,0.00879,0.00043,0.25,0.00763,0.00126,2.18612,7.44858,0.01133,0.000670892,0.000670892,0.00289311
4,76.19,1.92666,6.39471,0.00901,0.00638,0.39103,0.04131,0.0156,2.06372,7.11031,0.01028,0.00067921,0.00067921,0.00067921
5,95.6484,1.80914,5.62613,0.00756,0.01002,0.59615,0.16163,0.05156,2.04388,6.80285,0.01084,0.00067228,0.00067228,0.00067228
6,115.01,1.83382,5.22614,0.00791,0.00903,0.69872,0.14257,0.05026,2.10564,6.37098,0.0112,0.00066535,0.00066535,0.00066535
7,134.332,1.90673,5.1313,0.00776,0.37394,0.03808,0.18699,0.07666,2.21768,5.76321,0.01122,0.00065842,0.00065842,0.00065842
8,153.721,1.81587,5.11984,0.00755,0.35221,0.12821,0.19895,0.0826,1.98108,5.37852,0.00892,0.00065149,0.00065149,0.00065149
9,173.227,1.75752,4.50672,0.0074,0.32863,0.27119,0.24531,0.10607,1.87018,5.12266,0.0091,0.00064456,0.00064456,0.00064456
10,192.699,1.78763,4.40682,0.0074,0.50391,0.29406,0.32811,0.13539,1.98887,5.08057,0.00963,0.00063763,0.00063763,0.00063763
11,212.208,1.69306,4.24737,0.00687,0.58486,0.2884,0.33406,0.14505,1.94449,4.8595,0.00875,0.0006307,0.0006307,0.0006307
12,231.695,1.72381,4.05233,0.00715,0.48661,0.29487,0.34773,0.15619,1.91889,4.63006,0.00903,0.00062377,0.00062377,0.00062377
13,251.211,1.67787,3.8663,0.00697,0.48732,0.29487,0.37107,0.16255,1.90153,4.48033,0.00822,0.00061684,0.00061684,0.00061684
14,270.72,1.6736,3.72919,0.00686,0.46914,0.36674,0.40031,0.16933,1.90654,4.28399,0.00875,0.00060991,0.00060991,0.00060991
15,290.195,1.64608,3.53632,0.00657,0.68932,0.32692,0.45551,0.20665,1.80306,4.12962,0.00779,0.00060298,0.00060298,0.00060298
16,309.764,1.65578,3.41976,0.00659,0.56527,0.36414,0.46307,0.18109,1.93168,4.04734,0.00842,0.00059605,0.00059605,0.00059605
17,329.384,1.68817,3.42443,0.00702,0.41301,0.45589,0.40228,0.15932,1.94624,3.80201,0.00929,0.00058912,0.00058912,0.00058912
18,348.731,1.60355,3.14708,0.00652,0.51331,0.43911,0.4628,0.18528,1.96995,3.81363,0.00902,0.00058219,0.00058219,0.00058219
19,367.987,1.61989,3.03515,0.00643,0.61881,0.41841,0.49454,0.20787,1.93271,3.64955,0.00839,0.00057526,0.00057526,0.00057526
20,387.347,1.63911,3.00047,0.00652,0.63879,0.47583,0.52538,0.21367,1.93374,3.46513,0.00856,0.00056833,0.00056833,0.00056833
21,406.883,1.56857,2.85991,0.00628,0.5167,0.51455,0.4659,0.19728,1.85097,3.41267,0.00757,0.0005614,0.0005614,0.0005614
22,426.325,1.57386,2.8541,0.00631,0.59734,0.46154,0.43939,0.18596,1.79975,3.3544,0.00731,0.00055447,0.00055447,0.00055447
23,445.883,1.62368,2.70762,0.00639,0.76519,0.37821,0.46819,0.18601,1.86908,3.37117,0.00791,0.00054754,0.00054754,0.00054754
24,465.369,1.57444,2.70881,0.00631,0.47019,0.48077,0.48005,0.20682,1.8711,3.20759,0.00828,0.00054061,0.00054061,0.00054061
25,484.992,1.5931,2.54276,0.00607,0.54768,0.48718,0.50546,0.23052,1.85809,3.20298,0.00854,0.00053368,0.00053368,0.00053368
26,504.48,1.57242,2.38861,0.00628,0.53613,0.43277,0.47239,0.20581,1.89669,3.27009,0.00871,0.00052675,0.00052675,0.00052675
27,524.05,1.62934,2.39517,0.00642,0.74265,0.43284,0.52681,0.22834,1.86885,3.18284,0.00829,0.00051982,0.00051982,0.00051982
28,543.481,1.52973,2.28348,0.00621,0.61138,0.53205,0.53201,0.23498,1.83869,3.14937,0.00778,0.00051289,0.00051289,0.00051289
29,562.878,1.48605,2.29129,0.0059,0.72038,0.46467,0.54264,0.24006,1.86354,3.12741,0.00783,0.00050596,0.00050596,0.00050596
30,582.273,1.50293,2.16033,0.00597,0.91443,0.37179,0.49848,0.20553,1.88372,3.1196,0.00845,0.00049903,0.00049903,0.00049903
31,601.612,1.53096,2.10702,0.00582,0.81241,0.48891,0.54524,0.24534,1.9318,2.95699,0.00915,0.0004921,0.0004921,0.0004921
32,621.074,1.59142,2.09313,0.00667,0.67871,0.47134,0.51992,0.24412,1.88075,3.05498,0.00875,0.00048517,0.00048517,0.00048517
33,640.522,1.48312,1.93706,0.0054,0.61841,0.4543,0.49398,0.21252,1.97835,2.9443,0.00933,0.00047824,0.00047824,0.00047824
34,659.858,1.46678,1.89443,0.0055,0.59925,0.48964,0.50078,0.20611,2.04626,2.89971,0.00963,0.00047131,0.00047131,0.00047131
35,679.42,1.52878,1.84836,0.00583,0.61114,0.49229,0.50355,0.22591,1.95228,2.8715,0.00836,0.00046438,0.00046438,0.00046438
36,698.919,1.42044,1.79218,0.00532,0.55578,0.5,0.51103,0.23125,1.9755,2.69504,0.00839,0.00045745,0.00045745,0.00045745
37,718.545,1.45572,1.76143,0.00562,0.66788,0.44231,0.51323,0.24331,2.00155,2.65701,0.00899,0.00045052,0.00045052,0.00045052
38,738.046,1.4683,1.64135,0.00544,0.53096,0.48617,0.49686,0.23373,1.98875,2.80688,0.00904,0.00044359,0.00044359,0.00044359
39,757.516,1.45784,1.65116,0.00556,0.67704,0.45163,0.50302,0.23066,1.98873,2.7472,0.00847,0.00043666,0.00043666,0.00043666
40,777.04,1.48643,1.55119,0.00572,0.95708,0.38815,0.51439,0.23021,1.94712,2.73611,0.00898,0.00042973,0.00042973,0.00042973
41,796.645,1.45308,1.54962,0.00552,0.62825,0.41242,0.49502,0.22689,2.00761,2.77668,0.00892,0.0004228,0.0004228,0.0004228
42,816.063,1.48566,1.51494,0.00558,0.59673,0.48077,0.5122,0.23524,2.03011,2.77915,0.00885,0.00041587,0.00041587,0.00041587
43,835.406,1.40213,1.4651,0.00541,0.64541,0.42949,0.49564,0.22811,2.01228,2.76877,0.00952,0.00040894,0.00040894,0.00040894
44,854.706,1.42075,1.52127,0.00573,0.67551,0.43416,0.51049,0.22828,2.05699,2.64759,0.0095,0.00040201,0.00040201,0.00040201
45,873.957,1.46956,1.41204,0.00557,0.74703,0.44872,0.51327,0.23109,2.05789,2.54233,0.00974,0.00039508,0.00039508,0.00039508
46,893.232,1.41626,1.42467,0.00521,0.7076,0.52437,0.54395,0.25606,2.01567,2.53198,0.00936,0.00038815,0.00038815,0.00038815
47,912.654,1.38077,1.45334,0.00514,0.70842,0.42671,0.51083,0.2286,1.97859,2.58175,0.00874,0.00038122,0.00038122,0.00038122
48,932.031,1.37385,1.318,0.00539,0.84873,0.38462,0.50257,0.22215,2.03937,2.59623,0.00918,0.00037429,0.00037429,0.00037429
49,951.31,1.3588,1.28665,0.00495,0.66756,0.44523,0.49221,0.23045,1.93393,2.58703,0.00843,0.00036736,0.00036736,0.00036736
50,970.653,1.36621,1.31661,0.00484,0.60074,0.45122,0.51077,0.23697,1.96564,2.52967,0.00872,0.00036043,0.00036043,0.00036043
51,990.192,1.36763,1.27783,0.00523,0.60118,0.51352,0.51039,0.23034,1.95231,2.51142,0.00838,0.0003535,0.0003535,0.0003535
52,1009.48,1.35201,1.20786,0.00502,0.58936,0.50639,0.51617,0.22949,1.94151,2.53898,0.00833,0.00034657,0.00034657,0.00034657
