epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4265,2.29856,22.0009,0.00756,0.00019,0.03846,1e-05,0,2.29265,18.0822,0.00694,0.000213889,0.000213889,0.0696583
2,28.9173,1.98834,10.1477,0.00624,0.00013,0.02564,0,0,2.10043,10.1936,0.00622,0.000442795,0.000442795,0.0365539
3,43.5,1.89852,7.35036,0.00611,0.00019,0.03846,1e-05,0,2.02759,9.35852,0.00588,0.000667081,0.000667081,0.00344486
4,58.3908,1.79796,6.88766,0.00538,0.00039,0.07692,3e-05,1e-05,2.02018,9.11815,0.00583,0.00067921,0.00067921,0.00067921
5,73.2159,1.80408,6.8703,0.0052,0.00045,0.08974,0.0002,4e-05,2.0991,8.81655,0.00606,0.00067228,0.00067228,0.00067228
6,88.0309,1.84254,6.00741,0.00536,0.00122,0.24359,0.07053,0.03417,1.89362,8.33226,0.00553,0.00066535,0.00066535,0.00066535
7,103.017,1.8316,6.07721,0.00552,0.00308,0.61538,0.30746,0.13656,1.80493,7.83463,0.00516,0.00065842,0.00065842,0.00065842
8,117.957,1.74014,5.42013,0.00499,1,0.06688,0.32178,0.15306,1.75196,7.55591,0.00527,0.00065149,0.00065149,0.00065149
9,133.038,1.73984,5.39528,0.00497,0.6999,0.17941,0.36701,0.1731,1.84703,7.23687,0.00539,0.00064456,0.00064456,0.00064456
10,148.186,1.74479,4.99803,0.00498,0.60644,0.41491,0.46405,0.19119,1.9584,6.84038,0.00604,0.00063763,0.00063763,0.00063763
11,163.222,1.6399,5.0034,0.00456,0.52507,0.48718,0.42295,0.16921,1.83606,6.55151,0.00531,0.0006307,0.0006307,0.0006307
12,178.233,1.67666,4.80651,0.00494,0.60619,0.4359,0.49351,0.21859,1.78335,6.17112,0.00521,0.00062377,0.00062377,0.00062377
13,193.221,1.64836,4.77609,0.00444,0.66435,0.5,0.58643,0.26335,1.71515,5.79694,0.00483,0.00061684,0.00061684,0.00061684
14,208.368,1.64563,4.44446,0.00479,0.62716,0.57692,0.5643,0.25471,1.71865,5.63605,0.00477,0.00060991,0.00060991,0.00060991
15,223.426,1.55895,4.17995,0.00448,0.64518,0.53846,0.52008,0.23137,1.79273,5.68215,0.0054,0.00060298,0.00060298,0.00060298
16,238.456,1.63361,6.8692,0.00531,0.70552,0.52564,0.58914,0.24041,1.7703,5.50287,0.00536,0.00059605,0.00059605,0.00059605
17,253.738,1.62903,3.96832,0.00448,0.73692,0.57692,0.64144,0.28197,1.83817,5.35,0.00544,0.00058912,0.00058912,0.00058912
18,269.297,1.58533,3.7104,0.00432,0.73724,0.61154,0.63299,0.28687,1.81023,5.18621,0.00516,0.00058219,0.00058219,0.00058219
19,284.922,1.61438,3.69283,0.00434,0.66943,0.61538,0.60426,0.29104,1.82619,4.92091,0.00499,0.00057526,0.00057526,0.00057526
20,300.487,1.61959,3.53434,0.00447,0.66793,0.5641,0.60092,0.30395,1.87083,4.70879,0.00525,0.00056833,0.00056833,0.00056833
21,315.75,1.55348,3.47222,0.00429,0.73104,0.58974,0.6453,0.30404,1.81351,4.62372,0.00504,0.0005614,0.0005614,0.0005614
22,331.118,1.58532,3.39074,0.00428,0.7097,0.56416,0.61127,0.30045,1.83991,4.55811,0.00506,0.00055447,0.00055447,0.00055447
23,346.414,1.62304,3.4077,0.00457,0.76209,0.57692,0.64987,0.32249,1.88201,4.34489,0.00534,0.00054754,0.00054754,0.00054754
24,361.593,1.62572,3.09662,0.00453,0.71529,0.64424,0.68398,0.34124,1.79765,4.32395,0.00511,0.00054061,0.00054061,0.00054061
25,376.736,1.5623,2.8595,0.0043,0.8092,0.67949,0.72661,0.32698,1.81578,4.17202,0.00524,0.00053368,0.00053368,0.00053368
26,391.936,1.54426,2.75248,0.00421,0.87153,0.64103,0.73388,0.33803,1.81682,4.05876,0.00513,0.00052675,0.00052675,0.00052675
27,407.04,1.57482,2.75121,0.00421,0.78307,0.64103,0.70719,0.32564,1.79458,4.01835,0.00551,0.00051982,0.00051982,0.00051982
28,422.037,1.56995,2.73258,0.00422,0.8352,0.51282,0.65673,0.29939,1.82076,3.90195,0.00547,0.00051289,0.00051289,0.00051289
29,437.131,1.62521,2.61515,0.00447,0.75038,0.61664,0.67975,0.29831,1.76833,3.81959,0.00515,0.00050596,0.00050596,0.00050596
30,452.392,1.5506,2.54974,0.0042,0.73229,0.63129,0.66997,0.31453,1.74368,3.76931,0.00507,0.00049903,0.00049903,0.00049903
31,467.392,1.55107,2.37134,0.00417,0.76193,0.61538,0.69716,0.30415,1.798,3.71786,0.00511,0.0004921,0.0004921,0.0004921
32,482.401,1.55407,2.41086,0.00417,0.69125,0.58974,0.58623,0.26717,1.82363,3.73148,0.00532,0.00048517,0.00048517,0.00048517
33,497.465,1.49352,2.25226,0.00406,0.71352,0.5641,0.60602,0.28145,1.77506,3.51463,0.00515,0.00047824,0.00047824,0.00047824
34,512.561,1.52958,2.18335,0.00417,0.74318,0.58974,0.66628,0.31149,1.80945,3.39779,0.0049,0.00047131,0.00047131,0.00047131
35,527.794,1.51805,2.06082,0.00424,0.79898,0.66249,0.71885,0.32222,1.81327,3.29888,0.00494,0.00046438,0.00046438,0.00046438
36,542.919,1.5536,2.06709,0.00424,0.74731,0.62821,0.69836,0.30405,1.80779,3.3412,0.0051,0.00045745,0.00045745,0.00045745
37,557.951,1.46444,2.08874,0.00405,0.62249,0.66667,0.5853,0.26375,1.79795,3.48841,0.00499,0.00045052,0.00045052,0.00045052
38,573.187,1.45925,2.01797,0.00409,0.70143,0.60239,0.57914,0.27193,1.79607,3.48923,0.00505,0.00044359,0.00044359,0.00044359
39,588.343,1.45648,1.882,0.00399,0.68731,0.62821,0.60977,0.28639,1.81442,3.42871,0.00527,0.00043666,0.00043666,0.00043666
40,603.628,1.4647,1.86869,0.004,0.7557,0.65385,0.6476,0.30999,1.78101,3.39609,0.00501,0.00042973,0.00042973,0.00042973
41,618.904,1.43527,1.84882,0.00379,0.70256,0.66623,0.62359,0.30777,1.86208,3.29731,0.00528,0.0004228,0.0004228,0.0004228
42,634.173,1.43756,1.75498,0.00384,0.62372,0.61538,0.60323,0.29499,1.83819,3.32212,0.00522,0.00041587,0.00041587,0.00041587
43,649.586,1.44094,1.85711,0.00378,0.68653,0.64585,0.58892,0.28212,1.78349,3.2651,0.00531,0.00040894,0.00040894,0.00040894
44,665.043,1.47589,1.84659,0.00416,0.61917,0.62821,0.60021,0.29487,1.80693,3.26465,0.00543,0.00040201,0.00040201,0.00040201
45,680.348,1.41579,1.80411,0.00394,0.78568,0.61538,0.68483,0.32506,1.8506,3.18475,0.00564,0.00039508,0.00039508,0.00039508
46,695.727,1.46058,1.61062,0.00407,0.8697,0.60256,0.71157,0.30733,1.89276,3.02176,0.0056,0.00038815,0.00038815,0.00038815
47,711.01,1.45781,1.59767,0.00394,0.86127,0.61538,0.73718,0.3266,1.86975,2.97072,0.00537,0.00038122,0.00038122,0.00038122
48,726.329,1.3971,1.661,0.00383,0.862,0.65385,0.74343,0.34287,1.9452,2.96493,0.00543,0.00037429,0.00037429,0.00037429
49,741.712,1.50207,1.55866,0.00393,0.83261,0.63774,0.72453,0.33105,1.8852,3.00245,0.00526,0.00036736,0.00036736,0.00036736
50,757.227,1.43403,1.63819,0.00373,0.77841,0.6756,0.71241,0.3107,1.87913,2.91787,0.0052,0.00036043,0.00036043,0.00036043
51,772.653,1.389,1.46942,0.00371,0.76928,0.67949,0.72114,0.31999,1.9134,2.83544,0.00529,0.0003535,0.0003535,0.0003535
52,787.925,1.39124,1.50113,0.00376,0.78275,0.65385,0.66571,0.31699,1.87303,2.97961,0.00528,0.00034657,0.00034657,0.00034657
53,803.259,1.45702,1.57559,0.00404,0.79521,0.65385,0.66737,0.31497,1.87335,3.05371,0.00527,0.00033964,0.00033964,0.00033964
54,818.459,1.34328,1.47804,0.00351,0.78701,0.66667,0.69583,0.32842,1.86223,2.9404,0.00524,0.00033271,0.00033271,0.00033271
55,833.703,1.41489,1.37158,0.00375,0.84092,0.64103,0.69864,0.33624,1.84077,2.89227,0.00514,0.00032578,0.00032578,0.00032578
56,848.823,1.35313,1.3856,0.00359,0.75385,0.66748,0.69449,0.334,1.83878,2.89587,0.00501,0.00031885,0.00031885,0.00031885
57,864.255,1.36831,1.35182,0.00355,0.76643,0.67949,0.69449,0.33344,1.87215,2.96181,0.00506,0.00031192,0.00031192,0.00031192
58,879.645,1.37351,1.41389,0.00355,0.75941,0.67949,0.69134,0.34204,1.80327,2.8634,0.00491,0.00030499,0.00030499,0.00030499
59,894.834,1.32245,1.28258,0.0035,0.7878,0.66637,0.68775,0.34366,1.79819,2.78709,0.00483,0.00029806,0.00029806,0.00029806
60,910.01,1.31965,1.24491,0.00352,0.8077,0.65385,0.68958,0.33557,1.78239,2.81995,0.00478,0.00029113,0.00029113,0.00029113
61,925.125,1.31397,1.31365,0.00351,0.77734,0.66667,0.68232,0.33915,1.7952,2.82234,0.00492,0.0002842,0.0002842,0.0002842
62,940.245,1.30944,1.22001,0.0034,0.78652,0.66135,0.69473,0.35138,1.86686,2.87753,0.00522,0.00027727,0.00027727,0.00027727
63,955.382,1.35928,1.25079,0.00354,0.78142,0.65385,0.71973,0.36106,1.85531,2.82255,0.00523,0.00027034,0.00027034,0.00027034
64,970.577,1.28955,1.21855,0.0034,0.81598,0.66667,0.74225,0.35995,1.82066,2.74392,0.0052,0.00026341,0.00026341,0.00026341
65,985.803,1.27631,1.21435,0.00339,0.79939,0.66417,0.73576,0.35772,1.80593,2.71603,0.00517,0.00025648,0.00025648,0.00025648
66,1000.89,1.32677,1.21683,0.00341,0.77818,0.67467,0.72548,0.34218,1.84263,2.7376,0.00528,0.00024955,0.00024955,0.00024955
67,1016.09,1.29059,1.07572,0.00335,0.79788,0.64103,0.69544,0.32431,1.8447,2.84959,0.00519,0.00024262,0.00024262,0.00024262
68,1031.23,1.22642,1.09051,0.00332,0.7177,0.65385,0.68165,0.31136,1.8844,2.85568,0.00528,0.00023569,0.00023569,0.00023569
69,1046.32,1.2653,1.21899,0.00362,0.73642,0.65385,0.66527,0.31713,1.88388,2.8081,0.00515,0.00022876,0.00022876,0.00022876
70,1061.57,1.23769,1.0802,0.00327,0.74762,0.64103,0.6718,0.32545,1.80885,2.89073,0.00476,0.00022183,0.00022183,0.00022183
71,1076.8,1.25838,1.14731,0.00325,0.77672,0.67949,0.69711,0.33148,1.81721,2.87265,0.00483,0.0002149,0.0002149,0.0002149
72,1091.78,1.2908,1.08391,0.00353,0.80016,0.67949,0.70188,0.33915,1.82469,2.82732,0.00509,0.00020797,0.00020797,0.00020797
73,1106.88,1.25232,1.08053,0.0032,0.77572,0.66667,0.6777,0.32311,1.84282,2.78756,0.00516,0.00020104,0.00020104,0.00020104
74,1122.09,1.23688,1.11195,0.00357,0.77563,0.6648,0.67624,0.33433,1.85145,2.76548,0.00517,0.00019411,0.00019411,0.00019411
75,1137.21,1.256,1.0199,0.00315,0.73911,0.67949,0.69536,0.33356,1.8252,2.74215,0.00504,0.00018718,0.00018718,0.00018718
76,1152.35,1.24941,1.03142,0.00323,0.81548,0.64103,0.73991,0.3476,1.85021,2.66433,0.00515,0.00018025,0.00018025,0.00018025
77,1167.63,1.27605,1.03888,0.00336,0.88977,0.64103,0.75427,0.34742,1.8949,2.59852,0.0053,0.00017332,0.00017332,0.00017332
78,1182.99,1.20753,1.04357,0.00325,0.87416,0.64103,0.75396,0.34614,1.88181,2.61584,0.00529,0.00016639,0.00016639,0.00016639
79,1198.25,1.17,1.21073,0.00317,0.79081,0.67853,0.74306,0.33743,1.92177,2.66759,0.00532,0.00015946,0.00015946,0.00015946
80,1213.31,1.19627,1.09317,0.00304,0.81207,0.66481,0.73852,0.3311,1.91141,2.6949,0.00519,0.00015253,0.00015253,0.00015253
81,1228.46,1.2634,0.99467,0.00319,0.80182,0.67435,0.73128,0.328,1.87958,2.66577,0.00518,0.0001456,0.0001456,0.0001456
82,1243.74,1.18945,0.97612,0.00303,0.81733,0.66667,0.73006,0.3354,1.83904,2.64565,0.00512,0.00013867,0.00013867,0.00013867
83,1258.9,1.20395,1.05439,0.00302,0.7903,0.69231,0.72929,0.33551,1.8659,2.63335,0.00517,0.00013174,0.00013174,0.00013174
84,1273.78,1.1994,1.01763,0.00308,0.78407,0.69834,0.73184,0.33872,1.86226,2.65905,0.00516,0.00012481,0.00012481,0.00012481
85,1288.9,1.2019,1.00259,0.00299,0.77185,0.69231,0.72873,0.33561,1.87857,2.702,0.00515,0.00011788,0.00011788,0.00011788
86,1304.05,1.21417,0.97198,0.00319,0.75418,0.70802,0.72508,0.34178,1.87962,2.69883,0.00517,0.00011095,0.00011095,0.00011095
87,1319.28,1.15278,0.98821,0.00291,0.74883,0.73077,0.7244,0.34209,1.89805,2.693,0.00514,0.00010402,0.00010402,0.00010402
88,1334.53,1.21556,1.03026,0.00322,0.76353,0.69231,0.72266,0.33984,1.88074,2.66117,0.00512,9.709e-05,9.709e-05,9.709e-05
