epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0772,2.01723,52.343,0.01635,0.00058,0.34615,0.00044,0.00012,2.2554,59.7985,0.01997,0.000212121,0.000212121,0.0699091
2,26.4307,2.23676,37.4982,0.01781,0.00064,0.38462,0.00159,0.00049,2.94626,39.1452,0.02713,0.000441045,0.000441045,0.0368047
3,39.7117,2.20274,20.7765,0.01725,0.00045,0.26923,0.00021,4e-05,2.91636,34.9802,0.03049,0.000665348,0.000665348,0.00369565
4,53.0423,1.87465,22.7011,0.0152,0.00038,0.23077,0.00158,0.00032,2.55637,31.12,0.02414,0.00067921,0.00067921,0.00067921
5,66.5689,2.05743,21.046,0.01471,0.00038,0.23077,0.00249,0.00086,2.47528,31.0412,0.0226,0.00067228,0.00067228,0.00067228
6,80.0197,2.04822,17.7599,0.01511,0.00064,0.38462,0.00423,0.00125,2.48922,29.9516,0.02304,0.00066535,0.00066535,0.00066535
7,93.6513,1.84525,17.3898,0.01313,0.00058,0.34615,0.0082,0.00422,2.18737,27.3268,0.02042,0.00065842,0.00065842,0.00065842
8,107.292,1.78662,17.2861,0.01196,0.0009,0.53846,0.00906,0.00259,2.11654,25.7936,0.01904,0.00065149,0.00065149,0.00065149
9,120.869,1.69476,16.7652,0.01198,0.0846,0.07692,0.06223,0.01308,2.21807,25.6367,0.01982,0.00064456,0.00064456,0.00064456
10,134.408,1.72182,16.8719,0.01265,0.16291,0.07692,0.06169,0.02541,2.27056,25.3298,0.01837,0.00063763,0.00063763,0.00063763
11,147.99,1.5345,14.6546,0.01059,0.20259,0.19231,0.07856,0.02332,2.19837,24.4425,0.01636,0.0006307,0.0006307,0.0006307
12,161.498,1.60316,17.4329,0.01189,0.19236,0.07692,0.0907,0.03445,2.19037,23.0271,0.01856,0.00062377,0.00062377,0.00062377
13,175.151,1.51046,15.7622,0.01074,0.33669,0.07692,0.12555,0.04593,2.17296,21.6301,0.01959,0.00061684,0.00061684,0.00061684
14,188.735,1.54981,15.9843,0.01048,0.25069,0.07692,0.11573,0.05168,2.06811,19.963,0.01556,0.00060991,0.00060991,0.00060991
15,202.33,1.52364,13.2701,0.01172,0.3713,0.26923,0.14622,0.04775,2.25974,19.7529,0.01757,0.00060298,0.00060298,0.00060298
16,215.914,1.61326,12.4922,0.01188,0.27506,0.23077,0.18495,0.05274,2.10128,18.8712,0.0163,0.00059605,0.00059605,0.00059605
17,229.492,1.5753,11.6391,0.0109,0.58984,0.23077,0.24848,0.06973,2.1481,18.4047,0.01542,0.00058912,0.00058912,0.00058912
18,243.222,1.56331,12.8004,0.0104,0.48131,0.19231,0.17929,0.04887,2.08177,17.9265,0.01745,0.00058219,0.00058219,0.00058219
19,256.837,1.5244,10.7587,0.01074,0.36567,0.28871,0.20608,0.06619,2.02394,16.6872,0.01623,0.00057526,0.00057526,0.00057526
20,270.648,1.52398,12.7235,0.01019,0.39115,0.23077,0.16643,0.05021,2.06727,16.3427,0.01768,0.00056833,0.00056833,0.00056833
21,284.43,1.62361,9.88485,0.01147,0.37533,0.26923,0.19329,0.0599,2.00163,16.0592,0.01704,0.0005614,0.0005614,0.0005614
22,298.371,1.36151,11.3092,0.00939,0.46665,0.26921,0.23685,0.07444,1.99003,15.3039,0.01792,0.00055447,0.00055447,0.00055447
23,311.977,1.55554,10.3241,0.01104,0.56461,0.26923,0.30054,0.08596,1.98131,14.4702,0.016,0.00054754,0.00054754,0.00054754
