epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2488,1.99814,10.6061,0.02441,0.00146,0.18966,0.00635,0.00152,1.49178,3.07251,0.02108,0.000222727,0.000222727,0.0684045
2,48.9047,1.71277,4.05064,0.0208,0.00962,0.25862,0.0062,0.00157,1.31859,2.71915,0.01909,0.000450417,0.000450417,0.0352989
3,72.5924,1.69055,3.15018,0.01982,0.00519,0.48276,0.00942,0.00237,1.22081,2.5456,0.01677,0.000672331,0.000672331,0.00218748
4,96.6541,1.60921,2.84874,0.01865,0.4435,0.31034,0.24256,0.09214,0.9662,2.04522,0.01063,0.000674013,0.000674013,0.000674013
5,120.784,1.53512,2.6856,0.01738,0.46621,0.37931,0.32086,0.11578,0.92021,1.77784,0.0118,0.00066535,0.00066535,0.00066535
6,145.098,1.44688,2.39326,0.01638,0.67711,0.34483,0.41556,0.18093,0.90753,1.68996,0.01071,0.000656687,0.000656687,0.000656687
7,169.401,1.38627,2.10214,0.01495,0.61034,0.37931,0.42019,0.1499,1.0246,1.56292,0.01208,0.000648025,0.000648025,0.000648025
8,193.557,1.35519,1.78877,0.01505,0.50929,0.34483,0.32572,0.12789,1.06604,1.70391,0.01267,0.000639362,0.000639362,0.000639362
9,217.853,1.36289,1.67489,0.01495,0.54491,0.51724,0.41106,0.17351,0.96647,1.59783,0.0116,0.0006307,0.0006307,0.0006307
10,242.164,1.32691,1.44516,0.0149,0.56422,0.31034,0.3483,0.14221,1.0644,1.76554,0.01277,0.000622038,0.000622038,0.000622038
11,266.433,1.28918,1.34295,0.01415,0.53553,0.35791,0.39289,0.15191,1.04837,1.47712,0.01252,0.000613375,0.000613375,0.000613375
12,290.717,1.2665,1.18208,0.0139,0.81364,0.43103,0.47723,0.20243,1.11314,1.48098,0.01351,0.000604713,0.000604713,0.000604713
13,315.255,1.25911,1.12989,0.01352,0.76678,0.39655,0.45487,0.17583,1.06109,1.5155,0.01178,0.00059605,0.00059605,0.00059605
14,339.81,1.21527,1.07264,0.01343,0.79533,0.37931,0.46559,0.17711,1.07527,1.41629,0.01289,0.000587388,0.000587388,0.000587388
15,364.302,1.17235,0.97969,0.0128,0.8489,0.38761,0.45716,0.19073,1.03782,1.51927,0.01217,0.000578725,0.000578725,0.000578725
16,388.765,1.10057,0.91841,0.01189,0.69954,0.41379,0.4009,0.17201,1.15314,1.44555,0.01316,0.000570062,0.000570062,0.000570062
17,413.269,1.10565,0.85894,0.01173,0.88131,0.38422,0.46204,0.19096,1.10729,1.45096,0.01364,0.0005614,0.0005614,0.0005614
18,437.951,1.03892,0.78737,0.01128,0.75881,0.39655,0.40631,0.16556,1.15394,1.46309,0.015,0.000552738,0.000552738,0.000552738
19,462.089,1.03745,0.73337,0.01108,0.60271,0.43103,0.3707,0.15513,1.12015,1.52293,0.01338,0.000544075,0.000544075,0.000544075
20,486.396,1.02693,0.73951,0.01106,0.66663,0.4482,0.42632,0.18326,1.00763,1.42882,0.01152,0.000535412,0.000535412,0.000535412
21,511.06,1.00313,0.71925,0.01088,0.79944,0.44828,0.44627,0.15996,1.04185,1.60347,0.01151,0.00052675,0.00052675,0.00052675
22,535.557,0.93591,0.68774,0.01012,0.62969,0.48276,0.44388,0.16438,1.11903,1.60822,0.01341,0.000518088,0.000518088,0.000518088
23,560.183,0.95783,0.67606,0.01025,0.77642,0.39655,0.4076,0.14045,1.04948,1.67016,0.01274,0.000509425,0.000509425,0.000509425
24,584.729,0.90277,0.6185,0.00955,0.96152,0.43085,0.45782,0.158,1.19357,1.51389,0.01434,0.000500763,0.000500763,0.000500763
25,609.141,0.85688,0.57955,0.00918,0.85283,0.39655,0.45016,0.17268,1.12593,1.59662,0.01306,0.0004921,0.0004921,0.0004921
26,633.595,0.84537,0.54908,0.00917,0.71041,0.41379,0.42471,0.15588,1.15724,1.62009,0.0138,0.000483438,0.000483438,0.000483438
27,658.02,0.83806,0.56813,0.00885,0.69949,0.41379,0.43601,0.1474,1.16572,1.64964,0.01424,0.000474775,0.000474775,0.000474775
28,682.574,0.78308,0.5191,0.00821,0.76046,0.44828,0.48723,0.18305,1.12945,1.64861,0.01329,0.000466112,0.000466112,0.000466112
29,707.04,0.82794,0.51204,0.0086,0.67796,0.43103,0.42924,0.17964,1.14216,1.63383,0.01364,0.00045745,0.00045745,0.00045745
30,731.547,0.76719,0.48628,0.00811,0.89768,0.39655,0.42908,0.18519,1.13694,1.69344,0.01422,0.000448787,0.000448787,0.000448787
31,756.262,0.78055,0.47279,0.00824,0.59548,0.41379,0.41301,0.16579,1.09346,1.75119,0.01316,0.000440125,0.000440125,0.000440125
32,780.712,0.7647,0.48259,0.00816,0.68571,0.41379,0.44236,0.15985,1.15472,1.61291,0.01361,0.000431462,0.000431462,0.000431462
