epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4613,2.35188,16.6706,0.01061,0.00031,0.0641,0.00011,5e-05,2.54797,12.2504,0.0152,0.000311111,0.000311111,0.0692
2,37.3348,2.22706,8.76127,0.01053,0.00043,0.04487,6e-05,2e-05,2.50288,8.47511,0.01483,0.000623178,0.000623178,0.0361787
3,56.47,1.93662,6.51857,0.0089,0.00613,0.16667,0.00678,0.00279,2.21448,7.09601,0.01158,0.000913244,0.000913244,0.00313547
4,75.5031,1.93094,6.04556,0.00871,0.01855,0.25,0.05729,0.02557,2.16819,6.95505,0.01256,0.000901,0.000901,0.000901
5,94.6868,1.91418,5.37915,0.00802,0.04423,0.38462,0.14771,0.0544,2.00451,6.44956,0.00985,0.000868,0.000868,0.000868
6,114.017,1.8544,5.02663,0.00769,0.01684,0.46154,0.1138,0.05109,2.21136,6.29451,0.01143,0.000835,0.000835,0.000835
7,133.365,1.7974,4.76583,0.00781,0.90393,0.0641,0.15097,0.0639,1.99775,5.80813,0.01025,0.000802,0.000802,0.000802
8,152.7,1.7951,4.81736,0.00788,0.33446,0.10256,0.17588,0.07641,2.03238,5.33957,0.01006,0.000769,0.000769,0.000769
9,171.921,1.79433,4.34601,0.00776,0.35356,0.21795,0.226,0.08189,2.12026,4.94537,0.01029,0.000736,0.000736,0.000736
10,191.518,1.80192,4.05821,0.00762,0.50242,0.1859,0.233,0.10502,1.93383,4.6734,0.00837,0.000703,0.000703,0.000703
11,210.786,1.76785,3.98804,0.0077,0.37214,0.28205,0.25913,0.10657,1.98271,4.44719,0.0094,0.00067,0.00067,0.00067
12,230.22,1.74741,3.81519,0.00724,0.29346,0.36538,0.26116,0.11695,1.92868,4.37754,0.00963,0.000637,0.000637,0.000637
13,249.78,1.77702,3.65668,0.00758,0.36102,0.26282,0.26585,0.11237,1.95591,4.43727,0.00935,0.000604,0.000604,0.000604
14,269.257,1.75807,3.52805,0.00759,0.43704,0.30769,0.3236,0.13857,1.97686,4.06359,0.00908,0.000571,0.000571,0.000571
15,288.677,1.72986,3.31051,0.00719,0.46548,0.46795,0.42805,0.1764,1.99376,3.65302,0.00964,0.000538,0.000538,0.000538
16,308.285,1.69069,3.20285,0.00679,0.50398,0.39103,0.43153,0.18106,2.02698,3.5979,0.00974,0.000505,0.000505,0.000505
17,327.606,1.71449,3.24647,0.00691,0.46192,0.53382,0.44614,0.19369,1.91825,3.48659,0.00835,0.000472,0.000472,0.000472
18,346.839,1.64533,3.08074,0.00673,0.45663,0.44872,0.44912,0.17654,1.9154,3.47877,0.00792,0.000439,0.000439,0.000439
19,366.308,1.68677,2.99021,0.00689,0.51564,0.55182,0.44523,0.19592,1.98568,3.42413,0.00834,0.000406,0.000406,0.000406
20,385.499,1.6825,2.86726,0.00691,0.54592,0.48718,0.45969,0.20577,1.96973,3.39876,0.00846,0.000373,0.000373,0.000373
21,405.012,1.63677,2.91152,0.00662,0.65042,0.46154,0.47094,0.1861,1.97575,3.2847,0.00881,0.00034,0.00034,0.00034
22,424.609,1.60354,2.83932,0.00648,0.59707,0.43552,0.44501,0.19799,1.91693,3.22028,0.00821,0.000307,0.000307,0.000307
23,444.304,1.57243,2.65812,0.00603,0.48792,0.41667,0.42236,0.18627,1.98714,3.28568,0.00822,0.000274,0.000274,0.000274
24,463.837,1.63015,2.73895,0.00661,0.5219,0.37821,0.46408,0.19339,1.98793,3.31891,0.00871,0.000241,0.000241,0.000241
25,483.211,1.59908,2.69483,0.00623,0.6819,0.41871,0.48767,0.19945,1.98297,3.20094,0.00888,0.000208,0.000208,0.000208
26,502.415,1.6043,2.54419,0.00636,0.54779,0.48718,0.48803,0.20789,2.01699,3.09839,0.00914,0.000175,0.000175,0.000175
27,521.85,1.54493,2.56497,0.00595,0.5236,0.45513,0.4845,0.2119,1.95669,3.07856,0.00852,0.000142,0.000142,0.000142
28,541.247,1.55623,2.51844,0.00623,0.51451,0.46445,0.47017,0.20944,1.92174,3.10637,0.00803,0.000109,0.000109,0.000109
29,560.442,1.59673,2.49826,0.00651,0.50241,0.48077,0.4775,0.21033,1.93891,3.06248,0.00869,7.6e-05,7.6e-05,7.6e-05
30,579.795,1.54571,2.48857,0.00616,0.51592,0.48718,0.46829,0.20525,1.95696,3.03576,0.00871,4.3e-05,4.3e-05,4.3e-05
