epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6981,2.00627,4.97709,0.00847,0.61996,0.30341,0.35601,0.15894,2.03952,4.3223,0.01048,0.000311111,0.000311111,0.0692
2,37.369,2.07338,3.65253,0.00959,0.34415,0.26923,0.25716,0.12912,2.14967,4.27905,0.01101,0.000623178,0.000623178,0.0361787
3,56.1604,1.92833,3.12682,0.00861,0.52604,0.43448,0.39656,0.18092,2.06503,3.34357,0.00976,0.000913244,0.000913244,0.00313547
4,75.0816,1.92454,3.18187,0.00877,0.76161,0.42962,0.42913,0.20307,2.11336,3.34903,0.00987,0.000901,0.000901,0.000901
5,94.0544,1.8301,2.85974,0.00747,0.50461,0.46795,0.42507,0.18885,2.15822,3.23316,0.01028,0.000868,0.000868,0.000868
6,113.068,1.7963,2.74132,0.00746,0.4822,0.41667,0.4185,0.19617,1.83339,3.05372,0.00845,0.000835,0.000835,0.000835
7,132.071,1.85594,2.66414,0.00792,0.62146,0.42562,0.44312,0.22233,1.88963,2.96375,0.00945,0.000802,0.000802,0.000802
8,151.251,1.87805,2.73999,0.00835,0.61193,0.44872,0.46154,0.22236,1.86309,2.89227,0.00897,0.000769,0.000769,0.000769
9,170.415,1.76866,2.5455,0.00716,0.65264,0.4693,0.49176,0.24676,1.98149,2.75318,0.00954,0.000736,0.000736,0.000736
10,189.566,1.77874,2.44828,0.00703,0.66741,0.44686,0.4517,0.22746,2.00472,2.79329,0.00908,0.000703,0.000703,0.000703
11,208.725,1.67947,2.41262,0.00657,0.77237,0.40451,0.47423,0.24375,1.8649,2.76665,0.009,0.00067,0.00067,0.00067
12,227.879,1.73123,2.32132,0.00716,0.76522,0.4476,0.50074,0.25863,1.81002,2.68609,0.00863,0.000637,0.000637,0.000637
13,247.067,1.66584,2.27161,0.00663,0.89514,0.45491,0.54724,0.27284,1.74687,2.63197,0.00818,0.000604,0.000604,0.000604
14,266.416,1.67993,2.25232,0.00676,0.65916,0.5,0.54358,0.24773,1.81738,2.66394,0.00866,0.000571,0.000571,0.000571
15,285.885,1.68982,2.13872,0.00666,0.64625,0.48176,0.51761,0.25093,1.88308,2.7335,0.00891,0.000538,0.000538,0.000538
16,305.177,1.68726,2.1272,0.00673,0.67029,0.47738,0.50389,0.23784,1.88563,2.71309,0.00912,0.000505,0.000505,0.000505
17,324.696,1.70007,2.08682,0.00669,0.71548,0.48027,0.4954,0.24028,1.88267,2.71114,0.00894,0.000472,0.000472,0.000472
18,344.042,1.63177,2.04451,0.0065,0.6843,0.48718,0.52045,0.24116,1.87218,2.6274,0.00884,0.000439,0.000439,0.000439
19,363.437,1.63515,1.94946,0.00643,0.58969,0.53205,0.52332,0.24861,1.9149,2.62331,0.00926,0.000406,0.000406,0.000406
20,382.877,1.60547,1.93318,0.00631,0.58549,0.51923,0.56071,0.26454,1.86854,2.59457,0.00868,0.000373,0.000373,0.000373
21,402.225,1.57295,1.9018,0.00633,0.60052,0.503,0.55183,0.27088,1.86415,2.65757,0.0085,0.00034,0.00034,0.00034
22,421.703,1.6605,1.86226,0.00654,0.81971,0.47433,0.57772,0.28137,1.93161,2.64335,0.00873,0.000307,0.000307,0.000307
23,441.212,1.60804,1.84732,0.00608,0.62085,0.53205,0.5641,0.27509,1.92461,2.59117,0.00903,0.000274,0.000274,0.000274
24,460.38,1.57668,1.85183,0.00641,0.62883,0.53205,0.57304,0.2771,1.89767,2.60652,0.00907,0.000241,0.000241,0.000241
25,479.642,1.56477,1.8569,0.00584,0.67899,0.53371,0.57395,0.27131,1.92968,2.53566,0.0093,0.000208,0.000208,0.000208
26,499.136,1.5351,1.77682,0.00599,0.68252,0.51443,0.55839,0.27092,1.95889,2.5127,0.00949,0.000175,0.000175,0.000175
27,518.558,1.6079,1.75558,0.00615,0.77517,0.5,0.58418,0.27279,1.96848,2.4943,0.00922,0.000142,0.000142,0.000142
28,538.133,1.58491,1.69971,0.00622,0.77181,0.5,0.58044,0.2743,1.98729,2.454,0.00941,0.000109,0.000109,0.000109
29,557.693,1.58249,1.65176,0.00641,0.75447,0.50889,0.58195,0.27828,1.96483,2.44772,0.00909,7.6e-05,7.6e-05,7.6e-05
30,577.193,1.5437,1.70293,0.00598,0.75356,0.51708,0.58003,0.28309,1.97671,2.43115,0.00911,4.3e-05,4.3e-05,4.3e-05
