epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9967,2.27521,23.342,0.00759,8e-05,0.01282,0,0,2.34939,12.8733,0.00745,0.000311111,0.000311111,0.0692
2,37.8389,2.17694,11.2623,0.00754,6e-05,0.01282,0,0,2.13077,8.65898,0.00689,0.000623178,0.000623178,0.0361787
3,56.7424,1.94761,6.94189,0.00596,6e-05,0.01282,0,0,2.0322,7.5758,0.00606,0.000913244,0.000913244,0.00313547
4,75.7744,1.9136,7.12451,0.0064,0.00045,0.08974,0.00024,0.0001,1.96274,7.14096,0.00614,0.000901,0.000901,0.000901
5,94.9198,1.87306,5.75073,0.00569,0.0034,0.67949,0.29049,0.1051,2.14009,6.72785,0.00652,0.000868,0.000868,0.000868
6,114.08,1.7859,5.10182,0.00524,0.60763,0.29487,0.3424,0.15255,2.06027,6.41919,0.00635,0.000835,0.000835,0.000835
7,133.182,1.81511,5.09647,0.0055,0.79529,0.14962,0.37624,0.16268,2.1831,5.95852,0.00675,0.000802,0.000802,0.000802
8,152.465,1.85078,5.42578,0.00561,0.79169,0.16667,0.3826,0.13884,2.16218,5.73606,0.00648,0.000769,0.000769,0.000769
9,171.8,1.70175,4.62494,0.00498,0.55027,0.32947,0.38088,0.17086,2.01343,5.10204,0.00602,0.000736,0.000736,0.000736
10,190.873,1.72531,4.1599,0.00502,0.56153,0.47436,0.45418,0.20085,1.83589,4.72558,0.00506,0.000703,0.000703,0.000703
11,210.018,1.72162,4.2345,0.00505,0.5986,0.5641,0.51423,0.21611,1.8203,4.37269,0.00491,0.00067,0.00067,0.00067
12,229.127,1.72247,3.96992,0.00496,0.58287,0.52564,0.49563,0.19143,1.76652,4.21446,0.00481,0.000637,0.000637,0.000637
13,248.24,1.7125,3.83321,0.00502,0.72942,0.51846,0.57486,0.23747,1.66084,3.97508,0.00464,0.000604,0.000604,0.000604
14,267.474,1.62014,3.66692,0.00461,0.65388,0.57692,0.61325,0.28748,1.73558,3.9171,0.00499,0.000571,0.000571,0.000571
15,286.822,1.6829,3.33334,0.00488,0.61811,0.48718,0.52363,0.24401,1.87726,4.02474,0.00547,0.000538,0.000538,0.000538
16,306.113,1.74289,3.41368,0.0051,0.63083,0.5,0.5167,0.23193,1.80188,3.8811,0.0051,0.000505,0.000505,0.000505
17,325.42,1.68148,3.26974,0.0047,0.62616,0.57692,0.58522,0.28144,1.77695,3.54327,0.00483,0.000472,0.000472,0.000472
18,344.784,1.66415,3.17803,0.0046,0.7261,0.52564,0.62059,0.29954,1.82004,3.35945,0.00491,0.000439,0.000439,0.000439
19,364.164,1.60105,2.94802,0.00447,0.60558,0.58974,0.60929,0.30156,1.73238,3.25858,0.00469,0.000406,0.000406,0.000406
20,383.585,1.6024,3.09511,0.00452,0.60587,0.58974,0.61484,0.29851,1.76249,3.22602,0.00481,0.000373,0.000373,0.000373
21,402.965,1.63777,2.86437,0.00474,0.69694,0.47176,0.58933,0.28482,1.77481,3.14891,0.00481,0.00034,0.00034,0.00034
22,422.118,1.61336,3.00087,0.00465,0.78309,0.46288,0.60591,0.28764,1.80131,3.18454,0.00497,0.000307,0.000307,0.000307
23,441.335,1.58145,2.61546,0.0043,0.69398,0.52335,0.59932,0.28634,1.88309,3.15015,0.00532,0.000274,0.000274,0.000274
24,460.879,1.59369,2.75067,0.00456,0.61805,0.60162,0.62267,0.27937,1.79431,3.14983,0.00485,0.000241,0.000241,0.000241
25,480.274,1.61027,2.54147,0.00451,0.62806,0.62781,0.64416,0.28972,1.79473,3.02003,0.00515,0.000208,0.000208,0.000208
26,499.721,1.53019,2.45365,0.00419,0.61085,0.644,0.64522,0.29032,1.78509,2.91083,0.00507,0.000175,0.000175,0.000175
27,519.226,1.54886,2.41772,0.00431,0.63049,0.66667,0.65572,0.29659,1.80391,2.86551,0.00516,0.000142,0.000142,0.000142
28,538.655,1.50155,2.45044,0.00415,0.61003,0.66667,0.6448,0.2964,1.82133,2.83185,0.00523,0.000109,0.000109,0.000109
29,558.118,1.6028,2.55858,0.00443,0.59386,0.65614,0.63832,0.28966,1.82679,2.82139,0.0052,7.6e-05,7.6e-05,7.6e-05
30,577.822,1.59103,2.33775,0.00455,0.56135,0.64103,0.61914,0.29067,1.82786,2.82964,0.00518,4.3e-05,4.3e-05,4.3e-05
