epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6577,2.29236,21.9613,0.00749,0.00013,0.02564,0,0,2.2657,18.1501,0.00812,0.000305556,0.000305556,0.06975
2,29.4245,1.97997,9.77916,0.00599,0.00026,0.05128,2e-05,0,2.1396,10.7523,0.00676,0.000617806,0.000617806,0.0367289
3,44.1635,1.9018,6.94968,0.00608,0.00013,0.02564,1e-05,0,2.04858,9.66219,0.0065,0.000908056,0.000908056,0.00368583
4,59.0749,1.84583,6.53106,0.00552,0.00026,0.05128,3e-05,0,1.9554,9.10244,0.00561,0.000901,0.000901,0.000901
5,74.0075,1.84748,6.4328,0.00526,0.00122,0.24359,0.03372,0.01179,1.77884,8.46954,0.005,0.000868,0.000868,0.000868
6,88.9878,1.77183,5.52349,0.00516,0.00167,0.33333,0.16112,0.06133,1.82681,8.28526,0.0051,0.000835,0.000835,0.000835
7,104.034,1.70428,5.52212,0.00481,0.0034,0.67949,0.33046,0.12683,1.82503,7.70898,0.00536,0.000802,0.000802,0.000802
8,119.029,1.72789,5.02445,0.0049,0.64208,0.16667,0.36691,0.17213,1.79888,7.193,0.00505,0.000769,0.000769,0.000769
9,134.057,1.72499,4.95238,0.0048,0.67935,0.34615,0.46561,0.20428,1.75572,6.57804,0.00489,0.000736,0.000736,0.000736
10,149.114,1.6532,4.63445,0.00471,0.64847,0.40211,0.51082,0.23376,1.8025,6.2474,0.00504,0.000703,0.000703,0.000703
11,164.399,1.67268,4.56322,0.00459,0.69393,0.46154,0.55125,0.2687,1.84579,5.96457,0.00522,0.00067,0.00067,0.00067
12,179.623,1.65824,4.46631,0.00475,0.70118,0.51143,0.53038,0.25124,1.8779,5.80078,0.00538,0.000637,0.000637,0.000637
13,194.855,1.64325,4.3738,0.0044,0.61362,0.52941,0.51419,0.23651,1.84054,5.53097,0.00506,0.000604,0.000604,0.000604
14,209.97,1.58864,4.06803,0.00474,0.69571,0.52764,0.56049,0.25883,1.92049,5.20697,0.00544,0.000571,0.000571,0.000571
15,225.119,1.63934,3.86519,0.00483,0.70444,0.60256,0.65436,0.2903,1.89473,5.00649,0.00547,0.000538,0.000538,0.000538
16,240.435,1.62757,6.09423,0.00552,0.692,0.5761,0.64585,0.30233,1.83605,4.86889,0.00512,0.000505,0.000505,0.000505
17,255.76,1.57849,3.63317,0.00431,0.74108,0.62385,0.62466,0.30599,1.79739,4.71024,0.00515,0.000472,0.000472,0.000472
18,270.745,1.61439,3.44841,0.00445,0.6753,0.64103,0.60813,0.28571,1.80279,4.75588,0.00508,0.000439,0.000439,0.000439
19,285.696,1.60642,3.42391,0.00443,0.77254,0.62821,0.64426,0.30489,1.80965,4.48382,0.00512,0.000406,0.000406,0.000406
20,300.771,1.61251,3.33987,0.00452,0.75335,0.6657,0.68235,0.33227,1.77576,4.25241,0.00507,0.000373,0.000373,0.000373
21,316.076,1.5361,3.27827,0.00435,0.8019,0.64103,0.70016,0.34966,1.78222,4.22609,0.00507,0.00034,0.00034,0.00034
22,331.245,1.57966,3.25432,0.00425,0.80635,0.62821,0.69887,0.34234,1.76782,4.17203,0.00497,0.000307,0.000307,0.000307
23,346.513,1.57212,3.33259,0.00444,0.78066,0.64103,0.70743,0.35813,1.78039,4.08744,0.00496,0.000274,0.000274,0.000274
24,361.619,1.53196,3.04345,0.00419,0.81898,0.63809,0.71181,0.35721,1.77459,4.02858,0.00494,0.000241,0.000241,0.000241
25,376.78,1.47655,2.91884,0.00409,0.83261,0.63773,0.70346,0.35287,1.82159,3.97378,0.00508,0.000208,0.000208,0.000208
26,392.077,1.52887,2.81708,0.00416,0.82707,0.64103,0.6933,0.34369,1.80004,3.94516,0.00502,0.000175,0.000175,0.000175
27,407.366,1.58813,2.83153,0.00419,0.80459,0.63351,0.68414,0.34484,1.79814,3.90778,0.00499,0.000142,0.000142,0.000142
28,422.539,1.53819,2.94801,0.00413,0.79107,0.64103,0.68307,0.3439,1.78922,3.89588,0.00499,0.000109,0.000109,0.000109
29,437.809,1.50075,2.8432,0.0042,0.79541,0.62821,0.68193,0.34954,1.77279,3.8614,0.005,7.6e-05,7.6e-05,7.6e-05
30,453.148,1.52021,2.8599,0.0043,0.77479,0.61752,0.68106,0.35237,1.77017,3.855,0.00499,4.3e-05,4.3e-05,4.3e-05
