epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78027,3.18756,5.87482,0.02736,0,0,0,0,3.24664,5.93104,0.0324,0.000285714,0.000285714,0.0717143
2,18.8225,3.2092,5.91331,0.02732,0,0,0,0,3.75739,6.49938,0.04042,0.000598619,0.000598619,0.0386939
3,28.0055,2.94631,5.45138,0.02491,0.00045,0.11538,0.0001,2e-05,3.53756,6.53975,0.03933,0.000889524,0.000889524,0.00565143
4,37.5131,2.62585,5.18857,0.02119,0.00047,0.26923,0.00032,7e-05,3.04191,6.69852,0.0286,0.000901,0.000901,0.000901
5,46.8793,2.38776,5.08796,0.01894,0.00045,0.26923,0.00049,0.00011,2.98751,6.83388,0.02523,0.000868,0.000868,0.000868
6,56.2586,2.29856,5.07703,0.01696,0.00064,0.38462,0.0008,0.00013,3.09127,7.67969,0.0292,0.000835,0.000835,0.000835
7,65.6867,2.14179,4.91778,0.01578,0.0018,0.19231,0.00104,0.00018,2.84527,7.33674,0.02876,0.000802,0.000802,0.000802
8,75.1113,2.056,4.81558,0.01517,0.00734,0.07692,0.00476,0.00117,2.47538,6.58827,0.02453,0.000769,0.000769,0.000769
9,84.5774,2.1018,4.65175,0.01466,0.0333,0.07692,0.00883,0.00278,2.74575,6.17631,0.02494,0.000736,0.000736,0.000736
10,94.1069,1.98461,4.44314,0.0134,0.05181,0.07692,0.01514,0.0051,2.79527,5.79261,0.02403,0.000703,0.000703,0.000703
11,103.609,2.1932,4.25033,0.01596,0.08908,0.07692,0.03631,0.01834,2.7896,5.35496,0.02357,0.00067,0.00067,0.00067
12,113.033,2.07822,4.07664,0.01452,0.31372,0.07692,0.09651,0.05345,2.80574,5.36997,0.02657,0.000637,0.000637,0.000637
13,122.481,2.05398,3.88623,0.01416,0.07645,0.07692,0.07115,0.03793,2.95901,5.54492,0.02929,0.000604,0.000604,0.000604
14,131.915,1.86358,3.74376,0.0131,0.10866,0.15385,0.06942,0.03484,2.83999,5.75516,0.02684,0.000571,0.000571,0.000571
15,141.441,1.90017,3.61018,0.01274,0.1138,0.07692,0.05843,0.02492,2.88149,5.92898,0.02801,0.000538,0.000538,0.000538
16,150.909,2.05033,3.53786,0.01465,0.20938,0.15385,0.07427,0.03086,3.08874,5.9322,0.03156,0.000505,0.000505,0.000505
17,160.463,2.15154,3.49066,0.01571,0.29891,0.15385,0.10051,0.04418,3.0225,5.8883,0.02844,0.000472,0.000472,0.000472
18,170.06,2.06618,3.18831,0.01499,0.29814,0.15385,0.1273,0.05204,3.12702,5.60518,0.02848,0.000439,0.000439,0.000439
19,179.614,1.87433,3.4898,0.01217,0.21126,0.15385,0.10624,0.03743,3.12348,5.81126,0.0282,0.000406,0.000406,0.000406
20,189.185,2.05901,3.05787,0.01584,0.12007,0.24157,0.07633,0.0259,3.22763,5.94269,0.02888,0.000373,0.000373,0.000373
21,198.746,1.96444,3.05963,0.01382,0.18711,0.19231,0.1171,0.04435,3.28411,5.64001,0.02923,0.00034,0.00034,0.00034
22,208.416,1.91808,3.12604,0.0133,0.2496,0.23077,0.16774,0.06351,3.15077,5.24076,0.0286,0.000307,0.000307,0.000307
23,217.978,1.8605,2.96054,0.01348,0.28401,0.23077,0.17155,0.06998,3.12512,5.07374,0.02881,0.000274,0.000274,0.000274
24,227.505,1.94944,2.88333,0.0139,0.25798,0.26923,0.14181,0.06183,3.06512,4.96605,0.02776,0.000241,0.000241,0.000241
25,237.055,1.89434,2.87876,0.01317,0.24478,0.26923,0.13456,0.06076,2.981,4.96821,0.02653,0.000208,0.000208,0.000208
26,246.662,1.7764,2.93335,0.01173,0.25191,0.26923,0.14448,0.06329,2.94082,4.84708,0.02548,0.000175,0.000175,0.000175
27,256.297,1.74512,2.91172,0.01223,0.27421,0.24743,0.1497,0.06413,2.94841,4.82797,0.02553,0.000142,0.000142,0.000142
28,265.95,1.72323,2.89003,0.01133,0.36008,0.30769,0.20893,0.06337,2.92552,4.82492,0.02554,0.000109,0.000109,0.000109
29,275.544,1.78457,2.67332,0.01204,0.3062,0.30769,0.14386,0.05737,2.93055,4.8094,0.02552,7.6e-05,7.6e-05,7.6e-05
30,285.116,1.76061,2.90114,0.0118,0.30021,0.30769,0.14255,0.05319,2.93153,4.74973,0.02523,4.3e-05,4.3e-05,4.3e-05
