epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1502,2.01723,52.3212,0.01635,0.00058,0.34615,0.00054,0.00013,2.29125,60.3452,0.0214,0.00030303,0.00030303,0.07
2,28.3173,2.46534,38.5167,0.02047,0.00077,0.46154,0.01416,0.00249,2.53011,37.9318,0.02514,0.000615364,0.000615364,0.036979
3,41.5766,2.34062,21.2603,0.01846,0.0009,0.53846,0.00406,0.00077,2.71324,34.3187,0.02631,0.000905697,0.000905697,0.003936
4,54.9423,2.15634,22.6384,0.01762,0.00071,0.42308,0.02408,0.0028,2.84042,33.4965,0.02679,0.000901,0.000901,0.000901
5,68.3374,2.20228,21.1795,0.01553,0.00064,0.38462,0.00593,0.00175,2.3987,28.9742,0.02123,0.000868,0.000868,0.000868
6,81.6555,2.16407,17.7821,0.0167,0.00064,0.38462,0.0016,0.00032,2.21952,27.0328,0.02127,0.000835,0.000835,0.000835
7,95.1533,1.9969,17.2823,0.01538,0.00064,0.38462,0.00131,0.0003,2.11382,25.9632,0.01658,0.000802,0.000802,0.000802
8,108.649,2.05375,17.4992,0.01529,0.0009,0.53846,0.00166,0.00038,2.24405,25.7029,0.02182,0.000769,0.000769,0.000769
9,122.068,1.86629,16.6302,0.0138,0.0009,0.53846,0.00235,0.00079,2.25212,24.7553,0.02057,0.000736,0.000736,0.000736
10,135.762,1.92386,16.9159,0.01494,0.0009,0.53846,0.00669,0.00214,2.30377,23.7856,0.02273,0.000703,0.000703,0.000703
11,149.131,1.69434,14.2145,0.01227,0.00103,0.61538,0.01172,0.00339,2.48164,24.0872,0.02424,0.00067,0.00067,0.00067
12,162.886,1.78644,16.8134,0.01373,0.00792,0.46154,0.01564,0.00564,2.15298,21.5439,0.01798,0.000637,0.000637,0.000637
13,176.504,1.83813,16.5466,0.01351,0.08595,0.11538,0.02896,0.01006,2.36828,21.7219,0.01923,0.000604,0.000604,0.000604
14,190.277,1.85589,15.0538,0.01399,0.11884,0.11538,0.05055,0.01687,2.13044,19.1916,0.01935,0.000571,0.000571,0.000571
15,203.817,1.82462,13.2705,0.01464,0.1292,0.30769,0.09062,0.02833,2.29586,18.9143,0.02191,0.000538,0.000538,0.000538
16,217.592,1.68115,12.0808,0.01282,0.23813,0.15385,0.08668,0.03351,2.17561,17.9799,0.01974,0.000505,0.000505,0.000505
17,231.413,1.82206,11.7134,0.01265,0.20015,0.19231,0.11764,0.04553,2.18249,17.5878,0.01908,0.000472,0.000472,0.000472
18,245.116,1.7157,12.5461,0.01169,0.24662,0.19231,0.12053,0.04177,2.17903,17.1915,0.01916,0.000439,0.000439,0.000439
19,258.887,1.57339,10.4689,0.01069,0.47631,0.19231,0.14005,0.04084,2.12132,16.4352,0.01954,0.000406,0.000406,0.000406
20,272.707,1.63732,12.3935,0.01119,0.19103,0.19231,0.11891,0.04195,2.1651,15.9645,0.01977,0.000373,0.000373,0.000373
21,286.354,1.58979,9.77924,0.01158,0.24454,0.22433,0.14643,0.05956,2.09179,15.5135,0.01878,0.00034,0.00034,0.00034
22,300.096,1.43431,11.1857,0.00977,0.37605,0.2555,0.18242,0.08614,2.07699,14.9661,0.0156,0.000307,0.000307,0.000307
23,313.894,1.55082,10.5023,0.01144,0.43305,0.23077,0.26557,0.10944,2.05374,14.5388,0.0148,0.000274,0.000274,0.000274
24,327.633,1.57269,11.2177,0.01247,0.46576,0.23077,0.26113,0.11041,1.98758,14.1059,0.01416,0.000241,0.000241,0.000241
25,341.41,1.43812,9.08478,0.00938,0.63315,0.26923,0.26264,0.09959,1.9609,13.7308,0.01368,0.000208,0.000208,0.000208
26,355.26,1.52346,9.36994,0.01031,0.67642,0.23077,0.26862,0.09882,1.97836,13.5527,0.01632,0.000175,0.000175,0.000175
27,368.98,1.32845,9.42646,0.00833,0.60037,0.23077,0.2609,0.09205,1.98745,13.515,0.01637,0.000142,0.000142,0.000142
28,382.758,1.48297,9.6081,0.00949,0.50572,0.23649,0.26922,0.09941,1.94077,13.4499,0.01548,0.000109,0.000109,0.000109
29,396.478,1.45478,10.3279,0.00928,0.51183,0.26923,0.26769,0.1013,1.9454,13.3965,0.01528,7.6e-05,7.6e-05,7.6e-05
30,410.279,1.4558,9.13343,0.00981,0.38557,0.26923,0.27614,0.10332,1.92468,13.3612,0.01484,4.3e-05,4.3e-05,4.3e-05
