epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0635,2.06657,50.3534,0.01639,0.00019,0.11538,8e-05,1e-05,2.45022,64.4814,0.02226,0.00030303,0.00030303,0.07
2,27.2485,2.36584,41.1631,0.0192,0.00038,0.23077,0.00014,3e-05,2.74497,45.3601,0.02583,0.000615364,0.000615364,0.036979
3,40.7738,2.282,23.6525,0.01705,0.00064,0.38462,0.001,0.00017,2.82063,37.1159,0.02742,0.000905697,0.000905697,0.003936
4,54.2575,2.18337,26.7938,0.0192,0.00064,0.38462,0.00419,0.00057,2.76561,33.9444,0.02541,0.000901,0.000901,0.000901
5,67.7841,1.99292,22.3554,0.0133,0.00064,0.38462,0.00422,0.00106,2.62924,31.5891,0.02197,0.000868,0.000868,0.000868
6,81.2837,2.14795,19.488,0.01659,0.00058,0.34615,0.00065,0.00015,2.43087,30.2112,0.02226,0.000835,0.000835,0.000835
7,94.7339,1.98052,18.9293,0.01485,0.00038,0.23077,0.00138,0.00043,2.54612,31.1565,0.02156,0.000802,0.000802,0.000802
8,108.384,1.95274,18.8818,0.01342,0.00045,0.26923,0.00386,0.00066,2.3193,29.4146,0.01939,0.000769,0.000769,0.000769
9,122.079,1.89432,18.7544,0.01527,0.00051,0.30769,0.00171,0.00063,2.35356,28.4241,0.02075,0.000736,0.000736,0.000736
10,135.811,1.81502,18.2763,0.01346,0.00109,0.65385,0.00807,0.00293,2.36073,26.8862,0.02028,0.000703,0.000703,0.000703
11,149.269,1.66294,15.8009,0.01274,0.06085,0.07692,0.02625,0.0045,2.3553,26.9052,0.0227,0.00067,0.00067,0.00067
12,162.991,1.67596,18.3237,0.01352,0.04498,0.03846,0.00806,0.00225,2.49406,26.3867,0.02228,0.000637,0.000637,0.000637
13,176.505,1.77948,17.9523,0.01387,0.0293,0.03846,0.0107,0.00343,2.51701,25.7284,0.02403,0.000604,0.000604,0.000604
14,190.378,1.71537,17.3343,0.01191,0.36015,0.11538,0.0934,0.02632,2.19884,22.1921,0.0207,0.000571,0.000571,0.000571
15,503.543,1.64273,14.2924,0.01332,0.06886,0.23077,0.09305,0.02348,2.24325,21.517,0.01931,0.000538,0.000538,0.000538
