epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.096,2.11486,82.5547,0.01755,0.00032,0.19231,8e-05,2e-05,3.64318,41.7448,0.03984,0.000322222,0.000322222,0.0681
2,67.2145,2.36361,20.5386,0.01976,0.00058,0.34615,0.00037,8e-05,2.67273,14.2899,0.02622,0.000633922,0.000633922,0.0350784
3,100.912,2.01171,12.0441,0.01554,0.00068,0.34615,0.0008,0.0002,2.27622,11.3657,0.0223,0.000923622,0.000923622,0.00203473
4,134.593,1.84587,10.616,0.01441,0.00075,0.38462,0.0008,0.00014,2.12166,10.6672,0.01862,0.000901,0.000901,0.000901
5,168.328,1.84774,9.84995,0.0139,0.0008,0.34615,0.00122,0.00018,2.58312,11.429,0.02526,0.000868,0.000868,0.000868
6,202.196,1.85232,9.46292,0.01344,0.00171,0.23077,0.00134,0.00019,2.51689,10.2493,0.02362,0.000835,0.000835,0.000835
7,236.246,1.76014,8.60468,0.01397,0.00461,0.23077,0.005,0.00118,2.31639,9.15348,0.02356,0.000802,0.000802,0.000802
8,270.27,1.70994,8.18986,0.01531,0.00642,0.19231,0.00349,0.00052,2.9348,9.55667,0.03021,0.000769,0.000769,0.000769
9,304.645,1.50412,7.62015,0.01014,0.00192,0.11538,0.00085,0.00032,2.84538,9.02699,0.02905,0.000736,0.000736,0.000736
10,338.912,1.8554,7.28883,0.01418,0.00446,0.38462,0.01294,0.00302,2.56281,8.34216,0.02473,0.000703,0.000703,0.000703
11,373.272,1.47514,6.95981,0.01081,0.00358,0.57692,0.01118,0.00227,2.37685,8.07068,0.02197,0.00067,0.00067,0.00067
12,407.669,1.52386,6.34635,0.0116,0.0044,0.57692,0.01722,0.00412,2.23246,7.70575,0.01765,0.000637,0.000637,0.000637
13,442.167,1.5143,6.34465,0.0117,0.0059,0.38462,0.0145,0.00271,2.29254,7.27697,0.02116,0.000604,0.000604,0.000604
14,476.728,1.61208,6.04892,0.01227,0.02517,0.26923,0.02243,0.00522,2.27723,6.97177,0.02216,0.000571,0.000571,0.000571
15,510.699,1.58975,5.86334,0.01201,0.13692,0.07692,0.03528,0.01092,2.36488,6.72961,0.02427,0.000538,0.000538,0.000538
16,544.477,1.55528,5.66041,0.01161,0.10241,0.07692,0.04986,0.01279,2.26518,6.40666,0.02302,0.000505,0.000505,0.000505
17,578.348,1.35121,5.15888,0.0098,0.072,0.03846,0.04196,0.01133,2.20993,6.24121,0.02281,0.000472,0.000472,0.000472
18,612.553,1.77675,5.40408,0.01448,0.0891,0.07692,0.03895,0.00816,2.61842,6.05477,0.02775,0.000439,0.000439,0.000439
19,646.318,1.65348,5.29615,0.01202,0.15167,0.15385,0.05742,0.01055,2.67211,6.12837,0.02652,0.000406,0.000406,0.000406
20,679.969,1.52589,4.87323,0.0118,0.09855,0.11538,0.06298,0.0122,2.60211,5.74901,0.02372,0.000373,0.000373,0.000373
21,714.193,1.53898,4.89248,0.01054,0.05247,0.46154,0.04718,0.01196,2.35579,5.5995,0.02193,0.00034,0.00034,0.00034
22,748.529,1.50307,4.70546,0.0119,0.12837,0.15385,0.05749,0.0139,2.36384,5.53893,0.0234,0.000307,0.000307,0.000307
23,782.692,1.39592,4.16342,0.01036,0.20866,0.19271,0.08679,0.02087,2.29231,5.45885,0.02175,0.000274,0.000274,0.000274
24,816.9,1.36375,4.46242,0.00954,0.39913,0.15385,0.14995,0.0328,2.2315,5.46634,0.02058,0.000241,0.000241,0.000241
25,850.783,1.32665,4.02634,0.00977,0.42724,0.19231,0.10936,0.02216,2.32548,5.5032,0.02026,0.000208,0.000208,0.000208
26,884.942,1.47,4.31223,0.01072,0.57059,0.15385,0.15199,0.02888,2.38332,5.49488,0.02216,0.000175,0.000175,0.000175
27,919.123,1.53751,4.25666,0.01152,0.2944,0.23077,0.12652,0.02756,2.44782,5.44914,0.02249,0.000142,0.000142,0.000142
28,953.3,1.32049,3.95514,0.0083,0.3571,0.19231,0.10705,0.02478,2.2526,5.46176,0.01999,0.000109,0.000109,0.000109
29,987.504,1.42477,3.95606,0.01041,0.35014,0.18686,0.09597,0.0234,2.21964,5.45709,0.01981,7.6e-05,7.6e-05,7.6e-05
30,1021.7,1.30131,3.9792,0.00916,0.22567,0.11538,0.06735,0.01923,2.20962,5.4721,0.01969,4.3e-05,4.3e-05,4.3e-05
