epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1008,2.25698,37.1342,0.01903,0.00013,0.07692,2e-05,0,2.23051,71.563,0.01985,0.000285714,0.000285714,0.0717143
2,20.0151,2.49432,34.8494,0.02022,0.00019,0.11538,3e-05,0,2.40431,66.7912,0.02355,0.000598619,0.000598619,0.0386939
3,29.1343,2.28384,30.3517,0.01908,0.0009,0.53846,0.00288,0.00057,2.69729,64.188,0.02802,0.000889524,0.000889524,0.00565143
4,38.4116,2.02201,23.1177,0.01501,0.00096,0.57692,0.00643,0.00176,2.39782,56.3085,0.02265,0.000901,0.000901,0.000901
5,47.7266,1.78424,22.2682,0.01277,0.00115,0.69231,0.01237,0.00254,1.98203,50.3362,0.017,0.000868,0.000868,0.000868
6,57.2585,1.59331,22.3173,0.01169,0.00096,0.57692,0.02167,0.00632,1.75676,47.592,0.01375,0.000835,0.000835,0.000835
7,66.7755,1.38856,19.379,0.00963,0.0009,0.53846,0.06742,0.02202,1.87393,49.4043,0.01616,0.000802,0.000802,0.000802
8,76.185,1.39468,20.62,0.00972,0.00096,0.57692,0.0368,0.00827,2.06244,50.6567,0.01809,0.000769,0.000769,0.000769
9,85.6201,1.18569,18.857,0.00764,0.00096,0.57692,0.04159,0.01047,2.17776,50.5971,0.01961,0.000736,0.000736,0.000736
10,95.2059,1.10451,16.5869,0.00696,0.00109,0.65385,0.1068,0.02407,2.19933,50.7691,0.0198,0.000703,0.000703,0.000703
11,104.894,1.14866,17.2413,0.00785,0.54708,0.09503,0.15996,0.05831,2.26757,51.1211,0.0197,0.00067,0.00067,0.00067
12,114.624,1.10129,16.5653,0.0068,0.54005,0.11538,0.16095,0.08129,2.15672,48.8529,0.01903,0.000637,0.000637,0.000637
13,124.251,1.10592,15.737,0.00742,0.45628,0.07692,0.14574,0.07016,2.26735,49.8212,0.01995,0.000604,0.000604,0.000604
14,133.944,1.01287,15.3866,0.00698,0.32325,0.09309,0.13131,0.05833,2.30165,49.8683,0.01975,0.000571,0.000571,0.000571
15,143.55,0.89756,13.9693,0.00588,0.19716,0.07692,0.09593,0.0301,2.4556,49.6262,0.02291,0.000538,0.000538,0.000538
16,153.164,0.94948,14.1149,0.00604,0.2186,0.09767,0.09322,0.02749,2.48172,49.5712,0.02179,0.000505,0.000505,0.000505
17,162.759,0.92173,13.3705,0.00585,0.32237,0.15385,0.12867,0.0362,2.39601,48.362,0.0217,0.000472,0.000472,0.000472
18,172.476,0.87131,12.846,0.00552,0.45288,0.15968,0.19738,0.05148,2.35152,46.4151,0.01855,0.000439,0.000439,0.000439
19,182.041,0.8649,15.0056,0.00532,0.46774,0.23077,0.23279,0.07334,2.39815,46.0555,0.02009,0.000406,0.000406,0.000406
20,191.597,0.77238,14.3213,0.00519,0.47189,0.23077,0.22449,0.07524,2.44361,44.7243,0.02376,0.000373,0.000373,0.000373
21,201,0.73841,12.9386,0.00453,0.40663,0.19231,0.17236,0.06965,2.43664,43.7456,0.02328,0.00034,0.00034,0.00034
22,210.446,0.7509,13.394,0.00454,0.35574,0.15385,0.14486,0.06304,2.37416,40.9536,0.02135,0.000307,0.000307,0.000307
23,219.846,0.71158,12.8825,0.00423,0.31639,0.19231,0.1418,0.0612,2.34813,39.9741,0.02099,0.000274,0.000274,0.000274
24,229.321,0.71939,12.6675,0.00435,0.25999,0.16255,0.15451,0.07027,2.26034,38.5023,0.0215,0.000241,0.000241,0.000241
