epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.2851,0.98659,0.4,1,1.11922,0.000204167,0.000204167,0.0710375
2,6.24662,0.72289,0.6,1,0.8946,0.000430281,0.000430281,0.0379303
3,7.88366,0.62854,0.64,1,0.9192,0.000648696,0.000648696,0.00481536
4,9.57619,0.58513,0.74,1,0.91113,0.00066535,0.00066535,0.00066535
5,11.2378,0.47629,0.68,1,1.05369,0.0006538,0.0006538,0.0006538
6,12.8837,0.38463,0.62,1,1.10707,0.00064225,0.00064225,0.00064225
7,14.5238,0.32173,0.64,1,0.99127,0.0006307,0.0006307,0.0006307
8,16.1928,0.27021,0.64,1,1.16477,0.00061915,0.00061915,0.00061915
9,17.8112,0.30497,0.64,1,1.28089,0.0006076,0.0006076,0.0006076
10,19.4607,0.19063,0.6,1,1.36214,0.00059605,0.00059605,0.00059605
11,21.1492,0.14366,0.68,1,1.10066,0.0005845,0.0005845,0.0005845
12,22.8106,0.1415,0.76,1,0.9306,0.00057295,0.00057295,0.00057295
13,24.4639,0.11667,0.68,1,1.4769,0.0005614,0.0005614,0.0005614
14,26.1561,0.1042,0.66,1,1.90338,0.00054985,0.00054985,0.00054985
15,27.7874,0.14697,0.7,1,1.96816,0.0005383,0.0005383,0.0005383
16,29.4493,0.06885,0.66,1,2.1633,0.00052675,0.00052675,0.00052675
17,31.1403,0.12391,0.68,1,1.90196,0.0005152,0.0005152,0.0005152
18,32.7723,0.05046,0.72,1,1.56595,0.00050365,0.00050365,0.00050365
19,34.4169,0.10847,0.66,1,1.41157,0.0004921,0.0004921,0.0004921
20,36.0179,0.03033,0.64,1,1.33469,0.00048055,0.00048055,0.00048055
21,37.6986,0.04496,0.6,1,1.398,0.000469,0.000469,0.000469
22,39.3471,0.08243,0.66,1,1.60401,0.00045745,0.00045745,0.00045745
23,41.0326,0.03954,0.64,1,1.63903,0.0004459,0.0004459,0.0004459
24,42.6466,0.03037,0.68,1,1.52124,0.00043435,0.00043435,0.00043435
25,44.2864,0.03832,0.68,1,1.52768,0.0004228,0.0004228,0.0004228
26,45.9065,0.03694,0.66,1,1.55258,0.00041125,0.00041125,0.00041125
27,47.5268,0.04635,0.72,1,1.61972,0.0003997,0.0003997,0.0003997
