epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5356,2.43245,19.0887,0.00862,0,0,0,0,2.68101,10.1506,0.00743,0.000219608,0.000219608,0.0688471
2,41.7303,2.02572,7.18148,0.00707,0,0,0,0,2.12609,6.54095,0.0053,0.000447959,0.000447959,0.0357421
3,62.7105,1.88812,5.23288,0.00653,0.00013,0.02941,0.00018,4e-05,1.84387,5.84324,0.00443,0.000671176,0.000671176,0.00263196
4,83.7524,1.93962,4.89769,0.00671,0.00147,0.32353,0.03104,0.01575,1.9448,5.53211,0.00466,0.0006769,0.0006769,0.0006769
5,104.994,1.80296,4.28907,0.00573,0.0028,0.61765,0.23687,0.09293,1.978,5.05195,0.00488,0.0006692,0.0006692,0.0006692
6,126.259,1.75904,4.11888,0.00585,0.84967,0.10294,0.28458,0.09872,2.07793,4.84493,0.00517,0.0006615,0.0006615,0.0006615
7,147.54,1.74027,3.5983,0.00562,0.66326,0.2608,0.31307,0.12156,1.90162,4.33687,0.0045,0.0006538,0.0006538,0.0006538
8,168.786,1.77839,3.67914,0.0056,0.64183,0.26471,0.30585,0.11432,1.96311,4.19124,0.00457,0.0006461,0.0006461,0.0006461
9,190.096,1.64971,3.41997,0.00524,0.46594,0.36765,0.29614,0.10828,1.99584,4.05652,0.00464,0.0006384,0.0006384,0.0006384
10,211.383,1.70723,3.29965,0.00577,0.5333,0.26896,0.27046,0.10384,2.04407,4.04448,0.00496,0.0006307,0.0006307,0.0006307
11,232.737,1.71783,3.06752,0.00544,0.39474,0.47059,0.35294,0.13144,1.97795,3.83252,0.00482,0.000623,0.000623,0.000623
12,254.181,1.76152,2.98003,0.00563,0.477,0.33824,0.31231,0.11974,1.97396,3.74516,0.00468,0.0006153,0.0006153,0.0006153
13,275.535,1.65656,2.87781,0.00517,0.42408,0.35294,0.30381,0.11648,2.04237,3.99742,0.00495,0.0006076,0.0006076,0.0006076
14,296.947,1.64883,2.74581,0.00518,0.41739,0.38235,0.294,0.11224,2.10424,3.88147,0.0054,0.0005999,0.0005999,0.0005999
15,318.416,1.665,2.65268,0.00499,0.52256,0.47059,0.42797,0.16388,2.07928,3.27901,0.00513,0.0005922,0.0005922,0.0005922
16,339.865,1.61244,2.43476,0.00498,0.46164,0.48529,0.40786,0.16648,2.05043,3.52068,0.00512,0.0005845,0.0005845,0.0005845
17,361.314,1.56575,2.33361,0.00458,0.65158,0.35294,0.42444,0.17248,2.02505,3.03579,0.00483,0.0005768,0.0005768,0.0005768
18,382.877,1.62356,2.33665,0.00498,0.78179,0.32353,0.45165,0.17596,2.0365,2.96856,0.00485,0.0005691,0.0005691,0.0005691
