epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.543,2.24546,47.1396,0.01762,0.0002,0.17647,0.0001,3e-05,3.61675,55.2147,0.04592,0.000219608,0.000219608,0.0688471
2,41.6228,2.0368,15.1669,0.01489,0.00029,0.23529,0.00026,6e-05,2.63489,18.7283,0.02962,0.000447959,0.000447959,0.0357421
3,62.4935,1.95044,10.1378,0.01398,7e-05,0.05882,5e-05,1e-05,2.99013,16.7813,0.03409,0.000671176,0.000671176,0.00263196
4,83.4165,1.85947,8.14109,0.01329,0.00035,0.29412,0.00407,0.00129,2.75791,15.9525,0.03182,0.0006769,0.0006769,0.0006769
5,104.512,1.78506,7.68251,0.01261,0.70963,0.05882,0.05592,0.00714,1.99388,13.5589,0.02313,0.0006692,0.0006692,0.0006692
6,125.552,1.84853,8.79052,0.01293,0.0006,0.52941,0.02988,0.00772,1.83615,12.5131,0.01921,0.0006615,0.0006615,0.0006615
7,146.675,1.7334,6.9854,0.01333,0.00087,0.76471,0.05384,0.01684,1.80491,11.7159,0.01642,0.0006538,0.0006538,0.0006538
8,167.832,1.72821,7.05113,0.01285,0.37575,0.05882,0.04882,0.02856,1.70336,11.4832,0.01368,0.0006461,0.0006461,0.0006461
9,188.972,1.7329,6.23654,0.01233,0.18277,0.11765,0.04379,0.01558,1.8609,11.1995,0.01624,0.0006384,0.0006384,0.0006384
10,210.172,1.64861,6.15134,0.01082,0.3169,0.11765,0.12167,0.04602,2.21962,10.5276,0.02033,0.0006307,0.0006307,0.0006307
11,231.352,1.73717,6.19825,0.01199,0.11715,0.11765,0.03798,0.01275,2.28746,10.5728,0.02295,0.000623,0.000623,0.000623
12,252.51,1.5207,5.60594,0.01034,0.11289,0.17647,0.05379,0.02361,2.0661,16.3137,0.02032,0.0006153,0.0006153,0.0006153
