epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3893,2.42233,15.6475,0.01078,0,0,0,0,3.41195,10.9301,0.01897,0.0003125,0.0003125,0.0690625
2,42.0065,2.15952,7.30272,0.01076,0.00025,0.17647,0.00026,3e-05,2.32905,6.89393,0.01199,0.000620258,0.000620258,0.0360369
3,61.4587,2.03431,5.70315,0.00968,0.00035,0.17647,0.0279,0.00917,2.14118,6.22604,0.01014,0.000901617,0.000901617,0.00298495
4,80.9524,1.93312,4.82654,0.00856,0.02694,0.5,0.09682,0.03138,2.1007,5.73184,0.00996,0.0008812,0.0008812,0.0008812
5,100.577,1.85652,4.50487,0.00805,0.0159,0.61765,0.15445,0.06189,1.97054,5.26639,0.00885,0.0008416,0.0008416,0.0008416
6,120.324,1.93485,4.49296,0.00819,0.01098,0.60294,0.12588,0.04772,1.99637,5.1774,0.00924,0.000802,0.000802,0.000802
7,140.02,1.85275,4.13551,0.00787,0.37998,0.07353,0.09587,0.03322,2.08931,4.93726,0.0089,0.0007624,0.0007624,0.0007624
8,159.773,1.88767,3.78425,0.00833,0.2736,0.14706,0.17181,0.05844,2.10244,4.72787,0.0093,0.0007228,0.0007228,0.0007228
9,179.598,1.87896,3.80348,0.00813,0.19628,0.19853,0.15353,0.05446,2.11847,4.48982,0.0094,0.0006832,0.0006832,0.0006832
10,199.51,1.77382,3.61519,0.00759,0.25844,0.31618,0.19488,0.07251,2.04057,4.42399,0.00927,0.0006436,0.0006436,0.0006436
11,219.441,1.73617,3.46034,0.00747,0.26318,0.27206,0.2012,0.07209,2.00149,4.24172,0.00889,0.000604,0.000604,0.000604
12,239.292,1.68735,3.3007,0.00694,0.23645,0.20248,0.16842,0.05736,2.08891,4.3064,0.00911,0.0005644,0.0005644,0.0005644
13,259.296,1.76416,3.29101,0.00737,0.23272,0.22794,0.1427,0.04574,2.18362,4.06189,0.00985,0.0005248,0.0005248,0.0005248
14,279.174,1.65705,3.06307,0.00664,0.20041,0.28676,0.13839,0.04697,2.1722,4.03355,0.00952,0.0004852,0.0004852,0.0004852
15,299.039,1.60542,2.9089,0.00646,0.34541,0.22059,0.2146,0.0729,2.15847,3.90486,0.0093,0.0004456,0.0004456,0.0004456
16,339.009,1.70939,3.0266,0.00687,0.38632,0.21031,0.19281,0.07309,2.15019,3.69528,0.00902,0.000406,0.000406,0.000406
17,358.725,1.67415,2.6929,0.00653,0.35219,0.27206,0.21797,0.07869,2.0664,3.56837,0.00911,0.0003664,0.0003664,0.0003664
18,378.494,1.56451,2.83245,0.0069,0.25934,0.24265,0.21727,0.08715,1.97373,3.54059,0.00829,0.0003268,0.0003268,0.0003268
19,398.355,1.66742,2.66937,0.00662,0.34386,0.26471,0.22884,0.09053,1.9494,3.49738,0.00821,0.0002872,0.0002872,0.0002872
20,418.242,1.59969,2.58093,0.0066,0.36959,0.29434,0.24234,0.0972,1.91745,3.44868,0.0078,0.0002476,0.0002476,0.0002476
21,438.059,1.5958,2.51949,0.00637,0.33795,0.31618,0.23807,0.09741,1.97962,3.37508,0.00829,0.000208,0.000208,0.000208
22,457.966,1.6008,2.38825,0.00651,0.31922,0.27941,0.23514,0.09381,1.99922,3.36062,0.00845,0.0001684,0.0001684,0.0001684
23,477.803,1.61055,2.45149,0.0064,0.36961,0.27941,0.23452,0.09977,1.99372,3.39274,0.00827,0.0001288,0.0001288,0.0001288
24,497.622,1.55155,2.4196,0.00633,0.42388,0.27941,0.235,0.09689,1.98512,3.40184,0.00822,8.92e-05,8.92e-05,8.92e-05
25,517.636,1.55865,2.47942,0.00654,0.44412,0.27941,0.23216,0.09697,2.00304,3.38595,0.00837,4.96e-05,4.96e-05,4.96e-05
