epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2177,2.6407,12.2474,0.01002,0,0,0,0,2.03279,4.54214,0.0058,0.000328125,0.000328125,0.0675156
2,121.075,2.63214,5.70548,0.01064,0,0,0,0,1.81388,4.45476,0.00497,0.000635265,0.000635265,0.0344894
3,181.338,2.44235,5.17857,0.00868,0.13554,0.01471,0.01942,0.00932,1.69587,4.18209,0.00464,0.000916004,0.000916004,0.00143684
4,241.806,2.45763,4.58507,0.00953,0.09249,0.07353,0.01758,0.00442,1.89462,3.8957,0.00531,0.0008812,0.0008812,0.0008812
5,302.083,2.29337,4.18898,0.00818,0.23313,0.10294,0.06109,0.01521,1.83282,4.11996,0.00519,0.0008416,0.0008416,0.0008416
6,362.69,2.43058,3.99326,0.00935,0.14336,0.17647,0.04753,0.01245,1.8044,3.75742,0.00527,0.000802,0.000802,0.000802
7,423.147,2.111,3.99046,0.00788,0.13763,0.11765,0.04868,0.01246,1.75351,3.64845,0.00474,0.0007624,0.0007624,0.0007624
8,483.83,2.28001,3.65304,0.00872,0.15416,0.14706,0.07125,0.02263,1.7489,3.47929,0.00481,0.0007228,0.0007228,0.0007228
9,544.233,2.17813,3.37822,0.00809,0.21786,0.11765,0.08484,0.02488,1.61548,3.44856,0.0043,0.0006832,0.0006832,0.0006832
10,604.821,2.17766,3.10809,0.00761,0.18524,0.22059,0.12227,0.03242,1.63715,3.43767,0.00439,0.0006436,0.0006436,0.0006436
11,665.528,2.09924,3.04547,0.00773,0.2953,0.22059,0.15662,0.04261,1.64595,2.94329,0.00452,0.000604,0.000604,0.000604
12,726.135,1.95197,2.95583,0.00699,0.23053,0.16176,0.13044,0.03616,1.59752,3.12309,0.00425,0.0005644,0.0005644,0.0005644
13,786.688,2.00547,2.97942,0.00706,0.27855,0.27941,0.14579,0.04533,1.67757,3.11691,0.00452,0.0005248,0.0005248,0.0005248
14,846.917,2.03829,2.85813,0.00751,0.22551,0.17647,0.09946,0.03528,1.53946,3.11972,0.00403,0.0004852,0.0004852,0.0004852
15,906.722,1.96389,2.5832,0.00669,0.2873,0.19118,0.152,0.04315,1.58875,2.95438,0.00441,0.0004456,0.0004456,0.0004456
16,986.515,2.01802,2.54627,0.00727,0.28184,0.22059,0.15275,0.05052,1.56379,2.97515,0.00416,0.000406,0.000406,0.000406
17,1047.2,1.99077,2.59848,0.00695,0.28574,0.19419,0.17134,0.05792,1.61343,2.85519,0.00422,0.0003664,0.0003664,0.0003664
18,1107.87,1.94532,2.44619,0.00699,0.35861,0.23529,0.18427,0.06049,1.46882,2.71308,0.00381,0.0003268,0.0003268,0.0003268
19,1168.68,1.92988,2.32241,0.00671,0.34334,0.32353,0.24217,0.08933,1.452,2.59485,0.00365,0.0002872,0.0002872,0.0002872
20,1229.56,1.91513,2.29737,0.00662,0.52828,0.27941,0.2758,0.09258,1.47661,2.60502,0.00385,0.0002476,0.0002476,0.0002476
21,1290.02,1.74658,2.1664,0.00626,0.38103,0.27941,0.24945,0.08277,1.4528,2.71582,0.00368,0.000208,0.000208,0.000208
22,1350.75,1.82549,2.19766,0.00633,0.47069,0.23529,0.27195,0.10367,1.41771,2.65145,0.00349,0.0001684,0.0001684,0.0001684
23,1411.51,1.76065,2.1269,0.00604,0.40046,0.27941,0.28307,0.10589,1.43509,2.63396,0.00355,0.0001288,0.0001288,0.0001288
24,1472.13,1.78881,2.13399,0.00598,0.42099,0.26471,0.27547,0.10267,1.42957,2.65619,0.00351,8.92e-05,8.92e-05,8.92e-05
25,1532.51,1.73939,2.15521,0.00591,0.44875,0.26471,0.28093,0.10331,1.44297,2.62214,0.00354,4.96e-05,4.96e-05,4.96e-05
