epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4836,2.87653,26.2715,0.01124,0,0,0,0,2.11902,6.65687,0.00627,0.000323529,0.000323529,0.0679706
2,66.7421,2.63834,7.98037,0.01036,0,0,0,0,2.0028,5.16981,0.00588,0.000630851,0.000630851,0.0349446
3,99.074,2.70378,6.39923,0.01057,0,0,0,0,1.9355,4.87015,0.00557,0.000911773,0.000911773,0.00189216
4,131.36,2.64742,5.98903,0.01009,0.03226,0.04412,0.00307,0.00035,1.80249,4.6092,0.005,0.0008812,0.0008812,0.0008812
5,164.01,2.50891,5.34044,0.00942,0.02499,0.02941,0.00712,0.00144,1.87077,4.50072,0.00526,0.0008416,0.0008416,0.0008416
6,196.769,2.49888,5.35039,0.00953,0.08911,0.08824,0.01578,0.00324,1.91459,5.09631,0.0054,0.000802,0.000802,0.000802
7,229.505,2.51033,4.84677,0.00956,0.12716,0.08824,0.02959,0.00672,1.98171,6.47551,0.00565,0.0007624,0.0007624,0.0007624
8,262.203,2.33051,5.11665,0.00931,0.08636,0.17647,0.03279,0.01037,2.03318,5.26879,0.00593,0.0007228,0.0007228,0.0007228
9,294.975,2.43613,4.65692,0.00916,0.15029,0.19118,0.07269,0.01344,1.9274,4.21775,0.00545,0.0006832,0.0006832,0.0006832
10,327.814,2.34844,4.33505,0.00896,0.19053,0.11765,0.04775,0.0099,1.90748,3.80573,0.00525,0.0006436,0.0006436,0.0006436
11,360.542,2.22193,4.21995,0.00852,0.16455,0.17647,0.09758,0.02292,1.85352,3.64436,0.00512,0.000604,0.000604,0.000604
12,393.515,2.24487,4.31404,0.00855,0.24072,0.17647,0.09167,0.01936,1.81382,3.56793,0.00498,0.0005644,0.0005644,0.0005644
13,426.445,2.13312,3.87653,0.008,0.19313,0.17647,0.05749,0.01904,1.70204,3.63875,0.00453,0.0005248,0.0005248,0.0005248
14,459.181,2.07092,3.75419,0.00749,0.18332,0.14527,0.05836,0.01633,1.69058,3.6317,0.00447,0.0004852,0.0004852,0.0004852
15,492.155,2.08152,3.89752,0.00726,0.44323,0.17647,0.13891,0.03259,1.84525,3.32541,0.00511,0.0004456,0.0004456,0.0004456
16,543.14,2.09841,3.44895,0.0075,0.34609,0.19118,0.18078,0.04259,1.87029,3.11387,0.00517,0.000406,0.000406,0.000406
17,575.761,2.01466,3.5382,0.00765,0.35317,0.19118,0.15142,0.04252,1.66849,2.95261,0.00431,0.0003664,0.0003664,0.0003664
18,608.465,2.09868,3.33625,0.00727,0.25522,0.25,0.14505,0.04657,1.69197,2.98403,0.0044,0.0003268,0.0003268,0.0003268
19,641.29,1.98094,3.27335,0.00686,0.23064,0.23529,0.13564,0.04022,1.76444,2.99113,0.00478,0.0002872,0.0002872,0.0002872
20,674,1.97706,3.48061,0.0075,0.24896,0.22059,0.15576,0.04355,1.79256,3.02186,0.0048,0.0002476,0.0002476,0.0002476
21,706.656,1.79671,3.34362,0.00632,0.28358,0.25,0.18417,0.05055,1.7499,3.0077,0.00465,0.000208,0.000208,0.000208
22,739.62,2.00136,3.31279,0.00744,0.3042,0.26471,0.1945,0.05915,1.72246,2.87829,0.00453,0.0001684,0.0001684,0.0001684
23,772.64,1.94381,3.11327,0.00709,0.28723,0.27941,0.21616,0.06637,1.63907,2.79471,0.00428,0.0001288,0.0001288,0.0001288
24,805.427,1.81029,3.04993,0.00651,0.29417,0.27941,0.21725,0.06889,1.63456,2.73838,0.00429,8.92e-05,8.92e-05,8.92e-05
25,838.435,1.99807,3.36128,0.00766,0.31445,0.32353,0.21742,0.0707,1.63073,2.7622,0.00434,4.96e-05,4.96e-05,4.96e-05
