epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1233,2.39143,18.8553,0.00848,0,0,0,0,2.40063,8.71387,0.00628,0.000313725,0.000313725,0.0689412
2,43.1721,2.05094,6.28081,0.00721,0,0,0,0,2.0639,6.3941,0.00516,0.000621435,0.000621435,0.0359156
3,64.2874,1.99028,4.79991,0.00677,0,0,0,0,2.17459,5.83055,0.00559,0.000902745,0.000902745,0.00286353
4,85.3526,1.89828,4.41464,0.00609,0.00194,0.42647,0.17919,0.06171,2.01156,5.3535,0.00526,0.0008812,0.0008812,0.0008812
5,106.457,1.78692,3.8623,0.00559,0.00347,0.5,0.18223,0.06262,2.08037,5.15847,0.00534,0.0008416,0.0008416,0.0008416
6,127.718,1.77011,3.74696,0.00563,0.81518,0.13235,0.27763,0.08938,2.17149,4.69187,0.00555,0.000802,0.000802,0.000802
7,149.02,1.76089,3.25267,0.0054,0.56523,0.26471,0.31382,0.12977,2.14483,4.17692,0.00545,0.0007624,0.0007624,0.0007624
8,170.213,1.74972,3.22334,0.00533,0.4905,0.26471,0.27425,0.10693,2.03883,4.06053,0.005,0.0007228,0.0007228,0.0007228
9,191.662,1.69769,3.06655,0.00525,0.50033,0.29412,0.32457,0.12924,2.0666,3.82285,0.00507,0.0006832,0.0006832,0.0006832
10,213.03,1.7265,2.96536,0.00558,0.56875,0.29412,0.31637,0.12672,2.13621,3.67256,0.00524,0.0006436,0.0006436,0.0006436
11,234.373,1.65339,2.76759,0.00518,0.67836,0.29412,0.36749,0.14262,2.09179,3.50172,0.00524,0.000604,0.000604,0.000604
12,255.91,1.68927,2.72175,0.00563,0.53176,0.29412,0.32534,0.13989,2.15639,3.37771,0.00541,0.0005644,0.0005644,0.0005644
13,277.29,1.63075,2.50479,0.00523,0.44474,0.39706,0.38711,0.14898,2.09296,3.21964,0.00517,0.0005248,0.0005248,0.0005248
14,298.663,1.61913,2.39232,0.00496,0.66178,0.32353,0.4033,0.16472,2.08285,3.19619,0.00514,0.0004852,0.0004852,0.0004852
15,320.305,1.70035,2.42008,0.00517,0.59905,0.39552,0.40176,0.16507,2.07753,3.17269,0.00515,0.0004456,0.0004456,0.0004456
16,361.854,1.5638,2.18254,0.0049,0.62342,0.39706,0.43693,0.1775,2.14294,3.08054,0.00532,0.000406,0.000406,0.000406
17,383.195,1.56402,2.35832,0.005,0.61483,0.42647,0.48235,0.1908,2.09838,3.04277,0.00524,0.0003664,0.0003664,0.0003664
18,404.572,1.56975,2.08693,0.0047,0.64014,0.38235,0.46058,0.18113,2.12133,2.98976,0.00514,0.0003268,0.0003268,0.0003268
19,426.043,1.57137,2.03987,0.00476,0.7931,0.33823,0.43431,0.17907,2.08414,2.94938,0.00494,0.0002872,0.0002872,0.0002872
20,447.427,1.6291,2.13038,0.00501,0.69412,0.33382,0.42436,0.1755,2.1251,2.92785,0.00509,0.0002476,0.0002476,0.0002476
21,468.779,1.57718,1.97451,0.00466,0.7379,0.33824,0.44765,0.17508,2.14861,2.85247,0.00516,0.000208,0.000208,0.000208
22,490.34,1.58681,1.93018,0.00502,0.55895,0.42647,0.45052,0.18364,2.1517,2.7707,0.00521,0.0001684,0.0001684,0.0001684
23,511.707,1.55372,1.84022,0.00461,0.70164,0.38235,0.45914,0.18928,2.13378,2.75584,0.00517,0.0001288,0.0001288,0.0001288
24,533.148,1.60703,1.84188,0.005,0.73247,0.36765,0.46167,0.19209,2.13008,2.74165,0.00516,8.92e-05,8.92e-05,8.92e-05
25,554.618,1.5074,1.82046,0.00461,0.65056,0.39706,0.46388,0.19465,2.13257,2.71394,0.00514,4.96e-05,4.96e-05,4.96e-05
