epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7513,2.89515,30.2512,0.02498,0,0,0,0,2.77832,6.19706,0.03649,0.000328125,0.000328125,0.0675156
2,119.664,2.38409,4.81675,0.02055,0,0,0,0,2.76123,4.61824,0.03568,0.000635265,0.000635265,0.0344894
3,178.064,2.37495,4.54772,0.02052,0.00266,0.11765,0.00044,9e-05,2.68578,4.81041,0.03054,0.000916004,0.000916004,0.00143684
4,236.805,2.39266,4.58841,0.01909,0.00123,0.41176,0.01552,0.00384,3.0169,4.85577,0.03897,0.0008812,0.0008812,0.0008812
5,295.533,2.51663,4.5226,0.01987,0.00441,0.11765,0.00172,0.00024,2.72438,5.18544,0.03377,0.0008416,0.0008416,0.0008416
6,354.129,2.37343,4.25873,0.01991,0.07538,0.11765,0.01647,0.00292,2.69006,9.44758,0.03382,0.000802,0.000802,0.000802
7,412.909,2.24691,3.93614,0.01939,0.01479,0.05882,0.00449,0.00067,2.50001,7.01139,0.03104,0.0007624,0.0007624,0.0007624
8,471.855,2.20888,4.13814,0.01788,0.00349,0.05882,0.00215,0.00069,2.55471,4.35526,0.03193,0.0007228,0.0007228,0.0007228
9,531.261,2.2524,3.85018,0.01784,0.0017,0.58824,0.00501,0.0009,2.38484,4.28951,0.03061,0.0006832,0.0006832,0.0006832
10,589.717,2.10976,3.62719,0.0167,0.00168,0.52941,0.00284,0.00099,2.52741,4.37625,0.03136,0.0006436,0.0006436,0.0006436
11,648.349,2.04173,3.49671,0.01589,0.00201,0.47059,0.00121,0.00034,2.31254,5.52733,0.02934,0.000604,0.000604,0.000604
12,707.023,2.04315,3.53461,0.01556,0.00379,0.35294,0.00535,0.0018,2.63241,3.91096,0.03339,0.0005644,0.0005644,0.0005644
13,765.798,2.04599,3.49006,0.01561,0.81621,0.05882,0.06765,0.01414,2.60574,4.33418,0.03265,0.0005248,0.0005248,0.0005248
14,824.925,1.98927,3.45187,0.01559,0.02205,0.11765,0.00946,0.00332,2.56894,4.26678,0.03101,0.0004852,0.0004852,0.0004852
15,883.481,1.96452,3.38351,0.01439,0.00432,0.47059,0.00685,0.002,2.41746,4.20247,0.02785,0.0004456,0.0004456,0.0004456
16,965.695,2.00179,3.17449,0.01523,0.00351,0.35294,0.00421,0.00143,2.40942,3.91769,0.0298,0.000406,0.000406,0.000406
17,1024.44,1.91601,3.16447,0.0147,0.0126,0.05882,0.00729,0.00223,2.45554,3.70575,0.03063,0.0003664,0.0003664,0.0003664
18,1082.8,1.97167,3.12495,0.01471,0.06298,0.05882,0.0098,0.00249,2.41858,3.81996,0.03004,0.0003268,0.0003268,0.0003268
19,1140.84,1.77025,3.0002,0.01386,0.00591,0.47059,0.00852,0.00251,2.43667,3.76668,0.03087,0.0002872,0.0002872,0.0002872
20,1199.43,1.86711,3.05031,0.01323,0.00582,0.52941,0.00666,0.00248,2.1676,3.92871,0.02695,0.0002476,0.0002476,0.0002476
21,1257.79,1.74875,2.96751,0.01262,0.0045,0.52941,0.01192,0.00371,2.22864,3.8771,0.02655,0.000208,0.000208,0.000208
22,1316.5,1.82233,2.93797,0.01364,0.0198,0.35294,0.01385,0.00408,2.12183,3.79195,0.02576,0.0001684,0.0001684,0.0001684
23,1375.23,1.71181,2.88178,0.01242,0.03787,0.11765,0.01308,0.00463,2.38603,3.54993,0.02842,0.0001288,0.0001288,0.0001288
