epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2211,2.97512,29.2529,0.02622,0,0,0,0,2.7159,5.63837,0.03795,0.000328125,0.000328125,0.0675156
2,116.496,2.34551,4.6801,0.02041,0,0,0,0,2.45565,4.64762,0.03538,0.000635265,0.000635265,0.0344894
3,175.018,2.37683,4.58392,0.02097,0.00396,0.29412,0.00562,0.00106,2.7106,4.72557,0.03756,0.000916004,0.000916004,0.00143684
4,233.566,2.4762,4.58563,0.02083,0.00148,0.41176,0.00591,0.00077,2.66458,4.76741,0.03664,0.0008812,0.0008812,0.0008812
5,292.287,2.43745,4.50982,0.02003,0.00643,0.11765,0.00268,0.00068,2.62774,15.6591,0.02934,0.0008416,0.0008416,0.0008416
6,350.999,2.36322,4.30766,0.01974,0.01035,0.05882,0.00389,0.00049,2.4378,4.83621,0.03177,0.000802,0.000802,0.000802
7,409.803,2.08426,4.10215,0.01733,0.01661,0.11765,0.00798,0.00134,2.65861,4.36864,0.03286,0.0007624,0.0007624,0.0007624
8,468.729,2.2716,4.1405,0.01816,0.00279,0.58824,0.00279,0.00072,2.63834,4.09816,0.03278,0.0007228,0.0007228,0.0007228
9,528.78,2.20509,4.07696,0.01741,0.00956,0.05882,0.00927,0.00214,2.4914,4.84991,0.03114,0.0006832,0.0006832,0.0006832
10,588.878,2.13891,3.67843,0.01706,0.00373,0.58824,0.01184,0.00239,2.50621,4.21842,0.03331,0.0006436,0.0006436,0.0006436
11,649.034,2.04165,3.60076,0.01653,0.003,0.52941,0.00637,0.0015,2.6022,4.00719,0.03303,0.000604,0.000604,0.000604
12,709.106,2.10608,3.64533,0.0161,0.01631,0.11765,0.00462,0.00135,2.61985,4.52813,0.03227,0.0005644,0.0005644,0.0005644
13,769.216,1.94238,3.53202,0.01532,0.00281,0.52941,0.00481,0.00108,2.70238,4.26991,0.03417,0.0005248,0.0005248,0.0005248
14,829.248,1.96632,3.45858,0.01491,0.00216,0.64706,0.00482,0.0012,2.67224,4.54895,0.03317,0.0004852,0.0004852,0.0004852
15,889.368,2.02416,3.47927,0.01522,0.01149,0.05882,0.0072,0.00201,2.51698,4.1418,0.03195,0.0004456,0.0004456,0.0004456
16,968.9,2.03375,3.18049,0.01581,0.00269,0.47059,0.0061,0.00158,2.56065,4.128,0.03229,0.000406,0.000406,0.000406
17,1028.62,1.95519,3.17756,0.01532,0.00404,0.52941,0.00713,0.00161,2.54149,4.09373,0.03253,0.0003664,0.0003664,0.0003664
18,1088.81,2.15305,3.18313,0.01608,0.00437,0.64706,0.0071,0.00188,2.54379,3.81662,0.03236,0.0003268,0.0003268,0.0003268
19,1148.87,1.92228,2.9798,0.01457,0.0181,0.05882,0.00896,0.00201,2.67257,4.0234,0.03209,0.0002872,0.0002872,0.0002872
20,1209.23,2.03516,3.18344,0.0151,0.0101,0.05882,0.00668,0.0019,2.52557,4.07726,0.03097,0.0002476,0.0002476,0.0002476
