epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1041,3.00639,56.0814,0.02634,0,0,0,0,2.97536,33.9979,0.03824,0.000323232,0.000323232,0.068
2,65.9806,2.90282,13.1694,0.02471,0.0002,0.17647,7e-05,1e-05,2.91114,15.1394,0.03859,0.000630566,0.000630566,0.034974
3,97.2269,2.73841,9.43361,0.02366,0.00054,0.11765,0.00037,0.00015,2.80904,12.2721,0.03675,0.000911499,0.000911499,0.0019216
4,128.873,2.87573,8.50635,0.02446,0.00041,0.11765,0.00016,3e-05,2.83435,11.3868,0.0382,0.0008812,0.0008812,0.0008812
5,160.381,2.64735,7.93886,0.02147,0.00038,0.23529,0.00024,9e-05,2.78787,11.2322,0.03559,0.0008416,0.0008416,0.0008416
6,191.942,2.42028,7.69326,0.01973,0.00045,0.23529,0.0006,0.00023,2.75354,10.8702,0.03482,0.000802,0.000802,0.000802
7,223.376,2.34616,7.27295,0.02019,0.00101,0.41176,0.00211,0.00041,2.86936,10.6342,0.03511,0.0007624,0.0007624,0.0007624
8,254.97,2.53834,7.21542,0.02197,0.00089,0.23529,0.00031,5e-05,2.82264,10.2492,0.03584,0.0007228,0.0007228,0.0007228
9,286.587,2.37315,6.76077,0.0198,0.00113,0.29412,0.00113,0.00038,2.88184,9.7725,0.03521,0.0006832,0.0006832,0.0006832
10,318.355,2.39957,6.62658,0.01919,0.2198,0.05882,0.02124,0.01162,2.52703,8.95319,0.02984,0.0006436,0.0006436,0.0006436
11,350.162,2.29953,6.63598,0.01925,0.26677,0.05882,0.03461,0.00442,2.54614,8.34072,0.03098,0.000604,0.000604,0.000604
12,381.927,2.16437,5.95615,0.01649,0.03171,0.05882,0.01817,0.00398,2.68168,8.4646,0.0333,0.0005644,0.0005644,0.0005644
13,413.505,2.24208,6.02824,0.01762,0.00096,0.47059,0.00173,0.00049,2.61868,8.0661,0.03315,0.0005248,0.0005248,0.0005248
14,445.013,2.07048,5.79341,0.01585,0.00092,0.41176,0.00336,0.00063,2.54225,7.56135,0.0299,0.0004852,0.0004852,0.0004852
15,476.499,2.27307,5.74732,0.01736,0.00181,0.64706,0.00472,0.00096,2.44167,7.11143,0.02714,0.0004456,0.0004456,0.0004456
16,525.328,1.94121,5.30367,0.01456,0.00228,0.64706,0.00905,0.0021,2.26644,6.97042,0.02316,0.000406,0.000406,0.000406
17,556.811,2.23262,5.60064,0.01703,0.00274,0.64706,0.00928,0.00181,2.34602,6.93286,0.02426,0.0003664,0.0003664,0.0003664
18,588.36,2.19194,5.35062,0.01679,0.00311,0.70588,0.01116,0.00216,2.4322,7.08684,0.02624,0.0003268,0.0003268,0.0003268
19,619.659,2.17437,5.44788,0.01745,0.00312,0.70588,0.00794,0.00208,2.20447,6.65824,0.02376,0.0002872,0.0002872,0.0002872
20,651.257,1.90865,5.24707,0.01446,0.00262,0.70588,0.01338,0.00341,2.07905,6.40341,0.02299,0.0002476,0.0002476,0.0002476
