epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.744,2.38811,47.8617,0.01897,0.00013,0.11765,2e-05,0,3.33778,52.3785,0.03717,0.000313725,0.000313725,0.0689412
2,45.659,2.17173,14.6248,0.01625,0.00045,0.29412,0.00536,0.00117,2.20628,16.1366,0.02637,0.000621435,0.000621435,0.0359156
3,66.1445,2.2751,10.0876,0.01627,0.00048,0.41176,0.00851,0.00276,1.93105,13.0298,0.01891,0.000902745,0.000902745,0.00286353
4,86.6343,2.07288,7.80404,0.01495,0.00047,0.41176,0.00323,0.00126,1.97214,12.1983,0.02025,0.0008812,0.0008812,0.0008812
5,107.19,1.90105,7.20743,0.01376,0.00053,0.47059,0.00177,0.00031,2.3727,12.9787,0.02514,0.0008416,0.0008416,0.0008416
6,127.623,1.9437,7.89326,0.01375,0.0008,0.64706,0.0051,0.00162,1.95511,10.9053,0.01912,0.000802,0.000802,0.000802
7,148.141,1.95044,6.41566,0.01447,0.00091,0.64706,0.01003,0.0045,2.15611,10.9364,0.0242,0.0007624,0.0007624,0.0007624
8,168.797,2.03698,6.54842,0.01572,0.38525,0.05882,0.04176,0.01873,2.42751,11.1988,0.028,0.0007228,0.0007228,0.0007228
9,189.493,1.82924,5.68018,0.01371,0.15501,0.11765,0.05252,0.02786,1.9091,9.83117,0.01982,0.0006832,0.0006832,0.0006832
10,210.251,1.73836,5.60483,0.01254,0.12691,0.11765,0.03053,0.00988,1.96891,9.63492,0.02142,0.0006436,0.0006436,0.0006436
11,231.057,1.8473,5.54607,0.01312,0.22154,0.05882,0.02404,0.00984,2.11657,7.77718,0.02083,0.000604,0.000604,0.000604
12,251.61,1.64968,5.00874,0.01123,0.88211,0.05882,0.06694,0.02677,1.80685,7.44061,0.01985,0.0005644,0.0005644,0.0005644
13,272.182,1.72317,4.82086,0.0121,0.65584,0.05882,0.07509,0.02438,1.91845,7.51437,0.01888,0.0005248,0.0005248,0.0005248
14,292.767,1.81495,4.9296,0.01209,0.08435,0.17647,0.05895,0.01986,1.97617,7.21416,0.01825,0.0004852,0.0004852,0.0004852
15,313.529,1.82522,4.41342,0.01316,0.16123,0.11765,0.0455,0.0134,1.76796,6.87776,0.0171,0.0004456,0.0004456,0.0004456
16,353.228,1.55218,4.76545,0.01077,0.12109,0.17647,0.0524,0.01286,1.85607,6.68798,0.01903,0.000406,0.000406,0.000406
17,374.174,1.68416,4.47421,0.01215,0.13064,0.11765,0.06671,0.01963,1.84237,6.43313,0.01782,0.0003664,0.0003664,0.0003664
18,394.885,1.50975,4.33094,0.01062,0.15634,0.17647,0.07681,0.02293,1.8975,6.5318,0.01966,0.0003268,0.0003268,0.0003268
19,415.551,1.45996,3.669,0.01043,0.20151,0.29412,0.11979,0.03996,1.61962,6.42707,0.01526,0.0002872,0.0002872,0.0002872
20,436.28,1.58441,3.79183,0.01086,0.21245,0.35294,0.13759,0.05382,1.64017,6.11677,0.01468,0.0002476,0.0002476,0.0002476
21,457.169,1.49589,4.04427,0.00932,0.31265,0.23529,0.13208,0.06115,1.631,5.89382,0.01495,0.000208,0.000208,0.000208
22,478.019,1.50809,3.47142,0.01047,0.21482,0.23529,0.2047,0.09847,1.82927,5.66725,0.01695,0.0001684,0.0001684,0.0001684
23,498.803,1.56444,3.78799,0.00991,0.21685,0.29412,0.18557,0.07746,1.79969,5.64369,0.01646,0.0001288,0.0001288,0.0001288
24,519.598,1.38546,3.7209,0.00976,0.22392,0.29412,0.15981,0.06809,1.79087,5.61502,0.01617,8.92e-05,8.92e-05,8.92e-05
25,540.395,1.42405,3.31567,0.01012,0.20659,0.27626,0.13874,0.05849,1.78167,5.62362,0.01602,4.96e-05,4.96e-05,4.96e-05
