epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0703,2.74686,15.6217,0.01325,0,0,0,0,2.60625,13.4009,0.011,0.000285714,0.000285714,0.0717143
2,20.7766,2.40563,11.2186,0.01076,0.00109,0.11656,0.04355,0.0144,2.49584,11.308,0.01012,0.000612919,0.000612919,0.0387082
3,30.506,2.12766,9.04172,0.00882,0.71585,0.03922,0.0892,0.02971,2.4908,10.2047,0.00978,0.000933524,0.000933524,0.00569543
4,40.1546,1.96395,8.13393,0.00835,0.69712,0.12745,0.11773,0.03883,2.29263,9.35599,0.00893,0.0009703,0.0009703,0.0009703
5,49.8907,1.89559,8.37737,0.00692,0.70499,0.1908,0.14044,0.04576,2.26825,9.22181,0.00888,0.0009604,0.0009604,0.0009604
6,59.7182,1.95779,8.37082,0.00887,0.76147,0.16128,0.1584,0.04733,2.26531,8.74827,0.00889,0.0009505,0.0009505,0.0009505
7,69.9956,1.85281,6.96939,0.00744,0.70834,0.20588,0.164,0.05132,2.30112,8.4528,0.00918,0.0009406,0.0009406,0.0009406
8,81.0447,1.7634,7.23472,0.00707,0.71043,0.21569,0.18645,0.0609,2.13061,8.11484,0.00814,0.0009307,0.0009307,0.0009307
9,91.8337,1.81162,6.91855,0.00675,0.77656,0.15686,0.18605,0.06354,2.08565,7.97581,0.00812,0.0009208,0.0009208,0.0009208
10,102.101,1.76186,7.00535,0.00685,0.75382,0.17647,0.21702,0.07983,2.12122,7.9219,0.00805,0.0009109,0.0009109,0.0009109
11,111.86,1.80115,6.16837,0.00665,0.68637,0.20479,0.25639,0.08483,2.14004,7.61704,0.00834,0.000901,0.000901,0.000901
12,121.589,1.85095,6.58034,0.00727,0.58394,0.26144,0.28559,0.09497,2.06306,6.91775,0.00787,0.0008911,0.0008911,0.0008911
13,131.372,1.76874,5.50602,0.00703,0.35148,0.29956,0.26442,0.09987,2.00867,6.61958,0.00734,0.0008812,0.0008812,0.0008812
14,141.154,1.7917,6.08002,0.00708,0.5331,0.29085,0.31241,0.10646,2.01075,6.40242,0.00737,0.0008713,0.0008713,0.0008713
15,150.954,1.77181,5.90015,0.00697,0.4233,0.39434,0.32635,0.10332,2.03706,6.29812,0.00751,0.0008614,0.0008614,0.0008614
16,160.833,1.7342,5.50325,0.00706,0.49352,0.34835,0.31225,0.09438,2.15474,6.21329,0.00812,0.0008515,0.0008515,0.0008515
17,170.704,1.8017,5.56027,0.00728,0.47518,0.36492,0.29905,0.09639,2.17591,6.17022,0.00813,0.0008416,0.0008416,0.0008416
18,180.623,1.67939,5.0145,0.00649,0.59553,0.28758,0.31111,0.09966,2.17274,6.05863,0.00802,0.0008317,0.0008317,0.0008317
19,190.702,1.74744,4.95721,0.00644,0.44875,0.36645,0.32166,0.10496,2.19974,5.8687,0.0079,0.0008218,0.0008218,0.0008218
20,200.601,1.81293,4.98975,0.00767,0.51064,0.33551,0.32572,0.11739,2.17493,5.57148,0.00815,0.0008119,0.0008119,0.0008119
21,210.423,1.73751,4.76836,0.00691,0.55121,0.31476,0.34249,0.11959,2.20023,5.4419,0.00845,0.000802,0.000802,0.000802
22,220.349,1.78776,4.86411,0.00729,0.43169,0.39216,0.34953,0.12696,2.1648,5.18721,0.00834,0.0007921,0.0007921,0.0007921
23,230.07,1.7643,4.2876,0.0066,0.48193,0.39463,0.36148,0.12565,2.16209,5.07982,0.00818,0.0007822,0.0007822,0.0007822
24,239.898,1.73706,4.52263,0.00676,0.52316,0.33551,0.35854,0.12882,2.16837,5.00884,0.0083,0.0007723,0.0007723,0.0007723
25,249.726,1.69603,4.51219,0.00664,0.61923,0.3268,0.3753,0.1354,2.11403,4.98432,0.00813,0.0007624,0.0007624,0.0007624
26,259.581,1.69725,4.13649,0.00658,0.66575,0.3268,0.39434,0.15542,2.02605,4.83364,0.00734,0.0007525,0.0007525,0.0007525
27,269.503,1.7365,3.96597,0.00677,0.58211,0.35512,0.42227,0.17689,2.0239,4.6311,0.00698,0.0007426,0.0007426,0.0007426
28,279.401,1.79924,3.88772,0.00697,0.57726,0.41657,0.45215,0.17234,2.04709,4.52268,0.00719,0.0007327,0.0007327,0.0007327
29,289.314,1.68025,3.83575,0.00594,0.75487,0.40196,0.47911,0.16085,2.03443,4.51031,0.00723,0.0007228,0.0007228,0.0007228
30,299.105,1.66787,3.601,0.00637,0.46753,0.40575,0.41253,0.13996,2.03636,4.46377,0.00723,0.0007129,0.0007129,0.0007129
31,308.905,1.68656,3.54227,0.00604,0.57525,0.39325,0.42634,0.13529,2.07319,4.47431,0.00729,0.000703,0.000703,0.000703
32,318.715,1.7106,3.94648,0.00645,0.71782,0.38453,0.43776,0.14709,2.11177,4.34057,0.00715,0.0006931,0.0006931,0.0006931
33,328.651,1.62767,3.49756,0.00629,0.70659,0.39434,0.47805,0.1622,2.10357,4.28385,0.00721,0.0006832,0.0006832,0.0006832
34,338.607,1.67439,3.18941,0.00596,0.73579,0.39325,0.46551,0.16754,2.09055,4.17818,0.00729,0.0006733,0.0006733,0.0006733
35,348.451,1.64673,3.32766,0.00592,0.71416,0.38344,0.45371,0.16253,2.063,4.0853,0.00708,0.0006634,0.0006634,0.0006634
36,358.436,1.66894,3.47755,0.00661,0.67128,0.3784,0.45213,0.14868,2.02313,4.04046,0.00696,0.0006535,0.0006535,0.0006535
37,368.395,1.68662,3.25653,0.0067,0.77621,0.35621,0.44651,0.14861,2.00524,4.02191,0.00694,0.0006436,0.0006436,0.0006436
38,378.328,1.64697,3.20775,0.00618,0.81586,0.34532,0.42861,0.14407,2.06724,4.00187,0.00729,0.0006337,0.0006337,0.0006337
39,388.305,1.72257,3.07938,0.00643,0.81947,0.35512,0.43402,0.13323,2.0956,3.99943,0.00734,0.0006238,0.0006238,0.0006238
40,398.392,1.63529,3.08442,0.00576,0.70719,0.36492,0.42999,0.12916,2.0739,3.96292,0.00728,0.0006139,0.0006139,0.0006139
41,408.453,1.62489,3.04649,0.00593,0.68284,0.35968,0.41179,0.12165,2.04837,3.98478,0.00718,0.000604,0.000604,0.000604
42,418.479,1.62049,2.83707,0.0059,0.61745,0.35512,0.3946,0.13002,2.08245,3.94086,0.00727,0.0005941,0.0005941,0.0005941
43,428.514,1.63846,2.77041,0.00608,0.55867,0.44009,0.45329,0.15387,2.13439,3.81625,0.00745,0.0005842,0.0005842,0.0005842
