epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0954,0.67192,6.10901,0.00409,0.00333,1,0.2233,0.19212,0.5337,7.48431,0.00467,0.000644444,0.000644444,0.000644444
2,162.085,0.76785,4.59681,0.00415,0.00333,1,0.1393,0.10385,0.6058,7.21401,0.00553,0.00129813,0.00129813,0.00129813
3,252.452,0.77148,4.35586,0.00462,0.80049,0.66873,0.83229,0.68836,0.69646,5.82946,0.00596,0.00193862,0.00193862,0.00193862
4,320.062,0.78386,4.08152,0.00456,0.80515,0.78333,0.90503,0.74391,0.76053,4.79048,0.00704,0.0019406,0.0019406,0.0019406
5,414.083,0.83251,3.39706,0.00502,0.77596,0.85,0.91115,0.78904,0.59123,3.8413,0.00536,0.0019208,0.0019208,0.0019208
6,512.895,0.72257,2.9726,0.00449,0.86027,0.92355,0.95478,0.85673,0.51268,3.01143,0.00447,0.001901,0.001901,0.001901
7,609.346,0.72331,2.53227,0.00421,0.87092,0.95,0.95664,0.84641,0.5653,2.63001,0.005,0.0018812,0.0018812,0.0018812
8,707.772,0.70512,2.49295,0.00422,0.95603,0.86667,0.96579,0.86508,0.52218,2.33791,0.00462,0.0018614,0.0018614,0.0018614
9,805.182,0.7337,2.04299,0.00432,0.82377,0.95,0.95726,0.83794,0.56948,2.05327,0.00528,0.0018416,0.0018416,0.0018416
10,902.443,0.72561,1.78797,0.00424,0.91164,0.95,0.97379,0.85832,0.58384,1.7884,0.00539,0.0018218,0.0018218,0.0018218
11,999.624,0.71686,1.60357,0.00401,0.91936,0.9,0.96375,0.85767,0.50547,1.66149,0.00466,0.001802,0.001802,0.001802
12,1096.34,0.6853,1.41889,0.00402,0.87871,0.96594,0.97176,0.87639,0.46038,1.41769,0.00408,0.0017822,0.0017822,0.0017822
13,1192.6,0.68825,1.32793,0.00385,0.95059,0.9619,0.98247,0.8667,0.578,1.3632,0.0051,0.0017624,0.0017624,0.0017624
14,1289.66,0.65948,1.23775,0.0038,0.98232,0.92609,0.98932,0.84814,0.66597,1.24434,0.00553,0.0017426,0.0017426,0.0017426
15,1387.29,0.64208,1.11761,0.00359,0.92987,0.88397,0.97516,0.88549,0.46219,1.2144,0.00393,0.0017228,0.0017228,0.0017228
16,1485.15,0.6403,1.06003,0.00354,1,0.94462,0.99144,0.88796,0.48095,0.941,0.0041,0.001703,0.001703,0.001703
17,1581.37,0.67339,1.0133,0.00403,0.98287,0.95632,0.99329,0.85518,0.62181,0.91317,0.00532,0.0016832,0.0016832,0.0016832
18,1679.34,0.70216,0.83942,0.00415,0.88133,0.98333,0.97851,0.8788,0.4904,0.8694,0.00452,0.0016634,0.0016634,0.0016634
19,1778.2,0.65198,0.77517,0.0034,0.91968,0.9542,0.97767,0.86786,0.47651,0.86651,0.00421,0.0016436,0.0016436,0.0016436
20,1877.03,0.68123,0.74699,0.00398,0.94248,0.95,0.98567,0.88415,0.53966,0.75569,0.00502,0.0016238,0.0016238,0.0016238
21,1974.54,0.63675,0.67761,0.00363,0.96463,0.90904,0.98376,0.88197,0.5263,0.68486,0.00466,0.001604,0.001604,0.001604
22,2071.08,0.62064,0.6888,0.00384,0.90294,0.95,0.97988,0.86546,0.55835,0.68097,0.005,0.0015842,0.0015842,0.0015842
23,2169.49,0.63213,0.64299,0.00359,0.94471,0.9,0.97875,0.87584,0.46869,0.62932,0.00426,0.0015644,0.0015644,0.0015644
24,2267.14,0.65035,0.63232,0.00395,0.94041,0.98333,0.99151,0.87802,0.51692,0.55333,0.00492,0.0015446,0.0015446,0.0015446
25,2366.03,0.58321,0.55769,0.00337,0.98159,1,0.99451,0.88115,0.54572,0.5333,0.00505,0.0015248,0.0015248,0.0015248
26,2464,0.60056,0.57141,0.00364,0.95907,0.93333,0.98661,0.88563,0.47441,0.53484,0.00412,0.001505,0.001505,0.001505
27,2562.52,0.54865,0.52709,0.00287,0.98282,0.95333,0.99192,0.90524,0.43352,0.4855,0.00396,0.0014852,0.0014852,0.0014852
28,2660.49,0.63969,0.53471,0.00355,0.97747,0.95,0.98821,0.89904,0.43842,0.44938,0.00376,0.0014654,0.0014654,0.0014654
29,2759.17,0.56664,0.48546,0.00348,0.93439,0.94941,0.98538,0.87903,0.50464,0.4733,0.00457,0.0014456,0.0014456,0.0014456
30,2857.19,0.58733,0.50842,0.00322,0.95406,0.88333,0.98051,0.88957,0.43952,0.46083,0.00378,0.0014258,0.0014258,0.0014258
31,2952.44,0.57951,0.47663,0.00343,0.96529,0.96667,0.99048,0.89595,0.45408,0.42109,0.00402,0.001406,0.001406,0.001406
32,3051.09,0.55577,0.46274,0.00315,0.96496,0.91785,0.98847,0.90271,0.47012,0.41544,0.00395,0.0013862,0.0013862,0.0013862
33,3148.52,0.56536,0.44732,0.00344,0.96646,0.9606,0.9916,0.87935,0.53831,0.4248,0.00486,0.0013664,0.0013664,0.0013664
34,3244.65,0.60426,0.43357,0.00355,0.92249,1,0.98662,0.88181,0.51415,0.4009,0.00463,0.0013466,0.0013466,0.0013466
35,3340.15,0.61538,0.42653,0.0033,0.9435,0.95,0.98371,0.90007,0.45119,0.40463,0.00389,0.0013268,0.0013268,0.0013268
36,3436.24,0.5681,0.41633,0.00329,0.95,0.94996,0.98652,0.90953,0.4214,0.36839,0.00374,0.001307,0.001307,0.001307
37,3535.17,0.55971,0.39492,0.00312,0.99356,0.98333,0.99484,0.87938,0.54074,0.34491,0.00475,0.0012872,0.0012872,0.0012872
38,3632.35,0.57095,0.36198,0.00315,0.94942,0.93859,0.98727,0.87669,0.50269,0.37561,0.0046,0.0012674,0.0012674,0.0012674
39,3729.12,0.60907,0.38371,0.00344,0.98305,0.96667,0.99323,0.91541,0.39898,0.28628,0.00346,0.0012476,0.0012476,0.0012476
40,3829.3,0.62597,0.38786,0.00357,0.95147,0.98032,0.98797,0.90713,0.45778,0.32758,0.00413,0.0012278,0.0012278,0.0012278
41,3926.02,0.57897,0.38106,0.00338,0.99815,0.96667,0.99225,0.91536,0.39098,0.30224,0.0035,0.001208,0.001208,0.001208
42,4026.78,0.54057,0.36107,0.00292,0.92048,0.96459,0.98632,0.89667,0.46752,0.34589,0.00423,0.0011882,0.0011882,0.0011882
43,4125.84,0.55806,0.34355,0.00313,0.99643,0.98333,0.99468,0.92778,0.37842,0.26889,0.00317,0.0011684,0.0011684,0.0011684
44,4223.56,0.53131,0.31849,0.00301,0.97359,0.98333,0.99351,0.89363,0.49529,0.28848,0.0046,0.0011486,0.0011486,0.0011486
45,4323.73,0.59686,0.34578,0.00358,0.95482,0.96667,0.99033,0.90142,0.45305,0.29056,0.00427,0.0011288,0.0011288,0.0011288
46,4418.93,0.53849,0.3267,0.00312,0.95065,0.96667,0.98859,0.9388,0.38199,0.28834,0.0032,0.001109,0.001109,0.001109
47,4517.21,0.49482,0.29667,0.00306,0.93568,0.96983,0.98754,0.88738,0.5025,0.31532,0.00447,0.0010892,0.0010892,0.0010892
48,4615.09,0.5598,0.33599,0.00315,0.98358,0.99865,0.99336,0.88493,0.49876,0.27675,0.00451,0.0010694,0.0010694,0.0010694
49,4713.97,0.51147,0.30952,0.00303,0.96716,0.98158,0.99118,0.91693,0.38947,0.2557,0.00329,0.0010496,0.0010496,0.0010496
50,4813.18,0.53298,0.28587,0.00289,0.9545,0.96667,0.98979,0.90771,0.41089,0.27956,0.0035,0.0010298,0.0010298,0.0010298
51,4909.98,0.49219,0.28814,0.0029,1,0.9662,0.9937,0.90833,0.41494,0.26866,0.00385,0.00101,0.00101,0.00101
52,5009.68,0.51275,0.29089,0.00291,0.96747,0.9913,0.99318,0.90269,0.46999,0.25062,0.00412,0.0009902,0.0009902,0.0009902
53,5106.57,0.52691,0.29614,0.00315,0.9671,0.97975,0.99369,0.91325,0.41832,0.25621,0.00366,0.0009704,0.0009704,0.0009704
54,5203.31,0.47461,0.24471,0.00278,0.96676,0.96963,0.99038,0.91352,0.37718,0.27223,0.00344,0.0009506,0.0009506,0.0009506
55,5302.04,0.48067,0.28049,0.00291,0.98218,0.91838,0.98984,0.93458,0.37268,0.26215,0.00327,0.0009308,0.0009308,0.0009308
56,5398.35,0.48406,0.25767,0.00269,0.98203,0.98333,0.99468,0.88802,0.50495,0.23772,0.00454,0.000911,0.000911,0.000911
