epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4069,0.63865,5.69661,0.00338,0.00333,1,0.64984,0.5657,0.5833,6.96552,0.00387,0.000655914,0.000655914,0.000655914
2,76.3159,0.69478,4.02934,0.00363,0.7319,0.819,0.79566,0.68874,0.54603,4.65209,0.00352,0.00130949,0.00130949,0.00130949
3,102.968,0.73153,3.36638,0.00396,0.96543,0.9,0.97517,0.86594,0.57884,3.06905,0.00359,0.00194986,0.00194986,0.00194986
4,129.569,0.63464,2.35915,0.00327,0.91844,0.96,0.98345,0.87779,0.51179,2.31638,0.00341,0.0019406,0.0019406,0.0019406
5,156.222,0.71098,2.06058,0.00384,0.91603,0.96,0.98505,0.7892,0.78772,2.00818,0.00517,0.0019208,0.0019208,0.0019208
6,182.946,0.70758,1.54787,0.00388,0.9189,0.9,0.96212,0.81847,0.75531,1.68157,0.00491,0.001901,0.001901,0.001901
7,209.579,0.65242,1.31151,0.00353,1,0.95202,0.99069,0.81361,0.65354,1.40675,0.00426,0.0018812,0.0018812,0.0018812
8,245.879,0.59906,1.06829,0.00318,0.9492,0.88,0.96412,0.85149,0.57078,1.09031,0.00377,0.0018614,0.0018614,0.0018614
9,289.475,0.66502,0.98885,0.0034,0.90565,0.86,0.95919,0.8752,0.49031,0.95062,0.0032,0.0018416,0.0018416,0.0018416
10,334.988,0.60792,0.81749,0.00319,0.91245,0.94,0.98542,0.90692,0.41058,0.87922,0.0026,0.0018218,0.0018218,0.0018218
11,379.735,0.67679,0.74389,0.00381,0.81541,0.97189,0.95787,0.8494,0.49826,0.72692,0.00325,0.001802,0.001802,0.001802
12,424.464,0.67614,0.66422,0.00353,0.97325,0.98,0.99166,0.86984,0.53581,0.6101,0.00343,0.0017822,0.0017822,0.0017822
13,469.547,0.61295,0.59699,0.00337,0.9968,0.94,0.98868,0.88399,0.53815,0.62374,0.00359,0.0017624,0.0017624,0.0017624
14,513.541,0.60582,0.55425,0.00322,0.95989,0.95731,0.98991,0.88498,0.49613,0.54268,0.00338,0.0017426,0.0017426,0.0017426
15,545.073,0.56119,0.50624,0.00295,0.90219,0.92248,0.97994,0.86288,0.55771,0.54445,0.00381,0.0017228,0.0017228,0.0017228
16,571.696,0.63281,0.47488,0.00323,0.95784,0.90877,0.9771,0.91056,0.39258,0.45476,0.00251,0.001703,0.001703,0.001703
17,604.898,0.57821,0.43676,0.00291,0.94325,0.92,0.97983,0.88399,0.49567,0.44395,0.00313,0.0016832,0.0016832,0.0016832
18,649.931,0.56473,0.42842,0.00295,0.95622,0.87373,0.97105,0.8971,0.39825,0.40948,0.00258,0.0016634,0.0016634,0.0016634
19,692.998,0.54635,0.40372,0.00291,0.9724,0.94,0.9883,0.90613,0.43052,0.4291,0.00267,0.0016436,0.0016436,0.0016436
20,737.317,0.54848,0.38322,0.00291,0.95941,0.9455,0.98686,0.87826,0.50696,0.43464,0.00354,0.0016238,0.0016238,0.0016238
21,781.889,0.53536,0.35834,0.00275,0.9934,0.98,0.99352,0.9069,0.44546,0.27691,0.0028,0.001604,0.001604,0.001604
22,827.299,0.56653,0.34153,0.00305,0.9798,0.97022,0.99347,0.9123,0.41994,0.25772,0.00276,0.0015842,0.0015842,0.0015842
23,871.529,0.53655,0.3224,0.00282,0.93953,0.93238,0.97842,0.89266,0.44091,0.36875,0.00268,0.0015644,0.0015644,0.0015644
24,914.45,0.56558,0.32519,0.00301,0.92173,0.96,0.9823,0.88236,0.47068,0.29037,0.00296,0.0015446,0.0015446,0.0015446
25,958.069,0.57068,0.32314,0.00294,0.92383,0.97033,0.98174,0.92474,0.34525,0.29339,0.00223,0.0015248,0.0015248,0.0015248
26,1000.46,0.53563,0.31227,0.00282,0.8908,0.88,0.95706,0.84576,0.55883,0.4032,0.00358,0.001505,0.001505,0.001505
27,1043.67,0.53881,0.31466,0.00268,0.93885,0.92115,0.97604,0.9029,0.40337,0.32677,0.00267,0.0014852,0.0014852,0.0014852
28,1086.22,0.50085,0.29101,0.00263,0.97598,1,0.99382,0.92082,0.41691,0.24312,0.0025,0.0014654,0.0014654,0.0014654
29,1128.25,0.52165,0.28949,0.00274,0.94319,1,0.99228,0.9287,0.36372,0.21889,0.00226,0.0014456,0.0014456,0.0014456
30,1173.1,0.56072,0.29679,0.00296,0.97769,0.98,0.99307,0.90332,0.48482,0.21529,0.00319,0.0014258,0.0014258,0.0014258
31,1213.84,0.49671,0.28088,0.00255,0.99815,0.92,0.98777,0.90352,0.47629,0.37505,0.00299,0.001406,0.001406,0.001406
32,1258.21,0.54856,0.28623,0.00289,1,0.9762,0.99318,0.93378,0.37987,0.20343,0.00232,0.0013862,0.0013862,0.0013862
33,1303.33,0.53333,0.26282,0.00287,0.94265,1,0.9911,0.88882,0.49213,0.21248,0.00302,0.0013664,0.0013664,0.0013664
34,1348.95,0.48386,0.25042,0.00254,0.97909,0.98,0.99387,0.94221,0.29749,0.1688,0.00193,0.0013466,0.0013466,0.0013466
35,1395.26,0.48773,0.2457,0.00252,0.95496,0.98,0.99267,0.92403,0.38897,0.21032,0.00261,0.0013268,0.0013268,0.0013268
36,1437.33,0.51662,0.27022,0.00272,0.98029,0.99465,0.99461,0.91994,0.43478,0.22765,0.00288,0.001307,0.001307,0.001307
37,1478.55,0.52004,0.25624,0.00261,0.91947,1,0.98931,0.91744,0.34196,0.214,0.00226,0.0012872,0.0012872,0.0012872
38,1522.38,0.49581,0.23098,0.00259,0.9774,0.98,0.99343,0.91431,0.41516,0.18612,0.00273,0.0012674,0.0012674,0.0012674
39,1566.09,0.49006,0.24815,0.0025,0.97018,1,0.99422,0.93653,0.34012,0.1712,0.00212,0.0012476,0.0012476,0.0012476
40,1609.74,0.48453,0.24495,0.00249,0.96584,0.96,0.99076,0.93476,0.33733,0.17266,0.00208,0.0012278,0.0012278,0.0012278
41,1652.9,0.50051,0.22791,0.00256,0.99846,0.98,0.99461,0.94163,0.36526,0.16769,0.00229,0.001208,0.001208,0.001208
42,1692.16,0.47553,0.22962,0.00246,1,0.99332,0.995,0.91531,0.39465,0.14886,0.00251,0.0011882,0.0011882,0.0011882
43,1733.68,0.47509,0.21615,0.00242,1,0.97051,0.99387,0.93151,0.36921,0.17342,0.00235,0.0011684,0.0011684,0.0011684
