epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6173,0.4703,0.21401,0.00279,0.95216,0.99525,0.99353,0.91,0.41108,0.2095,0.00368,0.000644444,0.000644444,0.000644444
2,77.9577,0.54724,0.26007,0.003,0.96749,0.99192,0.99369,0.85456,0.63353,0.25548,0.00595,0.00124621,0.00124621,0.00124621
3,108.109,0.58514,0.28203,0.00344,1,0.99862,0.995,0.88142,0.51728,0.21754,0.00495,0.00178198,0.00178198,0.00178198
4,138.709,0.5738,0.27141,0.00325,0.96398,1,0.99434,0.88145,0.5677,0.21402,0.00504,0.001703,0.001703,0.001703
5,167.689,0.58597,0.27747,0.00331,1,0.99818,0.995,0.89384,0.46474,0.1807,0.00412,0.001604,0.001604,0.001604
6,196.62,0.58918,0.26838,0.00353,1,0.9472,0.99186,0.90081,0.4224,0.2081,0.00389,0.001505,0.001505,0.001505
7,225.62,0.56328,0.26254,0.00338,1,0.9639,0.99434,0.90482,0.42822,0.16315,0.00364,0.001406,0.001406,0.001406
8,254.475,0.54256,0.2912,0.00318,0.98213,0.96667,0.99326,0.9022,0.4602,0.2297,0.00396,0.001307,0.001307,0.001307
9,273.799,0.56326,0.27554,0.00321,1,0.99815,0.995,0.88787,0.49053,0.18212,0.0043,0.001208,0.001208,0.001208
10,296.383,0.56728,0.27289,0.00348,0.98333,0.98301,0.99354,0.89885,0.45825,0.18182,0.00402,0.001109,0.001109,0.001109
11,320.567,0.45218,0.24091,0.00309,0.98009,0.98333,0.99369,0.88888,0.52783,0.18674,0.00451,0.00101,0.00101,0.00101
12,344.338,0.47475,0.22079,0.0033,0.95203,0.99234,0.99272,0.91475,0.42673,0.21571,0.0038,0.000911,0.000911,0.000911
13,370.317,0.44247,0.23064,0.00297,0.90506,0.9533,0.98228,0.90378,0.40585,0.25065,0.0036,0.000812,0.000812,0.000812
14,395.745,0.43993,0.19902,0.0032,0.93374,1,0.99096,0.92504,0.40111,0.19472,0.00364,0.000713,0.000713,0.000713
15,420.454,0.42705,0.19311,0.00305,0.99529,0.96667,0.99372,0.91463,0.44127,0.18565,0.00392,0.000614,0.000614,0.000614
