epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3405,1.72125,10.7207,0.00476,0,0,0,0,1.84407,4.70887,0.00629,0.000230952,0.000230952,0.0672378
2,98.8846,1.69898,3.56708,0.00478,0.50699,0.30172,0.27659,0.07953,1.71027,2.99736,0.00587,0.000459689,0.000459689,0.0341332
3,147.835,1.70738,3.14234,0.0047,0.33125,0.31034,0.23187,0.07057,1.60828,3.62713,0.00526,0.000683806,0.000683806,0.00102394
4,196.503,1.48221,2.92663,0.00399,0.35028,0.31897,0.24358,0.07704,1.6759,3.32972,0.00585,0.00067921,0.00067921,0.00067921
5,245.863,1.56521,3.28241,0.00421,0.36463,0.32759,0.24227,0.08262,1.48624,3.11239,0.00508,0.00067228,0.00067228,0.00067228
6,295.899,1.53551,2.97259,0.00414,0.58093,0.34483,0.33521,0.10251,1.65063,2.78689,0.00549,0.00066535,0.00066535,0.00066535
7,345.279,1.42991,2.62556,0.00377,0.5804,0.34483,0.42375,0.15723,1.62093,2.66298,0.00568,0.00065842,0.00065842,0.00065842
8,395.269,1.51621,2.65904,0.00392,0.47688,0.44828,0.41146,0.14095,1.53477,2.44663,0.00534,0.00065149,0.00065149,0.00065149
9,444.823,1.53126,2.50898,0.00401,0.4462,0.47232,0.39747,0.13277,1.60069,2.32329,0.00536,0.00064456,0.00064456,0.00064456
10,494.137,1.35821,2.37025,0.0036,0.69755,0.46552,0.54304,0.18895,1.59625,2.2239,0.0055,0.00063763,0.00063763,0.00063763
11,543.981,1.5747,2.43908,0.00408,0.68131,0.5529,0.60267,0.23089,1.5345,2.25628,0.00505,0.0006307,0.0006307,0.0006307
12,593.123,1.33977,2.15382,0.00355,0.57452,0.50054,0.49108,0.15164,1.71714,2.41598,0.00552,0.00062377,0.00062377,0.00062377
13,642.414,1.45663,2.18513,0.00382,0.61321,0.51936,0.55074,0.21356,1.53028,2.30951,0.00494,0.00061684,0.00061684,0.00061684
14,691.737,1.48639,2.1671,0.00407,0.63295,0.5,0.5379,0.19877,1.65893,2.24623,0.00582,0.00060991,0.00060991,0.00060991
15,741.057,1.43563,2.17421,0.00375,0.74638,0.56034,0.60516,0.18999,1.60865,2.17233,0.00534,0.00060298,0.00060298,0.00060298
16,790.434,1.36767,1.98828,0.00361,0.77508,0.57759,0.63399,0.24346,1.47237,2.16808,0.00473,0.00059605,0.00059605,0.00059605
17,839.857,1.43297,1.95712,0.00374,0.7751,0.61207,0.65499,0.2366,1.53704,2.10235,0.00498,0.00058912,0.00058912,0.00058912
18,889.038,1.37324,1.84984,0.00371,0.70465,0.57591,0.62383,0.2157,1.60208,2.12322,0.00512,0.00058219,0.00058219,0.00058219
19,938.57,1.42402,1.93859,0.00372,0.72542,0.56034,0.61124,0.20925,1.57609,2.03975,0.00516,0.00057526,0.00057526,0.00057526
20,987.829,1.38032,1.73782,0.00355,0.78412,0.53231,0.60906,0.23293,1.4685,2.06358,0.00477,0.00056833,0.00056833,0.00056833
21,1037.54,1.44215,1.79245,0.00375,0.79157,0.5566,0.64002,0.25123,1.46018,1.90073,0.00467,0.0005614,0.0005614,0.0005614
22,1086.97,1.33153,1.60631,0.00349,0.74416,0.62691,0.61892,0.21535,1.58151,2.00795,0.00502,0.00055447,0.00055447,0.00055447
23,1136.22,1.3517,1.70073,0.00348,0.74445,0.59483,0.64124,0.249,1.59404,2.00418,0.00519,0.00054754,0.00054754,0.00054754
24,1186.06,1.49484,1.73748,0.00384,0.77212,0.56034,0.59002,0.22127,1.57855,1.89165,0.00522,0.00054061,0.00054061,0.00054061
25,1235.33,1.4232,1.6554,0.00373,0.66031,0.53625,0.55706,0.22616,1.5151,1.96299,0.00516,0.00053368,0.00053368,0.00053368
26,1284.85,1.49645,1.71792,0.00396,0.74986,0.60345,0.62238,0.22519,1.59015,1.79391,0.00529,0.00052675,0.00052675,0.00052675
27,1334.17,1.41575,1.61506,0.00371,0.79772,0.61193,0.67793,0.29076,1.51902,1.80062,0.00487,0.00051982,0.00051982,0.00051982
28,1383.67,1.40251,1.66585,0.0036,0.80233,0.55986,0.61883,0.22326,1.61877,2.03847,0.00534,0.00051289,0.00051289,0.00051289
29,1432.97,1.31526,1.48007,0.00345,0.6992,0.62069,0.669,0.23569,1.56015,1.79667,0.00495,0.00050596,0.00050596,0.00050596
30,1482.22,1.43978,1.50942,0.00368,0.78618,0.60345,0.65048,0.25808,1.51253,1.78315,0.00487,0.00049903,0.00049903,0.00049903
31,1531.59,1.36821,1.53918,0.00372,0.74382,0.60074,0.62614,0.23008,1.68536,1.66792,0.00583,0.0004921,0.0004921,0.0004921
32,1581.09,1.34979,1.48669,0.00355,0.75976,0.65517,0.67113,0.24508,1.58427,1.65495,0.00541,0.00048517,0.00048517,0.00048517
33,1630.63,1.46181,1.54449,0.00387,0.76731,0.56897,0.58497,0.2226,1.60309,1.84038,0.00554,0.00047824,0.00047824,0.00047824
34,1680.05,1.45381,1.50791,0.00387,0.75807,0.58621,0.64968,0.23602,1.56247,1.76254,0.00526,0.00047131,0.00047131,0.00047131
35,1729.37,1.43161,1.46674,0.00375,0.81337,0.63793,0.67081,0.27413,1.56612,1.6905,0.00533,0.00046438,0.00046438,0.00046438
36,1778.69,1.33656,1.30731,0.00365,0.80561,0.62931,0.63874,0.22242,1.58656,1.81161,0.0052,0.00045745,0.00045745,0.00045745
37,1828.65,1.55102,1.41009,0.00408,0.77137,0.64655,0.65235,0.25745,1.54505,1.72763,0.00494,0.00045052,0.00045052,0.00045052
38,1878.08,1.40294,1.34157,0.00351,0.77672,0.59979,0.61043,0.25905,1.49889,1.92938,0.00481,0.00044359,0.00044359,0.00044359
39,1927.46,1.42092,1.2884,0.00366,0.8648,0.66379,0.69817,0.26299,1.61809,1.64432,0.00526,0.00043666,0.00043666,0.00043666
40,1976.76,1.39609,1.14937,0.00359,0.77195,0.642,0.68417,0.27486,1.52247,1.66335,0.00495,0.00042973,0.00042973,0.00042973
41,2025.98,1.35821,1.33167,0.00354,0.6815,0.62931,0.57484,0.20673,1.6683,1.78982,0.00572,0.0004228,0.0004228,0.0004228
42,2075.14,1.29042,1.12738,0.00329,0.72329,0.62069,0.57578,0.22538,1.57907,1.61398,0.00524,0.00041587,0.00041587,0.00041587
43,2124.47,1.3675,1.1753,0.0036,0.82395,0.60521,0.70112,0.2777,1.57214,1.60702,0.00512,0.00040894,0.00040894,0.00040894
44,2173.76,1.40806,1.24423,0.00372,0.80741,0.67241,0.69497,0.2741,1.59854,1.58953,0.00556,0.00040201,0.00040201,0.00040201
45,2223.01,1.39026,1.15909,0.00362,0.77753,0.64655,0.64759,0.23135,1.60812,1.57046,0.00538,0.00039508,0.00039508,0.00039508
46,2272.2,1.23265,1.08588,0.00324,0.73497,0.66939,0.64458,0.25309,1.54218,1.61791,0.00502,0.00038815,0.00038815,0.00038815
47,2321.22,1.21869,1.05335,0.00306,0.8122,0.67109,0.66367,0.23711,1.57911,1.54611,0.00521,0.00038122,0.00038122,0.00038122
48,2370.44,1.38399,1.14275,0.00363,0.82964,0.71373,0.69788,0.26688,1.52797,1.4706,0.00497,0.00037429,0.00037429,0.00037429
49,2419.57,1.36568,0.96386,0.0036,0.81845,0.69828,0.7101,0.28398,1.59119,1.53676,0.00524,0.00036736,0.00036736,0.00036736
50,2469.26,1.45092,1.10705,0.00385,0.78145,0.62931,0.66086,0.24803,1.69441,1.59916,0.00549,0.00036043,0.00036043,0.00036043
51,2518.49,1.35967,1.00731,0.00348,0.80342,0.66946,0.67582,0.26863,1.63563,1.53892,0.00538,0.0003535,0.0003535,0.0003535
52,2567.76,1.39608,1.00372,0.00369,0.62834,0.62069,0.52139,0.19891,1.64799,1.70717,0.0055,0.00034657,0.00034657,0.00034657
