epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.654,2.7039,20.6955,0.00883,0,0,0,0,2.47594,7.30497,0.00876,0.000228667,0.000228667,0.067562
2,85.0413,2.45757,7.63326,0.00819,0,0,0,0,2.25881,6.11348,0.0079,0.000457426,0.000457426,0.0344574
3,127.713,2.41116,6.68256,0.00747,0,0,0,0,2.06778,5.8281,0.00699,0.000681566,0.000681566,0.00134823
4,170.195,2.33768,6.39146,0.00711,0.00086,0.03116,0.00037,8e-05,2.03647,5.6475,0.00679,0.00067921,0.00067921,0.00067921
5,213.06,2.19864,6.1224,0.00662,0.67691,0.02899,0.00515,0.00204,1.93543,5.7227,0.00655,0.00067228,0.00067228,0.00067228
6,255.652,2.17734,6.0077,0.00651,0.36488,0.05791,0.00944,0.00246,2.12428,6.48946,0.00716,0.00066535,0.00066535,0.00066535
7,298.33,2.15166,5.81618,0.0061,0.44989,0.09348,0.03078,0.00974,2.22416,5.15312,0.00733,0.00065842,0.00065842,0.00065842
8,340.78,2.27939,5.08839,0.00682,0.49115,0.1558,0.10093,0.03382,2.09843,4.33057,0.00682,0.00065149,0.00065149,0.00065149
9,383.214,2.25763,4.90291,0.00652,0.48452,0.14029,0.10513,0.02984,2.07748,4.04889,0.0068,0.00064456,0.00064456,0.00064456
10,426.033,2.11323,4.54602,0.00653,0.58342,0.1663,0.14914,0.05021,2.07435,4.36227,0.00673,0.00063763,0.00063763,0.00063763
11,468.709,2.21588,4.32695,0.00645,0.55321,0.18696,0.15859,0.05902,2.05985,5.85664,0.00683,0.0006307,0.0006307,0.0006307
12,511.655,2.19631,4.29589,0.00671,0.63341,0.24819,0.1902,0.05831,1.98855,3.85999,0.00648,0.00062377,0.00062377,0.00062377
13,554.343,2.05021,3.9288,0.00604,0.67615,0.16522,0.19608,0.06191,1.91946,4.27895,0.00627,0.00061684,0.00061684,0.00061684
14,597.116,2.11893,3.90794,0.00619,0.65908,0.17355,0.19312,0.06933,2.02663,4.01872,0.00642,0.00060991,0.00060991,0.00060991
15,639.631,2.05324,3.7343,0.00598,0.68235,0.1663,0.2205,0.08181,1.96225,3.21782,0.00644,0.00060298,0.00060298,0.00060298
16,682.135,1.98634,3.59046,0.00555,0.56608,0.23261,0.18014,0.06711,1.91454,3.43251,0.00631,0.00059605,0.00059605,0.00059605
17,724.768,2.00224,3.7477,0.00588,0.46993,0.25604,0.22209,0.08388,1.91657,3.39517,0.00606,0.00058912,0.00058912,0.00058912
18,767.315,1.89654,3.51481,0.00547,0.59132,0.19312,0.21521,0.07035,1.92095,3.60875,0.0062,0.00058219,0.00058219,0.00058219
19,809.765,2.02592,3.39204,0.00601,0.56231,0.25833,0.20205,0.07209,2.02125,3.85114,0.00643,0.00057526,0.00057526,0.00057526
20,851.983,1.80845,3.20912,0.00504,0.64727,0.21196,0.27335,0.09187,1.78709,3.16024,0.00572,0.00056833,0.00056833,0.00056833
21,894.311,1.85892,3.25318,0.00542,0.54956,0.21432,0.19857,0.07951,1.79595,3.24289,0.00576,0.0005614,0.0005614,0.0005614
22,936.837,1.99407,3.12014,0.00583,0.2997,0.22428,0.26102,0.09894,1.87676,4.2232,0.00606,0.00055447,0.00055447,0.00055447
23,979.286,1.99386,3.07001,0.0056,0.69348,0.26235,0.28394,0.11055,1.79491,3.07245,0.00564,0.00054754,0.00054754,0.00054754
24,1021.77,1.94488,3.00349,0.00562,0.57983,0.29336,0.31619,0.12236,1.79151,2.95813,0.00561,0.00054061,0.00054061,0.00054061
25,1064.05,1.75102,2.79909,0.0048,0.65816,0.2648,0.28453,0.1103,1.80047,2.86493,0.0056,0.00053368,0.00053368,0.00053368
26,1106.54,1.82531,2.8445,0.00504,0.3803,0.36174,0.34884,0.1235,1.83631,2.74746,0.00572,0.00052675,0.00052675,0.00052675
27,1148.99,1.82369,2.80869,0.00509,0.80055,0.25942,0.34794,0.12275,1.75258,2.85159,0.00552,0.00051982,0.00051982,0.00051982
28,1191.39,1.89036,2.69909,0.00525,0.45491,0.32522,0.37042,0.15045,1.72898,2.69383,0.00549,0.00051289,0.00051289,0.00051289
29,1233.82,1.80279,2.64792,0.00516,0.36256,0.39336,0.32603,0.12112,1.71489,2.92669,0.00538,0.00050596,0.00050596,0.00050596
30,1276.2,1.84437,2.59083,0.0051,0.699,0.32838,0.41282,0.15382,1.6564,2.86079,0.00512,0.00049903,0.00049903,0.00049903
31,1319.2,1.75101,2.56703,0.0047,0.49815,0.30923,0.3196,0.11085,1.83346,2.79672,0.00581,0.0004921,0.0004921,0.0004921
32,1361.44,1.84266,2.45452,0.00505,0.46857,0.50428,0.4663,0.17033,1.7557,2.69812,0.00559,0.00048517,0.00048517,0.00048517
33,1403.76,1.83484,2.44924,0.00495,0.56074,0.46629,0.47399,0.17901,1.64943,2.47801,0.0052,0.00047824,0.00047824,0.00047824
34,1446.05,1.7992,2.40836,0.00482,0.57272,0.42065,0.41162,0.16191,1.63027,2.46724,0.00513,0.00047131,0.00047131,0.00047131
35,1488.22,1.8496,2.4342,0.00509,0.52355,0.46787,0.44777,0.16241,1.68759,2.43639,0.00552,0.00046438,0.00046438,0.00046438
36,1530.8,1.83472,2.4822,0.0051,0.48601,0.52591,0.46935,0.18756,1.63367,2.50098,0.00517,0.00045745,0.00045745,0.00045745
37,1573.18,1.75448,2.28417,0.00472,0.54363,0.42935,0.46826,0.1499,1.70855,2.57699,0.00532,0.00045052,0.00045052,0.00045052
38,1615.63,1.83348,2.4402,0.00494,0.50336,0.48049,0.46305,0.17583,1.68141,2.41365,0.00525,0.00044359,0.00044359,0.00044359
39,1657.93,1.83048,2.27539,0.00491,0.53039,0.50664,0.48388,0.17272,1.765,2.2482,0.00552,0.00043666,0.00043666,0.00043666
40,1700.43,1.75348,2.35484,0.00468,0.65582,0.43157,0.50718,0.18467,1.76958,2.30665,0.00538,0.00042973,0.00042973,0.00042973
41,1742.89,1.85254,2.22909,0.00495,0.64812,0.48888,0.48174,0.17589,1.71528,2.4124,0.00517,0.0004228,0.0004228,0.0004228
42,1785.27,1.79213,2.13274,0.00507,0.5059,0.48683,0.46396,0.15362,1.84844,2.34274,0.00592,0.00041587,0.00041587,0.00041587
43,1827.71,1.78945,2.17496,0.00516,0.61659,0.42174,0.50428,0.19441,1.76273,2.40355,0.0054,0.00040894,0.00040894,0.00040894
44,1870.11,1.74619,2.16123,0.00477,0.57576,0.46063,0.51109,0.19681,1.70074,2.36011,0.00521,0.00040201,0.00040201,0.00040201
45,1912.44,1.77227,2.13863,0.00472,0.70816,0.38741,0.45378,0.16749,1.70985,2.57997,0.00549,0.00039508,0.00039508,0.00039508
46,1954.92,1.66455,2.02925,0.00449,0.57769,0.58418,0.53298,0.20721,1.68276,2.5957,0.00526,0.00038815,0.00038815,0.00038815
47,1997.14,1.77014,2.06153,0.00471,0.67215,0.47025,0.49274,0.1954,1.71321,2.46149,0.00538,0.00038122,0.00038122,0.00038122
48,2039.41,1.80748,1.99829,0.00477,0.66996,0.4617,0.5446,0.20609,1.77835,2.27802,0.00548,0.00037429,0.00037429,0.00037429
49,2081.61,1.66871,2.05961,0.00443,0.65589,0.50188,0.53177,0.20268,1.76378,2.23977,0.00538,0.00036736,0.00036736,0.00036736
50,2123.82,1.57247,1.8815,0.00419,0.70951,0.42511,0.52229,0.21295,1.7179,2.40969,0.00542,0.00036043,0.00036043,0.00036043
51,2166,1.66327,1.97698,0.00441,0.89148,0.33949,0.52937,0.20813,1.717,2.37849,0.00535,0.0003535,0.0003535,0.0003535
52,2208.14,1.66124,1.81434,0.00441,0.59297,0.48792,0.52963,0.20939,1.76396,2.28484,0.00537,0.00034657,0.00034657,0.00034657
53,2250.33,1.59434,1.80449,0.00413,0.7084,0.49457,0.55634,0.22133,1.73519,2.08537,0.00525,0.00033964,0.00033964,0.00033964
54,2292.61,1.68007,1.83574,0.00439,0.72929,0.54495,0.58227,0.21916,1.70963,2.18776,0.00537,0.00033271,0.00033271,0.00033271
55,2334.78,1.64705,1.74645,0.0044,0.64684,0.52343,0.55033,0.20742,1.66271,2.24638,0.00524,0.00032578,0.00032578,0.00032578
56,2376.83,1.64204,1.80963,0.0043,0.69517,0.5316,0.54771,0.19529,1.75276,2.1633,0.0055,0.00031885,0.00031885,0.00031885
57,2419.23,1.75424,1.78406,0.00476,0.59427,0.50422,0.52645,0.188,1.77586,2.27118,0.0056,0.00031192,0.00031192,0.00031192
58,2461.53,1.67609,1.91965,0.00438,0.62318,0.53609,0.55664,0.21702,1.71745,2.26766,0.00513,0.00030499,0.00030499,0.00030499
59,2503.73,1.64724,1.81617,0.00453,0.71186,0.51847,0.55682,0.22705,1.73,2.30262,0.00513,0.00029806,0.00029806,0.00029806
60,2545.99,1.64846,1.78335,0.0044,0.64548,0.51407,0.51357,0.19497,1.69672,2.42823,0.00526,0.00029113,0.00029113,0.00029113
61,2588.22,1.54738,1.75755,0.00414,0.62603,0.53879,0.52734,0.19705,1.6441,2.53081,0.00502,0.0002842,0.0002842,0.0002842
62,2630.49,1.65882,1.68325,0.0044,0.7215,0.48581,0.52793,0.21067,1.69681,2.56569,0.00507,0.00027727,0.00027727,0.00027727
63,2672.88,1.51303,1.66969,0.00389,0.77477,0.46959,0.55579,0.20953,1.69277,2.29605,0.00502,0.00027034,0.00027034,0.00027034
64,2714.99,1.60444,1.62735,0.00439,0.65821,0.50786,0.5349,0.19608,1.72065,2.33458,0.00519,0.00026341,0.00026341,0.00026341
65,2757.36,1.70939,1.61807,0.00454,0.73331,0.46352,0.53777,0.193,1.7505,2.30495,0.00532,0.00025648,0.00025648,0.00025648
66,2799.74,1.71798,1.66873,0.00475,0.66697,0.53794,0.5631,0.21742,1.70188,2.2127,0.00501,0.00024955,0.00024955,0.00024955
67,2841.95,1.64255,1.70612,0.00439,0.56801,0.50999,0.49562,0.18827,1.68236,2.2347,0.00491,0.00024262,0.00024262,0.00024262
68,2884.3,1.63078,1.6031,0.00422,0.55319,0.53898,0.50722,0.19446,1.65694,2.30066,0.00488,0.00023569,0.00023569,0.00023569
69,2926.54,1.71281,1.67831,0.00502,0.64369,0.52205,0.53783,0.21446,1.62734,2.36239,0.00488,0.00022876,0.00022876,0.00022876
70,2968.89,1.67429,1.63736,0.00466,0.54284,0.55133,0.43272,0.17813,1.63317,3.1814,0.00492,0.00022183,0.00022183,0.00022183
71,3011.06,1.677,1.60463,0.00443,0.59332,0.58864,0.47582,0.18934,1.72479,2.41315,0.00506,0.0002149,0.0002149,0.0002149
