epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1854,1.75162,11.8864,0.00499,0,0,0,0,1.80241,4.79067,0.00559,0.000230952,0.000230952,0.0672378
2,95.453,1.65086,4.28219,0.00453,0.89489,0.15714,0.20386,0.07376,1.86092,3.59159,0.00651,0.000459689,0.000459689,0.0341332
3,142.753,1.65235,3.65431,0.00451,0.34711,0.20373,0.24162,0.07834,1.71764,3.46395,0.00585,0.000683806,0.000683806,0.00102394
4,189.778,1.53441,3.20165,0.00423,0.41026,0.28383,0.28832,0.09003,1.58675,3.14555,0.00529,0.00067921,0.00067921,0.00067921
5,237.478,1.48194,3.24385,0.00389,0.41217,0.36708,0.34027,0.12651,1.58973,3.12436,0.00508,0.00067228,0.00067228,0.00067228
6,285.476,1.48865,2.91004,0.00394,0.47292,0.29161,0.32371,0.11409,1.7301,3.10641,0.00575,0.00066535,0.00066535,0.00066535
7,334.398,1.46896,2.65617,0.00378,0.6924,0.39733,0.49128,0.17599,1.5695,4.28849,0.00517,0.00065842,0.00065842,0.00065842
8,383.233,1.53376,2.85359,0.00392,0.65202,0.39907,0.47363,0.17187,1.55661,2.82527,0.00522,0.00065149,0.00065149,0.00065149
9,431.889,1.45078,2.72956,0.00382,0.63132,0.43627,0.50403,0.17748,1.56739,3.16888,0.00503,0.00064456,0.00064456,0.00064456
10,480.549,1.34515,2.38968,0.00352,0.58954,0.4677,0.48477,0.18674,1.63595,2.5773,0.00563,0.00063763,0.00063763,0.00063763
11,529.243,1.55814,2.4044,0.00409,0.60902,0.50373,0.50406,0.20615,1.48589,2.52489,0.00505,0.0006307,0.0006307,0.0006307
12,577.665,1.30239,2.03642,0.00339,0.5638,0.46358,0.43585,0.16001,1.62909,2.57897,0.00561,0.00062377,0.00062377,0.00062377
13,626.396,1.45534,2.22044,0.00382,0.67833,0.51587,0.55466,0.19651,1.57614,2.28384,0.00531,0.00061684,0.00061684,0.00061684
14,675.308,1.42125,1.98417,0.00376,0.58427,0.61127,0.57797,0.23376,1.5084,2.21923,0.00499,0.00060991,0.00060991,0.00060991
15,723.934,1.46851,1.92107,0.00386,0.70391,0.55196,0.58861,0.20873,1.62414,2.00133,0.00537,0.00060298,0.00060298,0.00060298
16,772.584,1.43247,1.85953,0.00385,0.51586,0.67671,0.53602,0.21261,1.55132,2.26314,0.00511,0.00059605,0.00059605,0.00059605
17,820.806,1.32639,1.86806,0.00342,0.72525,0.50229,0.56574,0.21717,1.62208,2.11165,0.00557,0.00058912,0.00058912,0.00058912
18,869.767,1.35029,1.80025,0.0036,0.67294,0.54705,0.59195,0.20327,1.67565,2.16464,0.00574,0.00058219,0.00058219,0.00058219
19,920.073,1.37036,1.87603,0.00353,0.6928,0.55404,0.56652,0.23049,1.50278,2.21677,0.00505,0.00057526,0.00057526,0.00057526
20,971.605,1.36492,1.71434,0.00347,0.73901,0.57713,0.62391,0.22476,1.55126,2.00585,0.00538,0.00056833,0.00056833,0.00056833
21,1020.42,1.37727,1.72263,0.00353,0.76137,0.51584,0.60233,0.26553,1.57105,1.8874,0.00553,0.0005614,0.0005614,0.0005614
22,1068.47,1.25286,1.71484,0.0033,0.73763,0.49689,0.57468,0.21431,1.6728,2.357,0.00577,0.00055447,0.00055447,0.00055447
23,1117.16,1.39781,1.56543,0.00373,0.82263,0.57981,0.68349,0.2816,1.61465,1.80885,0.00528,0.00054754,0.00054754,0.00054754
24,1165.67,1.47559,1.57953,0.00378,0.73645,0.64372,0.68311,0.24856,1.51743,1.80977,0.00487,0.00054061,0.00054061,0.00054061
25,1213.85,1.34222,1.5794,0.00345,0.7611,0.57082,0.62844,0.22693,1.52824,1.74095,0.00498,0.00053368,0.00053368,0.00053368
26,1262.19,1.43801,1.53743,0.00369,0.72124,0.67424,0.69019,0.27121,1.614,1.69539,0.00545,0.00052675,0.00052675,0.00052675
27,1310.13,1.39132,1.45694,0.00354,0.83753,0.54996,0.63565,0.25603,1.63949,1.91063,0.00529,0.00051982,0.00051982,0.00051982
28,1358.38,1.46821,1.41535,0.0038,0.77293,0.55283,0.6211,0.25012,1.5644,1.82272,0.00527,0.00051289,0.00051289,0.00051289
29,1406.32,1.36601,1.33333,0.0035,0.59981,0.56624,0.60869,0.25066,1.61233,1.95958,0.00533,0.00050596,0.00050596,0.00050596
30,1454.31,1.44382,1.37195,0.00368,0.78299,0.61971,0.64912,0.23151,1.70269,1.81695,0.00592,0.00049903,0.00049903,0.00049903
31,1502.29,1.32869,1.4016,0.00358,0.75315,0.51128,0.60712,0.23209,1.61452,2.0153,0.00543,0.0004921,0.0004921,0.0004921
32,1550.44,1.37628,1.57668,0.00352,0.72613,0.669,0.70963,0.2871,1.55456,1.67938,0.00494,0.00048517,0.00048517,0.00048517
33,1598.99,1.4407,1.40723,0.00372,0.74598,0.64167,0.69806,0.27028,1.58208,1.55299,0.00546,0.00047824,0.00047824,0.00047824
34,1647.25,1.47373,1.48598,0.00385,0.70944,0.63186,0.64045,0.21463,1.64271,1.60237,0.00567,0.00047131,0.00047131,0.00047131
35,1695.5,1.36178,1.39293,0.00351,0.73586,0.62609,0.68405,0.295,1.46147,1.61115,0.0048,0.00046438,0.00046438,0.00046438
36,1743.44,1.29865,1.30778,0.00341,0.6746,0.65581,0.68558,0.26829,1.57293,1.67493,0.00511,0.00045745,0.00045745,0.00045745
37,1791.76,1.54023,1.2955,0.00397,0.7743,0.62236,0.67001,0.25505,1.62492,1.61402,0.00554,0.00045052,0.00045052,0.00045052
38,1840.07,1.43006,1.32936,0.00362,0.8122,0.55618,0.68054,0.29325,1.56412,1.66311,0.00539,0.00044359,0.00044359,0.00044359
39,1888.24,1.43975,1.17153,0.00374,0.72838,0.68385,0.69763,0.23342,1.65416,1.5718,0.00549,0.00043666,0.00043666,0.00043666
40,1936.19,1.36911,1.07357,0.0035,0.76218,0.63406,0.70952,0.27121,1.68032,1.47532,0.00546,0.00042973,0.00042973,0.00042973
