epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.73331,0.62518,0.66234,1,0.62679,0.000225556,0.000225556,0.0680033
2,14.4426,0.51495,0.83117,1,0.60245,0.00045321,0.00045321,0.0348977
3,20.7094,0.46219,0.88312,1,0.41618,0.00067509,0.00067509,0.0017862
4,26.8978,0.39544,0.85714,1,0.51524,0.000674013,0.000674013,0.000674013
5,32.9585,0.32888,0.87013,1,0.82231,0.00066535,0.00066535,0.00066535
6,39.2898,0.28506,0.87013,1,0.45253,0.000656687,0.000656687,0.000656687
7,45.5089,0.33597,0.83117,1,0.53952,0.000648025,0.000648025,0.000648025
8,51.6753,0.23379,0.85714,1,0.62596,0.000639362,0.000639362,0.000639362
9,57.7973,0.21186,0.87013,1,0.79827,0.0006307,0.0006307,0.0006307
10,64.0196,0.17646,0.87013,1,0.56689,0.000622038,0.000622038,0.000622038
11,70.2213,0.18299,0.84416,1,0.6879,0.000613375,0.000613375,0.000613375
12,76.6921,0.19644,0.83117,1,0.59793,0.000604713,0.000604713,0.000604713
13,83.0026,0.12557,0.85714,1,0.85022,0.00059605,0.00059605,0.00059605
14,89.3169,0.15554,0.80519,1,1.35221,0.000587388,0.000587388,0.000587388
15,95.7026,0.13089,0.81818,1,1.04485,0.000578725,0.000578725,0.000578725
16,102.034,0.11794,0.84416,1,1.00326,0.000570062,0.000570062,0.000570062
17,108.26,0.08345,0.80519,1,0.71263,0.0005614,0.0005614,0.0005614
18,114.383,0.09962,0.87013,1,0.59854,0.000552738,0.000552738,0.000552738
19,120.518,0.08928,0.87013,1,0.77332,0.000544075,0.000544075,0.000544075
20,126.493,0.08605,0.85714,1,0.71671,0.000535412,0.000535412,0.000535412
21,132.582,0.04709,0.85714,1,0.81865,0.00052675,0.00052675,0.00052675
22,138.802,0.08253,0.85714,1,0.79153,0.000518088,0.000518088,0.000518088
23,145.097,0.08875,0.87013,1,0.89234,0.000509425,0.000509425,0.000509425
24,151.387,0.08494,0.87013,1,1.36069,0.000500763,0.000500763,0.000500763
25,157.5,0.04055,0.84416,1,0.78462,0.0004921,0.0004921,0.0004921
26,163.576,0.05802,0.88312,1,1.54964,0.000483438,0.000483438,0.000483438
27,169.519,0.05062,0.87013,1,1.49017,0.000474775,0.000474775,0.000474775
28,175.573,0.04023,0.85714,1,0.72936,0.000466112,0.000466112,0.000466112
