epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5019,3.03351,13.7203,0.01851,0,0,0,0,3.87214,6.71521,0.03251,0.00022735,0.00022735,0.0677487
2,123.013,2.77803,5.4273,0.0158,0,0,0,0,3.80353,5.89495,0.03236,0.000454983,0.000454983,0.034643
3,183.799,2.67223,5.24558,0.01594,0,0,0,0,3.50277,5.63189,0.02868,0.00067684,0.00067684,0.00153154
4,244.568,2.6318,5.09589,0.01512,0.00194,0.28788,0.00354,0.00071,3.26618,5.23118,0.0267,0.000674013,0.000674013,0.000674013
5,305.091,2.61765,5.00397,0.01472,0.00346,0.04545,0.00075,0.00014,3.39473,5.78379,0.02933,0.00066535,0.00066535,0.00066535
6,366.177,2.60486,4.97366,0.01573,0.01969,0.0303,0.00268,0.00052,3.06594,5.08775,0.02375,0.000656687,0.000656687,0.000656687
7,427.015,2.46535,4.68938,0.01416,0.01458,0.0303,0.00544,0.00126,3.19463,5.0269,0.02524,0.000648025,0.000648025,0.000648025
8,488.381,2.42795,4.54425,0.01365,0.04139,0.06061,0.00654,0.00169,2.85044,5.09172,0.02164,0.000639362,0.000639362,0.000639362
9,549.038,2.46881,4.39083,0.01329,0.02149,0.13636,0.00841,0.00201,2.79594,7.10381,0.02105,0.0006307,0.0006307,0.0006307
10,609.522,2.46135,4.28283,0.01358,0.08564,0.07576,0.02628,0.00745,2.7025,5.07079,0.02049,0.000622038,0.000622038,0.000622038
11,658.601,2.41489,4.25314,0.01375,0.24882,0.09091,0.05224,0.01723,2.81134,4.53745,0.02061,0.000613375,0.000613375,0.000613375
12,692.843,2.3554,3.90977,0.01321,0.27202,0.13636,0.0749,0.01803,2.65484,4.50993,0.01923,0.000604713,0.000604713,0.000604713
13,727.089,2.32716,3.81492,0.01373,0.13833,0.15152,0.10442,0.02936,2.70829,4.24397,0.02031,0.00059605,0.00059605,0.00059605
14,760.932,2.26741,3.71634,0.01224,0.2414,0.13636,0.08559,0.02845,2.75916,4.17637,0.02078,0.000587388,0.000587388,0.000587388
15,794.653,2.24078,3.65052,0.01249,0.25473,0.09091,0.0906,0.03224,2.69606,4.21818,0.02004,0.000578725,0.000578725,0.000578725
16,828.399,2.12541,3.54525,0.01156,0.28129,0.10606,0.10651,0.03844,2.80304,4.64795,0.02187,0.000570062,0.000570062,0.000570062
17,862.008,2.23906,3.36379,0.01203,0.21525,0.13306,0.09123,0.03634,2.62992,4.1186,0.01879,0.0005614,0.0005614,0.0005614
18,896.098,2.13602,3.40433,0.01145,0.12881,0.21212,0.08546,0.03146,2.53622,4.60376,0.01827,0.000552738,0.000552738,0.000552738
19,929.739,2.20167,3.20755,0.01227,0.19838,0.19697,0.11881,0.04168,2.4342,3.7558,0.01731,0.000544075,0.000544075,0.000544075
20,963.44,2.1402,3.22317,0.01167,0.22924,0.18182,0.13226,0.05146,2.5965,3.50213,0.01868,0.000535412,0.000535412,0.000535412
21,996.992,2.06081,3.07522,0.01121,0.17435,0.21212,0.13346,0.03739,2.56069,3.57417,0.01826,0.00052675,0.00052675,0.00052675
22,1030.5,2.06452,2.99607,0.01159,0.14913,0.27273,0.12,0.03673,2.67559,3.69206,0.01927,0.000518088,0.000518088,0.000518088
23,1064.5,2.07986,2.99603,0.01221,0.25499,0.15152,0.09841,0.03155,2.69348,3.62721,0.01854,0.000509425,0.000509425,0.000509425
24,1097.97,2.04928,2.87818,0.01081,0.20301,0.31818,0.11389,0.0335,2.50586,3.39923,0.01822,0.000500763,0.000500763,0.000500763
25,1134.95,2.01275,2.80466,0.01119,0.2484,0.22727,0.14591,0.0476,2.5544,3.21214,0.0178,0.0004921,0.0004921,0.0004921
26,1174.51,1.99601,2.71924,0.01104,0.22394,0.21212,0.15161,0.04925,2.59441,3.18512,0.0178,0.000483438,0.000483438,0.000483438
27,1214.04,1.94098,2.66587,0.01023,0.16856,0.33333,0.1199,0.0318,2.53796,3.47825,0.01754,0.000474775,0.000474775,0.000474775
28,1252.47,2.0027,2.67644,0.01068,0.14805,0.25758,0.10553,0.03268,2.69185,3.57331,0.02028,0.000466112,0.000466112,0.000466112
29,1291.88,1.97718,2.66801,0.01036,0.22209,0.29851,0.15421,0.03984,2.46849,3.3558,0.01835,0.00045745,0.00045745,0.00045745
30,1330.07,1.98388,2.64835,0.01069,0.26112,0.30303,0.15376,0.04341,2.58117,3.23321,0.01828,0.000448787,0.000448787,0.000448787
31,1368.2,1.84154,2.56438,0.00972,0.24644,0.30303,0.17477,0.0513,2.60302,3.12529,0.01674,0.000440125,0.000440125,0.000440125
32,1406.21,1.93374,2.50606,0.00989,0.29328,0.21381,0.18253,0.05526,2.5076,3.00138,0.01631,0.000431462,0.000431462,0.000431462
33,1444.01,1.9202,2.40532,0.00967,0.25607,0.28788,0.18704,0.06769,2.66803,3.18351,0.01892,0.0004228,0.0004228,0.0004228
34,1481.47,1.85717,2.40779,0.0092,0.36218,0.21212,0.20674,0.06366,2.70376,3.03559,0.01922,0.000414138,0.000414138,0.000414138
35,1519.25,1.89016,2.35538,0.01017,0.31198,0.30303,0.21286,0.06908,2.57024,3.10017,0.01847,0.000405475,0.000405475,0.000405475
36,1556.83,1.87388,2.35896,0.00971,0.38959,0.31818,0.24849,0.10093,2.65859,3.147,0.01939,0.000396813,0.000396813,0.000396813
37,1594.41,1.83988,2.40908,0.00986,0.38753,0.27273,0.25373,0.0941,2.62234,3.17695,0.01965,0.00038815,0.00038815,0.00038815
38,1632.13,1.81252,2.29718,0.00927,0.38766,0.31818,0.26091,0.07843,2.63853,3.03503,0.01925,0.000379487,0.000379487,0.000379487
39,1669.86,1.82292,2.29793,0.00913,0.29453,0.36364,0.2427,0.08639,2.46524,2.84835,0.01769,0.000370825,0.000370825,0.000370825
40,1707.42,1.80991,2.18292,0.00965,0.43027,0.30303,0.25353,0.09052,2.47885,2.85155,0.01684,0.000362162,0.000362162,0.000362162
41,1745.1,1.82417,2.1147,0.00929,0.32264,0.24242,0.2098,0.0761,2.60849,3.03879,0.01875,0.0003535,0.0003535,0.0003535
42,1783.43,1.80648,2.14379,0.00908,0.41199,0.27607,0.2323,0.07183,2.52603,2.96423,0.01811,0.000344838,0.000344838,0.000344838
43,1821.24,1.78908,2.10614,0.00933,0.30869,0.33333,0.1795,0.06478,2.47147,3.12358,0.01752,0.000336175,0.000336175,0.000336175
