epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4642,2.97327,15.5422,0.01798,0,0,0,0,3.96464,9.88806,0.03281,0.00022735,0.00022735,0.0677487
2,73.5742,2.82135,6.31107,0.01586,0,0,0,0,3.96106,7.31234,0.03305,0.000454983,0.000454983,0.034643
3,110.901,2.74781,5.83258,0.01634,0.01389,0.02703,0.00244,0.00052,3.44115,6.39618,0.02771,0.00067684,0.00067684,0.00153154
4,148.457,2.75273,5.65336,0.01578,0.00218,0.18313,0.00324,0.00065,3.33535,6.09739,0.02561,0.000674013,0.000674013,0.000674013
5,186.38,2.65103,5.40024,0.01475,0.55188,0.03448,0.00818,0.00189,3.04958,6.19891,0.02421,0.00066535,0.00066535,0.00066535
6,223.881,2.62994,5.30441,0.01531,0.08646,0.06524,0.01617,0.00367,3.00097,7.57199,0.02222,0.000656687,0.000656687,0.000656687
7,261.313,2.55209,4.99854,0.01448,0.07699,0.06897,0.03794,0.00745,2.93895,7.4402,0.02227,0.000648025,0.000648025,0.000648025
8,298.701,2.58352,4.73216,0.01455,0.06571,0.05172,0.03482,0.00951,2.77562,6.5309,0.02018,0.000639362,0.000639362,0.000639362
9,335.968,2.47538,4.49484,0.01359,0.05958,0.07875,0.03759,0.01224,2.96422,6.22394,0.02161,0.0006307,0.0006307,0.0006307
10,373.408,2.44096,4.35703,0.01354,0.76705,0.06897,0.06616,0.01236,2.87901,4.96902,0.02088,0.000622038,0.000622038,0.000622038
11,410.898,2.3816,4.37407,0.01389,0.86226,0.06897,0.10178,0.01901,2.97291,4.81082,0.02167,0.000613375,0.000613375,0.000613375
12,448.599,2.30485,3.96576,0.01274,0.08222,0.15517,0.06378,0.01502,2.88977,5.36928,0.02439,0.000604713,0.000604713,0.000604713
13,486.293,2.45814,3.83872,0.01426,0.08292,0.23625,0.06658,0.01893,2.97836,4.76096,0.02271,0.00059605,0.00059605,0.00059605
14,523.725,2.31717,3.76807,0.01204,0.28127,0.1822,0.09219,0.02547,2.92681,5.11448,0.02314,0.000587388,0.000587388,0.000587388
15,561.173,2.22945,3.75578,0.01213,0.63833,0.10345,0.07924,0.02106,2.89217,5.03098,0.02171,0.000578725,0.000578725,0.000578725
16,598.459,2.16691,3.64115,0.01153,0.19094,0.2055,0.10717,0.0257,2.75154,4.68824,0.0212,0.000570062,0.000570062,0.000570062
17,635.952,2.22929,3.44184,0.01218,0.26213,0.16496,0.11965,0.03707,2.66231,4.76373,0.02011,0.0005614,0.0005614,0.0005614
18,673.436,2.21232,3.35137,0.0117,0.71219,0.13793,0.14287,0.03439,2.65575,4.74265,0.01905,0.000552738,0.000552738,0.000552738
19,711.098,2.13458,3.23615,0.01167,0.21473,0.19944,0.13092,0.03471,2.73138,3.92972,0.02084,0.000544075,0.000544075,0.000544075
20,748.46,2.18264,3.2504,0.01184,0.51836,0.16123,0.19434,0.06153,2.66881,3.83409,0.01958,0.000535412,0.000535412,0.000535412
21,785.737,2.13558,3.23481,0.01144,0.42373,0.17847,0.19923,0.06682,2.73252,4.05943,0.02014,0.00052675,0.00052675,0.00052675
22,823.143,2.12224,3.05624,0.01132,0.54197,0.1342,0.18666,0.04713,2.84901,3.67343,0.02187,0.000518088,0.000518088,0.000518088
23,860.514,2.15547,3.05647,0.01176,0.24134,0.27365,0.14193,0.04464,2.8328,3.75663,0.02122,0.000509425,0.000509425,0.000509425
24,897.982,2.06375,2.92746,0.01077,0.31624,0.315,0.21411,0.06579,2.57073,3.64709,0.01823,0.000500763,0.000500763,0.000500763
25,935.586,2.00299,2.86238,0.01086,0.21278,0.27074,0.22203,0.07397,2.44461,3.45563,0.01765,0.0004921,0.0004921,0.0004921
26,973,2.00633,2.76625,0.01114,0.31836,0.31873,0.25438,0.08032,2.52188,3.48126,0.01758,0.000483438,0.000483438,0.000483438
27,1010.33,2.05237,2.68031,0.01102,0.32795,0.32852,0.23063,0.07204,2.64605,3.5126,0.01901,0.000474775,0.000474775,0.000474775
28,1047.83,2.01689,2.77371,0.01042,0.50504,0.2474,0.24218,0.06235,2.77016,3.48582,0.02019,0.000466112,0.000466112,0.000466112
29,1085.27,2.00008,2.61658,0.0105,0.34858,0.24604,0.24061,0.09347,2.61765,3.65915,0.01861,0.00045745,0.00045745,0.00045745
30,1122.78,1.97654,2.6739,0.01032,0.35391,0.20177,0.21712,0.06845,2.65936,3.37983,0.01801,0.000448787,0.000448787,0.000448787
31,1160.27,1.90927,2.63767,0.01008,0.31781,0.30022,0.20468,0.06264,2.72028,3.24835,0.01879,0.000440125,0.000440125,0.000440125
32,1197.76,2.00823,2.54524,0.01057,0.38525,0.26701,0.22197,0.07139,2.66814,3.29941,0.01917,0.000431462,0.000431462,0.000431462
33,1235.26,1.95305,2.48189,0.00974,0.32453,0.28425,0.21423,0.05782,2.6125,3.235,0.01824,0.0004228,0.0004228,0.0004228
34,1272.41,1.9114,2.46593,0.00941,0.32826,0.3383,0.25087,0.06958,2.54769,3.14703,0.01707,0.000414138,0.000414138,0.000414138
35,1309.68,1.94522,2.4592,0.01023,0.31839,0.29404,0.23015,0.07595,2.72701,3.11019,0.01896,0.000405475,0.000405475,0.000405475
36,1346.88,1.97719,2.38338,0.01006,0.34205,0.29776,0.26073,0.08162,2.76236,2.97195,0.01975,0.000396813,0.000396813,0.000396813
37,1384.34,1.89572,2.48001,0.01005,0.54865,0.33182,0.32495,0.09309,2.73496,3.12847,0.01978,0.00038815,0.00038815,0.00038815
38,1421.86,1.91527,2.42432,0.00955,0.40207,0.39236,0.272,0.08348,2.68918,3.22959,0.01939,0.000379487,0.000379487,0.000379487
39,1459.29,1.90157,2.34522,0.00955,0.41104,0.34576,0.24321,0.07599,2.62525,3.39724,0.01985,0.000370825,0.000370825,0.000370825
40,1496.63,1.81689,2.2741,0.00955,0.54575,0.32852,0.32179,0.08905,2.70721,2.96172,0.0199,0.000362162,0.000362162,0.000362162
41,1533.96,1.86855,2.19234,0.00963,0.39244,0.34203,0.28532,0.07942,2.60952,3.12715,0.01783,0.0003535,0.0003535,0.0003535
42,1571.3,1.86566,2.1424,0.00929,0.31672,0.32852,0.29935,0.10763,2.65554,2.95829,0.01883,0.000344838,0.000344838,0.000344838
43,1608.77,1.83686,2.14942,0.00939,0.75869,0.22647,0.2735,0.09115,2.67253,2.98041,0.01881,0.000336175,0.000336175,0.000336175
44,1646.19,1.86068,2.09683,0.0092,0.40599,0.26701,0.28895,0.08425,2.62131,3.09421,0.01917,0.000327513,0.000327513,0.000327513
45,1683.73,1.79437,2.09407,0.00904,0.48423,0.29205,0.30871,0.11031,2.63943,2.78192,0.01954,0.00031885,0.00031885,0.00031885
46,1720.99,1.79604,2.12753,0.00951,0.45571,0.315,0.32284,0.09895,2.6175,2.92655,0.01864,0.000310187,0.000310187,0.000310187
47,1758.16,1.76696,2.01497,0.00898,0.36912,0.32479,0.27349,0.09433,2.58785,2.97857,0.01861,0.000301525,0.000301525,0.000301525
48,1795.55,1.783,2.04991,0.00916,0.52326,0.28283,0.27002,0.09425,2.58842,3.03707,0.01851,0.000292862,0.000292862,0.000292862
49,1832.94,1.81967,2.05228,0.00928,0.41555,0.30755,0.25849,0.08623,2.71698,2.9278,0.01865,0.0002842,0.0002842,0.0002842
50,1870.4,1.81944,1.93195,0.00866,0.32914,0.39003,0.3008,0.0872,2.62457,2.91408,0.01891,0.000275537,0.000275537,0.000275537
