epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.79681,0.49314,0.75758,1,0.58954,0.000219608,0.000219608,0.0688471
2,5.15098,0.39969,0.76768,1,0.73679,0.000437994,0.000437994,0.0357321
3,7.55879,0.35515,0.79798,1,0.50835,0.00064098,0.00064098,0.00260176
4,9.98439,0.28097,0.79798,1,0.49785,0.0006307,0.0006307,0.0006307
5,12.3959,0.23062,0.77778,1,0.42611,0.0006076,0.0006076,0.0006076
6,14.7759,0.17933,0.84848,1,0.37046,0.0005845,0.0005845,0.0005845
7,17.1607,0.15468,0.85859,1,0.6027,0.0005614,0.0005614,0.0005614
8,19.5764,0.10319,0.81818,1,0.5706,0.0005383,0.0005383,0.0005383
9,22.0055,0.09604,0.80808,1,2.02571,0.0005152,0.0005152,0.0005152
10,24.4414,0.07105,0.78788,1,1.52583,0.0004921,0.0004921,0.0004921
11,26.8349,0.08771,0.83838,1,0.57729,0.000469,0.000469,0.000469
12,29.2631,0.14478,0.82828,1,0.68241,0.0004459,0.0004459,0.0004459
13,31.6794,0.05145,0.82828,1,0.51453,0.0004228,0.0004228,0.0004228
14,34.1253,0.0612,0.80808,1,0.78752,0.0003997,0.0003997,0.0003997
15,36.5297,0.06046,0.81818,1,0.57693,0.0003766,0.0003766,0.0003766
16,38.9524,0.05847,0.81818,1,0.63529,0.0003535,0.0003535,0.0003535
17,41.392,0.0404,0.80808,1,0.75694,0.0003304,0.0003304,0.0003304
18,43.821,0.03047,0.83838,1,0.48943,0.0003073,0.0003073,0.0003073
19,46.2805,0.0244,0.83838,1,1.06926,0.0002842,0.0002842,0.0002842
