epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.98041,0.51835,0.74747,1,0.61091,0.000226471,0.000226471,0.0678735
2,9.04781,0.48592,0.73737,1,0.5478,0.00044463,0.00044463,0.0347584
3,13.1905,0.42395,0.71717,1,0.52767,0.00064739,0.00064739,0.00162778
4,17.3299,0.41439,0.76768,1,0.51079,0.0006307,0.0006307,0.0006307
5,21.4411,0.33667,0.79798,1,0.49032,0.0006076,0.0006076,0.0006076
6,25.5827,0.3116,0.83838,1,0.38705,0.0005845,0.0005845,0.0005845
7,29.745,0.36136,0.70707,1,0.80044,0.0005614,0.0005614,0.0005614
8,33.94,0.29067,0.70707,1,0.68183,0.0005383,0.0005383,0.0005383
9,38.1151,0.25467,0.81818,1,0.88452,0.0005152,0.0005152,0.0005152
10,42.3157,0.20797,0.84848,1,1.08346,0.0004921,0.0004921,0.0004921
11,46.511,0.23172,0.84848,1,0.54953,0.000469,0.000469,0.000469
12,50.7372,0.11002,0.79798,1,0.53683,0.0004459,0.0004459,0.0004459
13,54.9709,0.1427,0.81818,1,0.62551,0.0004228,0.0004228,0.0004228
14,59.1604,0.20482,0.79798,1,0.52934,0.0003997,0.0003997,0.0003997
15,63.3782,0.18083,0.79798,1,0.69319,0.0003766,0.0003766,0.0003766
16,67.5687,0.10423,0.84848,1,0.52047,0.0003535,0.0003535,0.0003535
17,71.8199,0.06848,0.84848,1,0.45952,0.0003304,0.0003304,0.0003304
18,76.0784,0.09501,0.84848,1,0.50628,0.0003073,0.0003073,0.0003073
19,80.3207,0.09957,0.84848,1,0.75377,0.0002842,0.0002842,0.0002842
20,84.5651,0.05554,0.85859,1,0.56217,0.0002611,0.0002611,0.0002611
21,115.946,0.06117,0.85859,1,0.46509,0.000238,0.000238,0.000238
22,120.116,0.10483,0.84848,1,0.57504,0.0002149,0.0002149,0.0002149
23,124.3,0.05351,0.86869,1,0.90253,0.0001918,0.0001918,0.0001918
24,128.463,0.06252,0.87879,1,0.61604,0.0001687,0.0001687,0.0001687
25,132.682,0.04007,0.86869,1,0.5534,0.0001456,0.0001456,0.0001456
26,136.905,0.04496,0.84848,1,0.52052,0.0001225,0.0001225,0.0001225
27,141.123,0.11476,0.83838,1,0.56218,9.94e-05,9.94e-05,9.94e-05
28,145.35,0.02165,0.83838,1,0.94428,7.63e-05,7.63e-05,7.63e-05
29,149.578,0.04295,0.82828,1,0.9829,5.32e-05,5.32e-05,5.32e-05
30,153.826,0.02851,0.82828,1,0.59313,3.01e-05,3.01e-05,3.01e-05
