epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6767,2.59346,19.8004,0.00783,0,0,0,0,2.19823,5.49768,0.0074,0.000228571,0.000228571,0.0675755
2,82.9371,2.4564,6.07659,0.00727,0,0,0,0,2.0641,5.34887,0.00716,0.000448839,0.000448839,0.0344624
3,124.637,2.2766,5.61035,0.00673,0,0,0,0,2.0249,5.11994,0.0071,0.000655907,0.000655907,0.00133618
4,166.136,2.13287,5.43462,0.006,0.00403,0.06897,0.00031,6e-05,1.99819,4.94052,0.00683,0.0006406,0.0006406,0.0006406
5,208.118,2.05535,5.23682,0.00584,0.00662,0.31897,0.0133,0.00194,2.04208,4.67696,0.00676,0.0006208,0.0006208,0.0006208
6,250.275,2.13651,4.88402,0.00599,0.24959,0.06897,0.05136,0.00937,2.09373,4.30971,0.00693,0.000601,0.000601,0.000601
7,292.106,2.15624,4.34112,0.00593,0.1653,0.19828,0.0886,0.02103,2.07214,3.9422,0.00717,0.0005812,0.0005812,0.0005812
8,334.038,2.18345,3.86344,0.00615,0.20468,0.24138,0.10347,0.02832,2.03392,4.10801,0.00691,0.0005614,0.0005614,0.0005614
9,376.024,2.19232,3.8822,0.00619,0.18845,0.16379,0.09692,0.02877,1.99627,3.47495,0.00648,0.0005416,0.0005416,0.0005416
10,417.947,2.01211,3.67222,0.00572,0.24199,0.24138,0.14928,0.03921,1.97855,3.38219,0.00691,0.0005218,0.0005218,0.0005218
11,459.894,2.02378,3.60041,0.00555,0.26097,0.2069,0.13309,0.03523,1.97898,3.62982,0.0067,0.000502,0.000502,0.000502
12,501.798,1.84192,3.26245,0.00519,0.3405,0.30172,0.23108,0.06653,1.90389,3.20268,0.00628,0.0004822,0.0004822,0.0004822
13,543.903,1.93704,3.34945,0.00538,0.28122,0.32759,0.20472,0.05797,1.89453,3.19846,0.00644,0.0004624,0.0004624,0.0004624
14,585.857,1.8735,3.16363,0.00515,0.31109,0.35038,0.21247,0.07805,1.81407,2.98421,0.00596,0.0004426,0.0004426,0.0004426
15,627.488,1.85433,2.99548,0.00496,0.33912,0.37931,0.30087,0.10234,1.79762,2.83578,0.006,0.0004228,0.0004228,0.0004228
16,669.282,1.89354,2.99447,0.00527,0.403,0.32759,0.28542,0.08191,1.83359,2.80605,0.00606,0.000403,0.000403,0.000403
17,710.893,1.76988,2.89053,0.00471,0.46723,0.35345,0.34784,0.11931,1.84254,2.71244,0.00619,0.0003832,0.0003832,0.0003832
18,752.767,1.91245,2.86457,0.00519,0.50874,0.32759,0.34457,0.1169,1.92181,2.80502,0.00664,0.0003634,0.0003634,0.0003634
19,794.56,1.87059,2.85172,0.00511,0.49631,0.39655,0.41139,0.14582,1.83052,2.59849,0.00606,0.0003436,0.0003436,0.0003436
20,836.289,1.80868,2.68804,0.00475,0.61637,0.38793,0.37293,0.11816,1.86674,2.61812,0.00622,0.0003238,0.0003238,0.0003238
21,878.345,1.81393,2.70441,0.00499,0.52473,0.37069,0.39304,0.13038,1.83527,2.52749,0.00605,0.000304,0.000304,0.000304
22,920.285,1.76021,2.55026,0.00466,0.44211,0.4509,0.4125,0.15265,1.8165,2.46513,0.00583,0.0002842,0.0002842,0.0002842
23,961.86,1.81741,2.52186,0.00497,0.52151,0.41379,0.40676,0.13639,1.84463,2.48663,0.00611,0.0002644,0.0002644,0.0002644
24,1003.69,1.80092,2.42747,0.0047,0.59717,0.41379,0.4284,0.1379,1.83429,2.52966,0.00588,0.0002446,0.0002446,0.0002446
25,1045.48,1.73594,2.48815,0.00457,0.53382,0.47414,0.45359,0.17361,1.73005,2.43807,0.00544,0.0002248,0.0002248,0.0002248
26,1087.25,1.83693,2.5407,0.00479,0.53587,0.44828,0.44409,0.14729,1.82214,2.35854,0.00613,0.000205,0.000205,0.000205
27,1128.94,1.79416,2.53063,0.00481,0.52002,0.42241,0.42179,0.13958,1.82212,2.33103,0.00603,0.0001852,0.0001852,0.0001852
28,1170.71,1.75224,2.40767,0.00458,0.62158,0.43966,0.47327,0.16583,1.76888,2.26647,0.00584,0.0001654,0.0001654,0.0001654
29,1212.37,1.72638,2.35527,0.00484,0.63325,0.41379,0.47812,0.18065,1.71188,2.29395,0.00563,0.0001456,0.0001456,0.0001456
30,1254,1.75162,2.38562,0.00456,0.72807,0.38793,0.4859,0.18129,1.71077,2.35546,0.00561,0.0001258,0.0001258,0.0001258
31,1295.82,1.77437,2.27851,0.0049,0.70279,0.40517,0.49242,0.17083,1.75738,2.3197,0.00574,0.000106,0.000106,0.000106
32,1337.55,1.74373,2.26911,0.00468,0.77009,0.40426,0.48946,0.17115,1.78629,2.27678,0.0058,8.62e-05,8.62e-05,8.62e-05
33,1379.21,1.82008,2.27322,0.00477,0.74887,0.41133,0.50542,0.17657,1.80721,2.25353,0.00587,6.64e-05,6.64e-05,6.64e-05
34,1420.91,1.69733,2.19875,0.00435,0.6719,0.4237,0.48515,0.17061,1.76095,2.29525,0.00571,4.66e-05,4.66e-05,4.66e-05
35,1462.62,1.81328,2.32089,0.00472,0.59875,0.46552,0.47789,0.17011,1.7758,2.27641,0.0058,2.68e-05,2.68e-05,2.68e-05
