epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.095,2.16918,13.1983,0.00617,0,0,0,0,2.41773,5.11635,0.00797,0.000228571,0.000228571,0.0675755
2,52.485,2.03184,4.16526,0.00556,0.16628,0.61207,0.42505,0.13604,1.8151,3.75379,0.00577,0.000448839,0.000448839,0.0344624
3,79.4494,1.85884,3.49694,0.005,0.51593,0.3216,0.37296,0.11148,1.82289,2.88189,0.00534,0.000655907,0.000655907,0.00133618
4,106.008,1.81181,3.22245,0.00473,0.65906,0.5,0.50674,0.18384,1.72007,2.77093,0.00506,0.0006406,0.0006406,0.0006406
5,132.7,1.70933,3.10196,0.0044,0.59908,0.41379,0.44639,0.12663,1.741,3.042,0.00521,0.0006208,0.0006208,0.0006208
6,159.674,1.83799,3.23115,0.00473,0.71799,0.43897,0.51766,0.19181,1.69969,2.66774,0.00517,0.000601,0.000601,0.000601
7,197.248,1.80148,3.17691,0.00471,0.72787,0.43811,0.52355,0.18674,1.76742,2.76584,0.00543,0.0005812,0.0005812,0.0005812
8,224.068,1.72603,2.64353,0.00446,0.74809,0.52586,0.59008,0.22379,1.70007,2.47848,0.00518,0.0005614,0.0005614,0.0005614
9,250.77,1.73326,2.83371,0.00439,0.74041,0.56555,0.55987,0.17044,1.67509,2.51294,0.00537,0.0005416,0.0005416,0.0005416
10,277.694,1.62936,2.5457,0.00429,0.6225,0.56034,0.52481,0.1596,1.73882,2.57452,0.00539,0.0005218,0.0005218,0.0005218
11,304.14,1.67657,2.39531,0.00429,0.69879,0.55172,0.59249,0.19779,1.75926,2.34614,0.00532,0.000502,0.000502,0.000502
12,330.648,1.55861,2.30714,0.00405,0.61558,0.55172,0.55902,0.15622,1.89679,2.28684,0.00576,0.0004822,0.0004822,0.0004822
13,357.248,1.63424,2.43155,0.00419,0.63976,0.62931,0.61235,0.20174,1.87497,2.092,0.0058,0.0004624,0.0004624,0.0004624
14,384.026,1.63724,2.18862,0.00427,0.74934,0.62069,0.65669,0.22337,1.75678,2.10899,0.0051,0.0004426,0.0004426,0.0004426
15,410.744,1.68801,2.134,0.00436,0.75937,0.53448,0.64052,0.23118,1.77777,2.10227,0.00532,0.0004228,0.0004228,0.0004228
16,437.437,1.66547,2.17249,0.00427,0.72334,0.60857,0.66277,0.2494,1.64215,2.08931,0.00482,0.000403,0.000403,0.000403
17,464.167,1.68136,2.05156,0.00432,0.77137,0.58172,0.63955,0.21579,1.70071,2.1232,0.00524,0.0003832,0.0003832,0.0003832
18,490.92,1.66681,2.02458,0.00432,0.78437,0.66379,0.65822,0.20613,1.79641,1.97964,0.00563,0.0003634,0.0003634,0.0003634
19,517.629,1.66141,1.86025,0.00432,0.78882,0.67241,0.69371,0.25458,1.71668,1.89433,0.00523,0.0003436,0.0003436,0.0003436
20,544.335,1.59614,1.85422,0.00403,0.71966,0.62069,0.62536,0.22244,1.6841,1.96301,0.00503,0.0003238,0.0003238,0.0003238
21,571.046,1.6928,2.00161,0.00439,0.76304,0.65517,0.65957,0.21546,1.69065,1.90514,0.00495,0.000304,0.000304,0.000304
22,597.787,1.59851,1.71095,0.00403,0.7536,0.68966,0.68493,0.24411,1.68561,1.83122,0.00498,0.0002842,0.0002842,0.0002842
23,624.488,1.63162,1.75956,0.00419,0.74105,0.65517,0.68715,0.25827,1.8146,1.78914,0.00558,0.0002644,0.0002644,0.0002644
24,651.033,1.69693,1.7139,0.00425,0.80892,0.62931,0.69326,0.24007,1.85489,1.84064,0.00564,0.0002446,0.0002446,0.0002446
25,677.604,1.61988,1.66168,0.00417,0.81302,0.59483,0.68174,0.23409,1.76607,1.83228,0.00529,0.0002248,0.0002248,0.0002248
26,704.361,1.75514,1.73131,0.00448,0.79242,0.65517,0.66521,0.24509,1.74626,1.83546,0.0053,0.000205,0.000205,0.000205
27,731.046,1.68046,1.7157,0.0043,0.87652,0.61207,0.67998,0.26487,1.77799,1.80159,0.00554,0.0001852,0.0001852,0.0001852
28,757.893,1.68388,1.70814,0.00437,0.82072,0.63146,0.67815,0.2486,1.88028,1.80005,0.00597,0.0001654,0.0001654,0.0001654
29,784.55,1.61914,1.56423,0.0043,0.84692,0.61207,0.68385,0.24423,1.88005,1.86155,0.0059,0.0001456,0.0001456,0.0001456
30,811.146,1.65814,1.59179,0.00422,0.79872,0.63793,0.67799,0.23662,1.91082,1.7903,0.00583,0.0001258,0.0001258,0.0001258
31,837.691,1.64056,1.60013,0.00432,0.82381,0.64496,0.67536,0.24127,1.85253,1.78964,0.0055,0.000106,0.000106,0.000106
32,864.3,1.64728,1.48204,0.00424,0.79474,0.64655,0.66842,0.25421,1.82425,1.75179,0.00556,8.62e-05,8.62e-05,8.62e-05
33,890.895,1.6568,1.48467,0.00412,0.78992,0.64655,0.67034,0.26212,1.79383,1.72755,0.00542,6.64e-05,6.64e-05,6.64e-05
34,917.365,1.58949,1.474,0.00394,0.82479,0.64655,0.66884,0.26517,1.78306,1.72612,0.00545,4.66e-05,4.66e-05,4.66e-05
35,944.028,1.74141,1.54293,0.0044,0.83333,0.62931,0.67087,0.26446,1.77953,1.73406,0.00542,2.68e-05,2.68e-05,2.68e-05
