epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.818,2.66614,17.2685,0.0087,0,0,0,0,2.34058,5.5396,0.00822,0.000228667,0.000228667,0.067562
2,84.043,2.37913,5.90039,0.0079,0,0,0,0,2.06913,5.36307,0.00723,0.000448932,0.000448932,0.0344489
3,126.861,2.30025,5.71363,0.00706,0,0,0,0,1.97802,5.11213,0.00667,0.000655997,0.000655997,0.00132266
4,169.316,2.31875,5.44845,0.00708,0.00366,0.16379,0.00083,0.00017,1.91605,4.96861,0.00681,0.0006406,0.0006406,0.0006406
5,211.938,2.20515,5.11215,0.00671,0.07884,0.03448,0.01328,0.00226,2.12465,4.64588,0.00723,0.0006208,0.0006208,0.0006208
6,254.91,2.3318,4.81533,0.00705,0.09186,0.11207,0.0282,0.00607,2.33792,4.56118,0.00802,0.000601,0.000601,0.000601
7,297.793,2.20262,4.56467,0.00634,0.18527,0.19828,0.09052,0.02182,2.10407,4.06411,0.00697,0.0005812,0.0005812,0.0005812
8,340.332,2.23463,4.0292,0.0066,0.14465,0.22414,0.09359,0.03174,1.99415,3.53303,0.00642,0.0005614,0.0005614,0.0005614
9,382.862,2.11902,3.87033,0.00603,0.35422,0.18966,0.13917,0.04305,2.03091,3.47189,0.00658,0.0005416,0.0005416,0.0005416
10,425.448,2.09781,3.62883,0.00646,0.19975,0.22414,0.12569,0.03377,2.14077,3.5872,0.00718,0.0005218,0.0005218,0.0005218
11,468.126,2.19113,3.40355,0.00634,0.29319,0.26724,0.1672,0.05421,1.98654,3.17476,0.00645,0.000502,0.000502,0.000502
12,510.957,2.19582,3.53265,0.0067,0.27993,0.30162,0.19369,0.06158,2.01123,3.0983,0.00656,0.0004822,0.0004822,0.0004822
13,553.709,2.09207,3.21003,0.0062,0.32131,0.32651,0.21518,0.05787,2.017,2.95504,0.00651,0.0004624,0.0004624,0.0004624
14,596.381,2.13197,3.21707,0.00621,0.37257,0.34298,0.25008,0.08758,1.97908,2.91528,0.00639,0.0004426,0.0004426,0.0004426
15,639.06,2.03633,3.11525,0.00582,0.39407,0.33621,0.28245,0.10541,1.94406,2.80703,0.00624,0.0004228,0.0004228,0.0004228
16,681.579,2.00251,2.87833,0.00555,0.38804,0.32254,0.26967,0.0901,1.89264,2.77816,0.00611,0.000403,0.000403,0.000403
17,724.028,1.93241,2.92485,0.00555,0.44176,0.2931,0.24286,0.07108,2.0355,2.99172,0.00661,0.0003832,0.0003832,0.0003832
18,766.4,1.84344,2.78726,0.00514,0.55672,0.25,0.29386,0.09912,1.90717,2.71184,0.00597,0.0003634,0.0003634,0.0003634
19,808.791,1.89915,2.80372,0.00543,0.33784,0.37931,0.2987,0.11315,1.91738,2.56385,0.00602,0.0003436,0.0003436,0.0003436
20,851.171,1.71673,2.5764,0.00478,0.58586,0.38793,0.41019,0.12595,1.86041,2.57727,0.00588,0.0003238,0.0003238,0.0003238
21,894.11,1.86873,2.68192,0.00542,0.48999,0.37069,0.37591,0.13168,1.88264,2.56887,0.00608,0.000304,0.000304,0.000304
22,936.593,1.94551,2.63614,0.0056,0.58148,0.43966,0.41589,0.13556,1.89279,2.70136,0.00608,0.0002842,0.0002842,0.0002842
23,978.962,1.91739,2.57302,0.00537,0.5271,0.39655,0.39741,0.14544,1.83698,2.58853,0.006,0.0002644,0.0002644,0.0002644
24,1021.57,1.91704,2.60309,0.00531,0.46084,0.39655,0.3886,0.14889,1.74333,2.6147,0.0057,0.0002446,0.0002446,0.0002446
25,1063.88,1.73228,2.28205,0.00471,0.49778,0.39655,0.40531,0.14998,1.75747,2.47413,0.00565,0.0002248,0.0002248,0.0002248
26,1106.28,1.76079,2.37906,0.00486,0.53171,0.44828,0.4795,0.16903,1.73884,2.494,0.00545,0.000205,0.000205,0.000205
27,1148.81,1.80085,2.27896,0.00501,0.45184,0.47611,0.43222,0.17041,1.81895,2.48244,0.00575,0.0001852,0.0001852,0.0001852
28,1191.12,1.82247,2.41793,0.005,0.67915,0.40517,0.47928,0.16821,1.77614,2.47842,0.00558,0.0001654,0.0001654,0.0001654
29,1233.4,1.82158,2.2691,0.00529,0.60253,0.4574,0.53333,0.18517,1.77484,2.32624,0.0056,0.0001456,0.0001456,0.0001456
30,1275.81,1.89302,2.31416,0.00517,0.54009,0.51631,0.51606,0.18507,1.78543,2.39213,0.00593,0.0001258,0.0001258,0.0001258
31,1318.15,1.7192,2.16724,0.00463,0.54838,0.47414,0.50225,0.18063,1.77645,2.38875,0.00578,0.000106,0.000106,0.000106
32,1360.49,1.76184,2.16128,0.00486,0.6063,0.47414,0.51216,0.17475,1.77813,2.4388,0.00583,8.62e-05,8.62e-05,8.62e-05
33,1402.86,1.85303,2.15968,0.00499,0.61162,0.46552,0.51359,0.17311,1.79233,2.44198,0.00584,6.64e-05,6.64e-05,6.64e-05
34,1445.34,1.74558,2.12762,0.00475,0.61783,0.47384,0.51874,0.17997,1.78476,2.41189,0.0057,4.66e-05,4.66e-05,4.66e-05
35,1487.81,1.81328,2.28614,0.00508,0.59631,0.49138,0.52557,0.18032,1.76418,2.40564,0.00566,2.68e-05,2.68e-05,2.68e-05
