epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4893,2.06602,11.0558,0.00615,0,0,0,0,2.09164,4.99276,0.0069,0.000228667,0.000228667,0.067562
2,53.2192,2.02291,4.08022,0.00605,0.52113,0.31897,0.22706,0.07321,1.79144,4.35293,0.00572,0.000448932,0.000448932,0.0344489
3,80.7194,2.06688,3.53875,0.00589,0.53186,0.45054,0.42117,0.14271,1.82181,2.83289,0.00553,0.000655997,0.000655997,0.00132266
4,107.709,1.90926,3.32678,0.00528,0.63728,0.49982,0.51207,0.17713,1.78241,2.68334,0.00554,0.0006406,0.0006406,0.0006406
5,135.038,1.82837,3.1814,0.00504,0.58943,0.53448,0.55389,0.18792,1.7864,2.62653,0.00552,0.0006208,0.0006208,0.0006208
6,162.365,1.90898,2.96922,0.00528,0.66358,0.51724,0.59462,0.22914,1.83807,2.53276,0.00565,0.000601,0.000601,0.000601
7,201.525,1.79998,3.06039,0.00474,0.45524,0.49138,0.39679,0.13558,1.95037,2.86773,0.0062,0.0005812,0.0005812,0.0005812
8,228.632,1.72594,2.73194,0.00455,0.63401,0.39655,0.50493,0.19339,1.69738,2.37269,0.00506,0.0005614,0.0005614,0.0005614
9,255.675,1.70149,2.81786,0.00446,0.60424,0.56597,0.56199,0.21373,1.65041,2.35769,0.00476,0.0005416,0.0005416,0.0005416
10,282.524,1.67765,2.63485,0.00462,0.5786,0.56897,0.56661,0.19457,1.86047,2.26511,0.00578,0.0005218,0.0005218,0.0005218
11,309.556,1.71866,2.7003,0.00454,0.6024,0.62931,0.61825,0.21516,1.77715,2.22048,0.00548,0.000502,0.000502,0.000502
12,336.895,1.79361,2.49897,0.00495,0.6908,0.59483,0.63875,0.24954,1.61794,2.30544,0.00498,0.0004822,0.0004822,0.0004822
13,364.129,1.67405,2.26948,0.0046,0.79028,0.47414,0.6189,0.20188,1.79286,2.22438,0.00545,0.0004624,0.0004624,0.0004624
14,391.284,1.74657,2.24942,0.00471,0.71986,0.62931,0.63615,0.22288,1.66686,2.20007,0.00499,0.0004426,0.0004426,0.0004426
15,418.459,1.70587,2.13386,0.00453,0.76112,0.57681,0.64563,0.22934,1.6601,2.16471,0.00518,0.0004228,0.0004228,0.0004228
16,445.644,1.6819,2.08013,0.00446,0.65715,0.58621,0.60674,0.21035,1.70215,2.18734,0.00524,0.000403,0.000403,0.000403
17,472.767,1.71903,2.06848,0.00476,0.69742,0.59483,0.6355,0.26735,1.55962,2.0583,0.00473,0.0003832,0.0003832,0.0003832
18,499.806,1.60752,1.96105,0.00422,0.78545,0.56809,0.66585,0.24914,1.61543,1.972,0.00481,0.0003634,0.0003634,0.0003634
19,527.091,1.72253,1.92385,0.00485,0.79393,0.60345,0.65705,0.22745,1.77452,1.97931,0.00518,0.0003436,0.0003436,0.0003436
20,554.135,1.59223,1.85534,0.00419,0.78271,0.59483,0.62864,0.23318,1.74646,2.04119,0.00514,0.0003238,0.0003238,0.0003238
21,581.326,1.59696,1.99418,0.0042,0.67187,0.57759,0.57121,0.22338,1.67439,2.21245,0.00501,0.000304,0.000304,0.000304
22,608.47,1.66177,1.9093,0.0045,0.79353,0.56327,0.64306,0.21418,1.67324,2.06545,0.00497,0.0002842,0.0002842,0.0002842
23,635.541,1.72416,1.88912,0.00452,0.86877,0.6278,0.68567,0.23415,1.67913,1.92,0.00496,0.0002644,0.0002644,0.0002644
24,662.736,1.66169,1.80152,0.00442,0.71929,0.66379,0.6697,0.2594,1.65629,1.93579,0.00483,0.0002446,0.0002446,0.0002446
25,689.601,1.60442,1.67428,0.00419,0.76072,0.65778,0.70047,0.27085,1.69644,1.86599,0.00495,0.0002248,0.0002248,0.0002248
26,716.595,1.65079,1.68563,0.00422,0.82415,0.62069,0.68971,0.2572,1.68812,1.94505,0.00487,0.000205,0.000205,0.000205
27,743.601,1.62852,1.76081,0.00429,0.74975,0.65517,0.68132,0.2629,1.66484,1.89432,0.00489,0.0001852,0.0001852,0.0001852
28,770.718,1.66,1.71884,0.00437,0.77365,0.65517,0.70017,0.25525,1.66895,1.84338,0.00489,0.0001654,0.0001654,0.0001654
29,797.776,1.63559,1.58839,0.00456,0.79138,0.65405,0.66574,0.23879,1.69935,1.80158,0.00495,0.0001456,0.0001456,0.0001456
30,825.139,1.67676,1.57848,0.00437,0.70598,0.68103,0.68483,0.24791,1.6867,1.74778,0.00498,0.0001258,0.0001258,0.0001258
31,852.135,1.58018,1.55797,0.00412,0.816,0.62931,0.69836,0.25583,1.72268,1.75677,0.00508,0.000106,0.000106,0.000106
32,879.244,1.65111,1.56711,0.00431,0.75746,0.67241,0.70125,0.26442,1.72371,1.78105,0.00512,8.62e-05,8.62e-05,8.62e-05
33,906.243,1.64232,1.56264,0.00417,0.79365,0.64655,0.71366,0.26718,1.7285,1.75851,0.00512,6.64e-05,6.64e-05,6.64e-05
34,933.164,1.6376,1.52144,0.00431,0.81196,0.63793,0.70157,0.26088,1.72619,1.75844,0.00513,4.66e-05,4.66e-05,4.66e-05
35,960.251,1.74987,1.61352,0.00471,0.80667,0.63793,0.69984,0.25948,1.71919,1.7709,0.0051,2.68e-05,2.68e-05,2.68e-05
