epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1047,2.64734,23.0203,0.00786,0,0,0,0,2.49264,7.18014,0.00864,0.000228571,0.000228571,0.0675755
2,83.9075,2.49281,7.5931,0.0075,0,0,0,0,2.26525,6.09917,0.0078,0.000448839,0.000448839,0.0344624
3,125.99,2.38919,6.65992,0.00713,0,0,0,0,2.09283,5.91239,0.00701,0.000655907,0.000655907,0.00133618
4,167.98,2.2476,6.49967,0.00654,0.00063,0.01449,0.00017,7e-05,2.15687,5.78204,0.00725,0.0006406,0.0006406,0.0006406
5,209.952,2.2114,6.29409,0.00648,0.00107,0.06522,0.00316,0.00079,1.98671,5.55185,0.0066,0.0006208,0.0006208,0.0006208
6,252.027,2.1483,6.13194,0.00602,0.00347,0.15652,0.00457,0.00114,2.02496,5.371,0.00661,0.000601,0.000601,0.000601
7,294.282,2.14713,5.74202,0.00595,0.35042,0.05072,0.01761,0.00383,2.11178,5.02934,0.00699,0.0005812,0.0005812,0.0005812
8,336.617,2.18849,5.1335,0.00612,0.39055,0.0808,0.02633,0.00637,2.09708,6.30236,0.00677,0.0005614,0.0005614,0.0005614
9,404.79,2.17317,4.96386,0.00613,0.51028,0.15417,0.08464,0.02857,2.15687,4.3312,0.00721,0.0005416,0.0005416,0.0005416
10,446.356,2.06771,4.585,0.00585,0.56514,0.15312,0.10828,0.03143,2.06894,5.21892,0.0067,0.0005218,0.0005218,0.0005218
11,488.188,2.02888,4.4828,0.00559,0.52251,0.19964,0.14988,0.0517,2.12899,4.03674,0.00708,0.000502,0.000502,0.000502
12,529.892,1.89213,4.1032,0.00537,0.1765,0.28043,0.16888,0.05382,2.12343,3.84656,0.00695,0.0004822,0.0004822,0.0004822
13,571.81,2.06211,4.0902,0.00589,0.26907,0.23152,0.21404,0.07543,2.07215,3.69112,0.00676,0.0004624,0.0004624,0.0004624
14,613.783,1.92956,3.73456,0.00537,0.71126,0.2087,0.24219,0.09118,2.14176,3.58411,0.00689,0.0004426,0.0004426,0.0004426
15,655.915,2.01415,3.58571,0.00557,0.68462,0.23986,0.232,0.08523,2.1314,4.45742,0.00689,0.0004228,0.0004228,0.0004228
16,697.96,1.9639,3.50636,0.00555,0.24081,0.35821,0.2655,0.08724,2.05958,3.28912,0.00664,0.000403,0.000403,0.000403
17,740.023,1.94898,3.37382,0.00529,0.36939,0.31579,0.25966,0.09524,1.92038,4.3741,0.00584,0.0003832,0.0003832,0.0003832
18,781.95,1.95641,3.55078,0.00533,0.38916,0.30278,0.30701,0.11829,1.98387,3.23726,0.00656,0.0003634,0.0003634,0.0003634
19,823.888,1.95515,3.25512,0.00543,0.72905,0.24235,0.30624,0.11152,1.99577,2.92894,0.00634,0.0003436,0.0003436,0.0003436
20,865.599,1.8687,3.15337,0.00499,0.33871,0.36171,0.27557,0.10479,1.94316,3.10683,0.00629,0.0003238,0.0003238,0.0003238
21,907.364,1.95788,3.12695,0.00534,0.45005,0.29066,0.27713,0.10166,1.97703,2.89268,0.00639,0.000304,0.000304,0.000304
22,949.27,1.84933,2.96481,0.00497,0.55496,0.28889,0.3067,0.10122,1.99812,2.9867,0.00633,0.0002842,0.0002842,0.0002842
23,991.277,1.92017,2.88213,0.00531,0.33087,0.53025,0.36925,0.1254,2.02887,3.42265,0.00642,0.0002644,0.0002644,0.0002644
24,1033.36,1.92245,2.75963,0.00511,0.51527,0.39167,0.39468,0.14679,1.99325,2.90831,0.00637,0.0002446,0.0002446,0.0002446
25,1075.12,1.83814,2.85412,0.00491,0.50659,0.41787,0.427,0.15507,1.95038,2.68965,0.00612,0.0002248,0.0002248,0.0002248
26,1117.03,1.9974,2.81095,0.0054,0.58424,0.38623,0.43168,0.15259,1.89855,2.75908,0.00604,0.000205,0.000205,0.000205
27,1158.39,1.86925,2.83837,0.00504,0.69981,0.36878,0.41307,0.14499,1.85616,2.73207,0.00567,0.0001852,0.0001852,0.0001852
28,1200.22,1.87406,2.6917,0.005,0.69939,0.39964,0.41036,0.1557,1.86527,2.72534,0.00578,0.0001654,0.0001654,0.0001654
29,1242.09,1.81323,2.71445,0.00508,0.5628,0.41647,0.41731,0.16086,1.89009,2.6525,0.00581,0.0001456,0.0001456,0.0001456
30,1283.98,1.79525,2.71536,0.00465,0.66559,0.39039,0.40809,0.15203,1.8633,2.61677,0.00576,0.0001258,0.0001258,0.0001258
31,1325.79,1.87399,2.56378,0.00519,0.7374,0.36168,0.42981,0.15633,1.90222,2.52277,0.00592,0.000106,0.000106,0.000106
32,1367.55,1.81308,2.479,0.00488,0.72697,0.37331,0.42796,0.15785,1.93041,2.50071,0.00592,8.62e-05,8.62e-05,8.62e-05
33,1409.53,1.82505,2.59603,0.00483,0.59817,0.42868,0.44664,0.16717,1.90392,2.52647,0.0059,6.64e-05,6.64e-05,6.64e-05
34,1451.35,1.73506,2.48081,0.00454,0.58738,0.44091,0.45618,0.16687,1.891,2.53167,0.00593,4.66e-05,4.66e-05,4.66e-05
35,1493.26,1.88731,2.67447,0.00495,0.5945,0.44143,0.45795,0.17079,1.88789,2.56716,0.0059,2.68e-05,2.68e-05,2.68e-05
