epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3783,2.12583,13.8301,0.00595,0,0,0,0,1.99807,5.78488,0.00636,0.000228571,0.000228571,0.0675755
2,54.9019,2.00036,5.82629,0.00543,0.19671,0.21341,0.18703,0.07009,1.77832,4.8771,0.00532,0.000448839,0.000448839,0.0344624
3,82.0432,1.9476,4.7094,0.0053,0.2919,0.23406,0.25344,0.08049,1.85324,3.81308,0.00599,0.000655907,0.000655907,0.00133618
4,108.691,1.88838,4.11821,0.00503,0.33583,0.44592,0.3331,0.10429,1.9022,4.33752,0.00605,0.0006406,0.0006406,0.0006406
5,135.552,1.89531,4.05678,0.00518,0.40638,0.39698,0.3236,0.11336,1.77343,3.66394,0.00551,0.0006208,0.0006208,0.0006208
6,162.822,1.77238,3.9102,0.00462,0.37759,0.46182,0.36083,0.15408,1.73494,3.2963,0.00538,0.000601,0.000601,0.000601
7,197.569,1.72467,3.71926,0.00443,0.33403,0.52512,0.38167,0.14045,1.79178,3.29935,0.00571,0.0005812,0.0005812,0.0005812
8,224.471,1.69795,3.18997,0.00438,0.49515,0.50338,0.46175,0.18778,1.75792,2.80573,0.00546,0.0005614,0.0005614,0.0005614
9,284.381,1.73193,3.32098,0.00452,0.4198,0.45924,0.39805,0.15981,1.87402,2.81538,0.00595,0.0005416,0.0005416,0.0005416
10,310.667,1.69437,3.09649,0.00446,0.44135,0.48889,0.44923,0.14753,1.82206,2.68868,0.00588,0.0005218,0.0005218,0.0005218
11,337.1,1.73344,2.9504,0.00449,0.59072,0.52336,0.55795,0.21099,1.78524,2.57846,0.00543,0.000502,0.000502,0.000502
12,363.654,1.60607,2.69974,0.00419,0.60593,0.56602,0.56674,0.22588,1.78929,2.55254,0.00532,0.0004822,0.0004822,0.0004822
13,390.377,1.68242,2.69718,0.00441,0.60017,0.55539,0.58459,0.20209,1.81043,2.42225,0.00548,0.0004624,0.0004624,0.0004624
14,417.075,1.71499,2.52765,0.00452,0.63826,0.57434,0.59342,0.19017,1.92622,2.44538,0.00597,0.0004426,0.0004426,0.0004426
15,443.915,1.67928,2.49027,0.00426,0.54553,0.55752,0.5269,0.21165,1.65607,2.67242,0.00481,0.0004228,0.0004228,0.0004228
16,470.554,1.70361,2.45792,0.00438,0.75038,0.50188,0.60203,0.24779,1.60584,2.44651,0.00444,0.000403,0.000403,0.000403
17,497.253,1.57831,2.39831,0.00403,0.77231,0.49614,0.60333,0.21423,1.75414,2.31895,0.00521,0.0003832,0.0003832,0.0003832
18,524.103,1.71802,2.4015,0.00438,0.68815,0.55737,0.60636,0.21012,1.7646,2.46075,0.00525,0.0003634,0.0003634,0.0003634
19,550.783,1.72574,2.23862,0.00446,0.73828,0.55116,0.63948,0.22857,1.78581,2.37448,0.00524,0.0003436,0.0003436,0.0003436
20,577.683,1.60061,2.09141,0.00402,0.52483,0.58947,0.57843,0.22018,1.7749,2.23473,0.00529,0.0003238,0.0003238,0.0003238
21,604.455,1.71202,2.22089,0.0045,0.62592,0.60152,0.59789,0.22908,1.68625,2.16242,0.00504,0.000304,0.000304,0.000304
22,631.39,1.5883,2.0013,0.00393,0.76551,0.52723,0.62922,0.24769,1.63884,2.2449,0.00479,0.0002842,0.0002842,0.0002842
23,658.124,1.64819,2.00123,0.00424,0.78359,0.5599,0.67473,0.24756,1.7646,2.22696,0.00529,0.0002644,0.0002644,0.0002644
24,684.883,1.65037,1.90784,0.00413,0.82641,0.55799,0.65242,0.24039,1.78715,2.14777,0.0053,0.0002446,0.0002446,0.0002446
25,711.616,1.63417,1.96887,0.00415,0.76696,0.56405,0.64318,0.25634,1.71221,2.23564,0.00496,0.0002248,0.0002248,0.0002248
26,738.38,1.70388,1.92954,0.00427,0.76029,0.57399,0.64081,0.25624,1.70822,2.17766,0.00499,0.000205,0.000205,0.000205
27,765.188,1.66712,1.82582,0.00425,0.79752,0.55159,0.63897,0.24796,1.74911,2.11112,0.0051,0.0001852,0.0001852,0.0001852
28,791.929,1.6552,1.87461,0.0042,0.78874,0.56438,0.65574,0.25593,1.74604,2.10036,0.00516,0.0001654,0.0001654,0.0001654
29,818.698,1.56105,1.91736,0.00402,0.71055,0.63418,0.66822,0.26689,1.73879,2.23057,0.00509,0.0001456,0.0001456,0.0001456
30,845.351,1.66929,1.83649,0.00416,0.7314,0.59351,0.66869,0.26998,1.7529,2.1444,0.00513,0.0001258,0.0001258,0.0001258
31,872.232,1.65972,1.74351,0.00422,0.78256,0.594,0.67616,0.27357,1.76539,2.02093,0.00518,0.000106,0.000106,0.000106
32,898.914,1.62651,1.70835,0.0041,0.8225,0.57526,0.68373,0.27668,1.77649,2.03408,0.00525,8.62e-05,8.62e-05,8.62e-05
33,925.91,1.69699,1.75471,0.00424,0.82629,0.59277,0.68358,0.27723,1.80788,1.98896,0.00537,6.64e-05,6.64e-05,6.64e-05
34,952.558,1.64515,1.67083,0.00411,0.81871,0.6089,0.68604,0.27668,1.77329,2.01753,0.00527,4.66e-05,4.66e-05,4.66e-05
35,979.179,1.71633,1.77484,0.00428,0.82725,0.6109,0.68802,0.27496,1.76079,2.03548,0.00523,2.68e-05,2.68e-05,2.68e-05
