epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5701,2.57894,20.0424,0.00829,0,0,0,0,2.44173,7.70229,0.0086,0.000228667,0.000228667,0.067562
2,86.62,2.25856,8.02048,0.00735,0,0,0,0,2.25459,6.25631,0.0077,0.000448932,0.000448932,0.0344489
3,129.775,2.27121,6.9391,0.00699,0,0,0,0,2.03281,6.02649,0.00678,0.000655997,0.000655997,0.00132266
4,172.465,2.2713,6.70257,0.0069,0.00215,0.00725,0.00046,5e-05,1.98655,5.91588,0.00679,0.0006406,0.0006406,0.0006406
5,216.364,2.14565,6.41252,0.0064,0.00104,0.02391,0.00012,2e-05,2.00471,5.87548,0.00665,0.0006208,0.0006208,0.0006208
6,259.3,2.12131,6.32114,0.00621,0.00291,0.19529,0.00279,0.00064,2.088,5.61812,0.00707,0.000601,0.000601,0.000601
7,301.994,2.05519,5.97735,0.00591,0.00354,0.29384,0.01382,0.00264,2.11893,5.22169,0.00733,0.0005812,0.0005812,0.0005812
8,345.375,2.11768,5.3969,0.00619,0.43161,0.12053,0.06744,0.02181,2.13091,5.57491,0.0074,0.0005614,0.0005614,0.0005614
9,389.034,2.15736,5.31224,0.00616,0.47253,0.13514,0.07758,0.02369,2.28086,7.64232,0.00775,0.0005416,0.0005416,0.0005416
10,432.08,2.11463,4.80335,0.0064,0.52363,0.17517,0.12353,0.0365,2.19489,4.41583,0.00705,0.0005218,0.0005218,0.0005218
11,474.889,2.11851,4.49369,0.00607,0.51689,0.20362,0.16862,0.05455,1.95543,4.03327,0.00642,0.000502,0.000502,0.000502
12,517.526,2.14648,4.41843,0.00652,0.56545,0.18587,0.19465,0.06794,1.83063,3.73447,0.00599,0.0004822,0.0004822,0.0004822
13,560.148,2.03845,3.96344,0.00607,0.42445,0.18019,0.15875,0.05583,1.90818,4.60461,0.00609,0.0004624,0.0004624,0.0004624
14,602.79,2.13353,3.95777,0.00632,0.60919,0.21377,0.19076,0.06524,1.90157,4.59895,0.00611,0.0004426,0.0004426,0.0004426
15,645.54,1.97393,3.79615,0.00572,0.48849,0.34712,0.28472,0.09039,1.86538,3.56962,0.00616,0.0004228,0.0004228,0.0004228
16,688.594,1.91691,3.68138,0.00529,0.49692,0.30495,0.2591,0.09277,1.86019,3.34705,0.00616,0.000403,0.000403,0.000403
17,731.146,1.87632,3.62545,0.00544,0.44101,0.26013,0.25949,0.09602,1.8206,3.17004,0.00581,0.0003832,0.0003832,0.0003832
18,773.879,1.81245,3.48953,0.00526,0.28554,0.31676,0.25505,0.0959,1.83982,3.17433,0.00585,0.0003634,0.0003634,0.0003634
19,816.638,1.89849,3.41505,0.00555,0.43858,0.24788,0.29536,0.1001,1.77458,3.41834,0.00573,0.0003436,0.0003436,0.0003436
20,859.403,1.79212,3.24506,0.00497,0.35222,0.46529,0.37936,0.13344,1.71192,3.39924,0.00548,0.0003238,0.0003238,0.0003238
21,902.035,1.85311,3.17712,0.0054,0.34169,0.41715,0.34704,0.13331,1.86029,2.94254,0.00597,0.000304,0.000304,0.000304
22,944.655,1.87125,3.21484,0.00553,0.38059,0.43721,0.33633,0.12097,1.78559,3.08421,0.0057,0.0002842,0.0002842,0.0002842
23,987.337,1.86015,3.04837,0.00511,0.52927,0.36763,0.38059,0.12273,1.87678,2.96286,0.00596,0.0002644,0.0002644,0.0002644
24,1030.63,1.91617,3.03193,0.00541,0.4729,0.45514,0.40085,0.13222,1.94672,2.76149,0.00613,0.0002446,0.0002446,0.0002446
25,1073.31,1.67941,2.78599,0.00462,0.58346,0.38699,0.39706,0.12953,1.8225,2.90177,0.0059,0.0002248,0.0002248,0.0002248
26,1115.82,1.81996,2.84566,0.00505,0.64803,0.31389,0.41077,0.13607,1.74769,2.90377,0.00551,0.000205,0.000205,0.000205
27,1158.47,1.84842,2.7596,0.00512,0.57896,0.41309,0.43344,0.1397,1.83727,2.69052,0.00559,0.0001852,0.0001852,0.0001852
28,1201.21,1.80473,2.71108,0.00493,0.5776,0.42452,0.46161,0.15427,1.83455,2.70843,0.0057,0.0001654,0.0001654,0.0001654
29,1243.8,1.75305,2.73421,0.00506,0.4768,0.53436,0.46899,0.15951,1.81369,2.72924,0.00567,0.0001456,0.0001456,0.0001456
30,1286.48,1.81206,2.67724,0.00495,0.47891,0.53605,0.46955,0.16403,1.80642,2.56867,0.00558,0.0001258,0.0001258,0.0001258
31,1328.98,1.7229,2.59453,0.00469,0.63355,0.4,0.47353,0.16056,1.79266,2.58003,0.00559,0.000106,0.000106,0.000106
32,1371.54,1.74266,2.54016,0.00487,0.64149,0.45236,0.49218,0.16413,1.80072,2.59816,0.00563,8.62e-05,8.62e-05,8.62e-05
33,1414.04,1.76456,2.57749,0.00471,0.61768,0.46123,0.49175,0.16196,1.76707,2.6325,0.00555,6.64e-05,6.64e-05,6.64e-05
34,1456.24,1.73553,2.56167,0.00482,0.62638,0.48076,0.49771,0.16012,1.78435,2.6365,0.00559,4.66e-05,4.66e-05,4.66e-05
35,1498.31,1.81996,2.66804,0.00519,0.61521,0.47506,0.4929,0.16015,1.77406,2.64442,0.00555,2.68e-05,2.68e-05,2.68e-05
