epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8733,2.15619,12.7995,0.00637,0,0,0,0,2.08629,5.90403,0.00664,0.000228667,0.000228667,0.067562
2,59.1795,1.98658,5.57979,0.0059,0.14634,0.15,0.12739,0.03378,1.8424,4.89364,0.00604,0.000448932,0.000448932,0.0344489
3,87.2036,2.09302,4.84616,0.006,0.75455,0.18949,0.20019,0.0597,1.93198,3.84584,0.00648,0.000655997,0.000655997,0.00132266
4,115.398,2.06041,4.11581,0.00584,0.24327,0.3064,0.28756,0.11149,1.81558,3.17938,0.0056,0.0006406,0.0006406,0.0006406
5,143.185,1.96546,3.84296,0.00555,0.33463,0.36653,0.31608,0.13246,1.86179,3.60456,0.00579,0.0006208,0.0006208,0.0006208
6,170.557,1.95481,3.70853,0.00544,0.34049,0.38671,0.32055,0.10649,2.00806,3.86161,0.00628,0.000601,0.000601,0.000601
7,198.007,1.85776,3.432,0.00491,0.34485,0.52258,0.40522,0.13966,1.92611,3.2683,0.00597,0.0005812,0.0005812,0.0005812
8,225.342,1.78393,3.18868,0.00475,0.70338,0.35404,0.41796,0.14174,1.9239,2.70825,0.00592,0.0005614,0.0005614,0.0005614
9,253.173,1.73916,3.18878,0.00452,0.36617,0.34167,0.37851,0.14606,1.79793,2.69213,0.00554,0.0005416,0.0005416,0.0005416
10,280.966,1.65147,3.00231,0.00475,0.53142,0.41727,0.41629,0.15215,1.86046,2.85138,0.00578,0.0005218,0.0005218,0.0005218
11,308.421,1.77849,2.73573,0.00489,0.57729,0.57283,0.50039,0.19283,1.84107,2.65895,0.00566,0.000502,0.000502,0.000502
12,335.579,1.8201,2.80315,0.00538,0.60263,0.50785,0.54679,0.2366,1.80441,2.30028,0.0055,0.0004822,0.0004822,0.0004822
13,363.343,1.60753,2.53437,0.00433,0.76919,0.45057,0.56923,0.18368,1.77854,2.38511,0.00536,0.0004624,0.0004624,0.0004624
14,390.905,1.73506,2.47772,0.00465,0.59592,0.56027,0.57439,0.19213,1.79099,2.24197,0.0056,0.0004426,0.0004426,0.0004426
15,419.273,1.66047,2.3345,0.00443,0.65283,0.55525,0.59362,0.22047,1.82039,2.20308,0.00546,0.0004228,0.0004228,0.0004228
16,446.583,1.63807,2.26274,0.00422,0.63406,0.54971,0.58232,0.21934,1.81457,2.31926,0.00567,0.000403,0.000403,0.000403
17,474.288,1.67353,2.27819,0.00453,0.82438,0.46278,0.56509,0.20329,1.83891,2.36241,0.00587,0.0003832,0.0003832,0.0003832
18,502.321,1.59498,2.12185,0.00423,0.67523,0.56809,0.62028,0.21977,1.86061,2.22968,0.00587,0.0003634,0.0003634,0.0003634
19,529.56,1.69805,2.13612,0.00474,0.81511,0.51897,0.64827,0.24058,1.86437,2.10665,0.00573,0.0003436,0.0003436,0.0003436
20,557.509,1.57867,1.9509,0.00412,0.77065,0.58969,0.6627,0.2449,1.81705,2.10603,0.00549,0.0003238,0.0003238,0.0003238
21,584.284,1.62947,1.97495,0.00443,0.63424,0.57251,0.58627,0.24676,1.75738,2.133,0.00537,0.000304,0.000304,0.000304
22,611.049,1.66111,2.10949,0.00446,0.80216,0.50743,0.60566,0.22639,1.89224,2.0978,0.00597,0.0002842,0.0002842,0.0002842
23,637.804,1.67387,2.01553,0.0044,0.74715,0.53656,0.62541,0.22957,1.94307,2.09375,0.00607,0.0002644,0.0002644,0.0002644
24,664.451,1.67072,2.00111,0.00442,0.72796,0.59837,0.616,0.24543,1.86538,2.01238,0.00565,0.0002446,0.0002446,0.0002446
25,691.122,1.52678,1.83776,0.00393,0.72856,0.56332,0.60948,0.23694,1.79729,2.06277,0.00546,0.0002248,0.0002248,0.0002248
26,717.794,1.61695,1.88766,0.00416,0.85465,0.5128,0.62466,0.24804,1.7561,2.02464,0.00537,0.000205,0.000205,0.000205
27,744.59,1.59743,1.84393,0.00422,0.82041,0.55988,0.66371,0.26783,1.79629,1.97282,0.00549,0.0001852,0.0001852,0.0001852
28,771.417,1.62367,1.81753,0.00429,0.75754,0.65411,0.68783,0.2712,1.88465,1.9831,0.00571,0.0001654,0.0001654,0.0001654
29,798.199,1.59792,1.78267,0.00429,0.78098,0.63105,0.69499,0.26517,1.87119,1.91361,0.00562,0.0001456,0.0001456,0.0001456
30,824.812,1.67196,1.81826,0.00438,0.7624,0.62389,0.6848,0.26429,1.80613,1.8261,0.00532,0.0001258,0.0001258,0.0001258
31,851.43,1.56707,1.77366,0.00404,0.78097,0.62017,0.67599,0.26898,1.80733,1.82916,0.00534,0.000106,0.000106,0.000106
32,878.101,1.59172,1.7228,0.0042,0.79546,0.62493,0.67628,0.26687,1.82358,1.84547,0.00542,8.62e-05,8.62e-05,8.62e-05
33,904.814,1.60035,1.71105,0.00413,0.80085,0.61939,0.68363,0.26626,1.83487,1.85066,0.00544,6.64e-05,6.64e-05,6.64e-05
34,931.544,1.55784,1.72339,0.00404,0.79824,0.61727,0.67671,0.26627,1.85078,1.82801,0.00551,4.66e-05,4.66e-05,4.66e-05
35,958.309,1.67068,1.80367,0.00439,0.79756,0.62578,0.68081,0.26909,1.84159,1.82555,0.00548,2.68e-05,2.68e-05,2.68e-05
