epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4399,2.39873,18.9599,0.00702,0,0,0,0,2.43851,6.53017,0.00866,0.000228571,0.000228571,0.0675755
2,83.7731,2.47374,6.9973,0.00748,0,0,0,0,2.28169,5.78803,0.008,0.000448839,0.000448839,0.0344624
3,125.921,2.30642,6.17143,0.00677,0,0,0,0,2.18237,5.5307,0.00757,0.000655907,0.000655907,0.00133618
4,167.647,2.23511,5.98687,0.00638,0.00419,0.10031,0.0007,0.00025,2.07414,5.31603,0.00688,0.0006406,0.0006406,0.0006406
5,209.648,2.11088,5.73368,0.00611,0.06582,0.08602,0.00999,0.00212,2.10455,5.16844,0.00708,0.0006208,0.0006208,0.0006208
6,251.758,2.19198,5.46185,0.00602,0.17798,0.06087,0.04185,0.01855,2.08583,4.68589,0.00725,0.000601,0.000601,0.000601
7,294.144,2.06784,4.99953,0.00576,0.16203,0.14689,0.09433,0.0284,2.15914,4.29273,0.00759,0.0005812,0.0005812,0.0005812
8,336.208,2.23524,4.43765,0.00634,0.20712,0.22298,0.12738,0.04005,2.1346,4.69265,0.00736,0.0005614,0.0005614,0.0005614
9,378.148,2.18761,4.45576,0.00617,0.26067,0.20466,0.13302,0.04582,2.13934,4.63671,0.00717,0.0005416,0.0005416,0.0005416
10,420.161,2.02492,4.12504,0.00569,0.24104,0.27702,0.17019,0.0533,2.08739,4.18217,0.00688,0.0005218,0.0005218,0.0005218
11,462.453,2.05826,3.93472,0.00569,0.2222,0.30963,0.15434,0.04259,2.09372,4.28595,0.00727,0.000502,0.000502,0.000502
12,504.422,1.91713,3.72647,0.00545,0.34383,0.26273,0.19448,0.05511,1.94001,3.8607,0.00666,0.0004822,0.0004822,0.0004822
13,546.552,1.96666,3.62752,0.00553,0.33765,0.26304,0.19428,0.06975,1.87694,3.76207,0.00615,0.0004624,0.0004624,0.0004624
14,588.63,1.91194,3.43485,0.00532,0.33791,0.27604,0.18439,0.05466,1.87269,3.69921,0.00621,0.0004426,0.0004426,0.0004426
15,630.837,1.93757,3.38272,0.00531,0.29524,0.42547,0.24445,0.0784,1.86298,3.57172,0.0061,0.0004228,0.0004228,0.0004228
16,672.918,1.89232,3.21809,0.00533,0.31974,0.36752,0.2987,0.08899,1.82982,3.1668,0.00578,0.000403,0.000403,0.000403
17,714.955,1.87525,3.19081,0.00511,0.48062,0.29534,0.32534,0.10248,1.8895,3.06824,0.00603,0.0003832,0.0003832,0.0003832
18,756.847,1.89508,3.19688,0.00516,0.32572,0.40311,0.30112,0.09824,1.88458,3.0786,0.00608,0.0003634,0.0003634,0.0003634
19,799.026,1.96392,3.12178,0.00542,0.3544,0.42112,0.31369,0.09872,1.78219,3.07457,0.00561,0.0003436,0.0003436,0.0003436
20,840.996,1.79105,2.99326,0.00477,0.48842,0.40062,0.27993,0.09251,1.73061,3.1519,0.00552,0.0003238,0.0003238,0.0003238
21,882.908,1.91216,3.02799,0.0053,0.54203,0.38125,0.32136,0.09199,1.71091,2.92153,0.00552,0.000304,0.000304,0.000304
22,924.933,1.79985,2.83157,0.00489,0.54713,0.31736,0.35367,0.10995,1.73234,2.82399,0.00554,0.0002842,0.0002842,0.0002842
23,966.702,1.89729,2.8458,0.00533,0.58013,0.32391,0.35533,0.12191,1.72913,2.80907,0.00548,0.0002644,0.0002644,0.0002644
24,1008.51,1.80766,2.71495,0.00474,0.4418,0.4744,0.36507,0.11413,1.73379,2.85056,0.0055,0.0002446,0.0002446,0.0002446
25,1050.33,1.77802,2.76149,0.00479,0.41208,0.42179,0.38409,0.13542,1.7501,2.71766,0.00542,0.0002248,0.0002248,0.0002248
26,1092.09,1.86905,2.79716,0.00495,0.4455,0.39285,0.40405,0.14269,1.75319,2.63034,0.00551,0.000205,0.000205,0.000205
27,1133.86,1.82734,2.72825,0.00495,0.4308,0.51765,0.41214,0.14442,1.75051,2.64934,0.00553,0.0001852,0.0001852,0.0001852
28,1175.62,1.80357,2.68265,0.00482,0.49448,0.41801,0.42086,0.14343,1.78217,2.73047,0.00563,0.0001654,0.0001654,0.0001654
29,1217.57,1.72957,2.73651,0.00498,0.42722,0.50639,0.41732,0.1398,1.75993,2.7623,0.00554,0.0001456,0.0001456,0.0001456
30,1259.23,1.78243,2.7415,0.00474,0.45002,0.42888,0.40407,0.14036,1.73699,2.60041,0.00547,0.0001258,0.0001258,0.0001258
31,1301.03,1.81346,2.68809,0.00521,0.62386,0.30943,0.41083,0.14994,1.71814,2.51598,0.00534,0.000106,0.000106,0.000106
32,1342.73,1.78731,2.52919,0.00487,0.56034,0.33975,0.40988,0.15857,1.72263,2.49504,0.00533,8.62e-05,8.62e-05,8.62e-05
33,1384.62,1.83465,2.58247,0.00491,0.42445,0.45776,0.40661,0.15761,1.70745,2.52922,0.00538,6.64e-05,6.64e-05,6.64e-05
34,1426.39,1.80122,2.44557,0.00475,0.43563,0.44689,0.40754,0.15681,1.75185,2.52901,0.00547,4.66e-05,4.66e-05,4.66e-05
35,1468.29,1.8776,2.68823,0.00497,0.45076,0.44689,0.41924,0.16125,1.765,2.53568,0.00554,2.68e-05,2.68e-05,2.68e-05
