epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.259,2.02643,13.205,0.00574,0,0,0,0,1.89059,5.29795,0.00627,0.000228571,0.000228571,0.0675755
2,52.681,2.09433,4.82196,0.00577,0.10609,0.35745,0.19183,0.05919,1.72208,4.35181,0.00551,0.000448839,0.000448839,0.0344624
3,79.6574,2.04169,3.83789,0.00548,0.54771,0.33789,0.39037,0.12483,1.87736,3.2178,0.00577,0.000655907,0.000655907,0.00133618
4,106.342,1.86735,3.54661,0.0049,0.58378,0.5,0.50028,0.19746,1.68717,2.84489,0.00495,0.0006406,0.0006406,0.0006406
5,133.054,1.82542,3.29415,0.0048,0.71583,0.45714,0.53466,0.19091,1.69273,2.71978,0.00502,0.0006208,0.0006208,0.0006208
6,159.849,1.80685,3.36559,0.00471,0.59848,0.50062,0.49549,0.17071,1.70536,2.77644,0.00548,0.000601,0.000601,0.000601
7,191.014,1.76944,3.06596,0.00453,0.83086,0.48535,0.60831,0.24971,1.63917,2.87493,0.00509,0.0005812,0.0005812,0.0005812
8,220.407,1.71128,2.81699,0.00437,0.74536,0.5141,0.55657,0.18955,1.60103,2.71839,0.00494,0.0005614,0.0005614,0.0005614
9,247.004,1.68522,2.87962,0.00432,0.78892,0.51535,0.5991,0.22397,1.55764,2.56975,0.00468,0.0005416,0.0005416,0.0005416
10,273.965,1.57344,2.81304,0.00402,0.7491,0.51801,0.59163,0.21474,1.66743,2.51787,0.00513,0.0005218,0.0005218,0.0005218
11,300.903,1.65548,2.5823,0.00423,0.66045,0.57917,0.57024,0.17597,1.63827,2.4044,0.00499,0.000502,0.000502,0.000502
12,327.714,1.55679,2.4279,0.00404,0.66262,0.55031,0.62152,0.25034,1.59258,2.3898,0.0048,0.0004822,0.0004822,0.0004822
13,354.612,1.66738,2.5919,0.00434,0.73749,0.56276,0.62152,0.20429,1.76305,2.30625,0.00554,0.0004624,0.0004624,0.0004624
14,381.427,1.65515,2.3253,0.00431,0.67394,0.60807,0.65038,0.2053,1.85148,2.23994,0.00611,0.0004426,0.0004426,0.0004426
15,408.108,1.72266,2.21159,0.00452,0.7465,0.52965,0.6327,0.24166,1.64922,2.14934,0.0051,0.0004228,0.0004228,0.0004228
16,434.821,1.66729,2.19688,0.00438,0.85736,0.62578,0.7015,0.27581,1.64118,2.00843,0.00506,0.000403,0.000403,0.000403
17,461.701,1.60717,2.23481,0.00411,0.80175,0.52919,0.67122,0.22491,1.78413,2.11225,0.00562,0.0003832,0.0003832,0.0003832
18,488.65,1.67265,2.18013,0.00427,0.83335,0.50648,0.66492,0.23447,1.75068,2.02428,0.00552,0.0003634,0.0003634,0.0003634
19,515.603,1.65589,2.07215,0.00427,0.82443,0.57174,0.66375,0.26653,1.73272,2.01687,0.00529,0.0003436,0.0003436,0.0003436
20,542.574,1.56165,1.94819,0.00393,0.75583,0.55077,0.65866,0.26143,1.68255,2.18459,0.00509,0.0003238,0.0003238,0.0003238
21,569.376,1.66377,2.11886,0.00438,0.76341,0.56107,0.68649,0.2634,1.68715,2.07804,0.00521,0.000304,0.000304,0.000304
22,596.183,1.55032,1.89644,0.00389,0.71806,0.66625,0.72505,0.30101,1.71778,1.83718,0.00533,0.0002842,0.0002842,0.0002842
23,622.976,1.62309,1.8953,0.00427,0.70334,0.68076,0.7255,0.27929,1.7498,1.82583,0.00544,0.0002644,0.0002644,0.0002644
24,649.732,1.64241,1.82213,0.00407,0.73571,0.66387,0.72784,0.2507,1.76281,2.01633,0.00551,0.0002446,0.0002446,0.0002446
25,676.471,1.61163,1.79443,0.00414,0.77963,0.64237,0.7307,0.29219,1.64794,1.92076,0.005,0.0002248,0.0002248,0.0002248
26,703.209,1.65865,1.85637,0.00418,0.78782,0.6353,0.7363,0.30705,1.67689,1.79084,0.00495,0.000205,0.000205,0.000205
27,729.948,1.63116,1.77218,0.00417,0.76546,0.66553,0.74933,0.30675,1.68847,1.76797,0.0051,0.0001852,0.0001852,0.0001852
28,756.577,1.58932,1.74051,0.00407,0.77356,0.64737,0.75435,0.29618,1.72037,1.71266,0.00521,0.0001654,0.0001654,0.0001654
29,783.147,1.56053,1.718,0.00406,0.74819,0.6006,0.74115,0.28895,1.7242,1.79182,0.00526,0.0001456,0.0001456,0.0001456
30,809.722,1.57722,1.75645,0.00389,0.72208,0.614,0.71862,0.27627,1.74493,1.78523,0.00532,0.0001258,0.0001258,0.0001258
31,836.33,1.62103,1.76083,0.00413,0.73962,0.62421,0.72404,0.2781,1.70177,1.76326,0.00519,0.000106,0.000106,0.000106
32,862.738,1.59015,1.6357,0.00405,0.81493,0.56426,0.72661,0.28496,1.73006,1.72527,0.00526,8.62e-05,8.62e-05,8.62e-05
33,889.208,1.65036,1.63264,0.00413,0.86547,0.57889,0.73304,0.29152,1.70207,1.6908,0.00515,6.64e-05,6.64e-05,6.64e-05
34,915.519,1.59284,1.59143,0.00398,0.86618,0.58761,0.7368,0.29282,1.70352,1.66653,0.00513,4.66e-05,4.66e-05,4.66e-05
35,942.332,1.71075,1.70134,0.00429,0.88926,0.58876,0.74364,0.29867,1.69822,1.65998,0.00512,2.68e-05,2.68e-05,2.68e-05
