epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4733,2.54194,17.8324,0.00822,0,0,0,0,2.5756,6.90144,0.0092,0.000228667,0.000228667,0.067562
2,84.538,2.18044,6.94997,0.00692,0,0,0,0,2.24768,5.79157,0.00814,0.000448932,0.000448932,0.0344489
3,127.479,2.18475,6.29137,0.00666,0,0,0,0,2.00651,5.54558,0.00661,0.000655997,0.000655997,0.00132266
4,170.16,2.18056,6.06167,0.00628,0.0025,0.04286,0.00039,0.0001,1.97198,5.35344,0.00653,0.0006406,0.0006406,0.0006406
5,212.537,2.13355,5.70396,0.00625,0.10598,0.03571,0.03036,0.00872,1.97849,5.18384,0.00663,0.0006208,0.0006208,0.0006208
6,254.962,2.1091,5.4363,0.00607,0.17625,0.12919,0.07461,0.02229,1.89528,4.82686,0.00641,0.000601,0.000601,0.000601
7,297.459,2.06506,5.05302,0.00573,0.11816,0.25466,0.09449,0.02589,2.21618,5.19175,0.00739,0.0005812,0.0005812,0.0005812
8,340.297,2.12845,4.71803,0.00611,0.22513,0.19379,0.12237,0.03509,2.10578,6.16129,0.00747,0.0005614,0.0005614,0.0005614
9,382.84,1.98093,4.83444,0.00552,0.2145,0.18292,0.1493,0.05669,1.96686,4.60006,0.00654,0.0005416,0.0005416,0.0005416
10,425.894,1.92976,4.33548,0.00578,0.25969,0.15093,0.1421,0.04206,1.89194,3.87948,0.00616,0.0005218,0.0005218,0.0005218
11,468.523,2.11117,3.87122,0.00602,0.25996,0.20528,0.13594,0.0473,1.83013,3.59669,0.0059,0.000502,0.000502,0.000502
12,511.299,2.10566,3.83911,0.00644,0.40715,0.23075,0.213,0.07019,1.86194,3.95227,0.00606,0.0004822,0.0004822,0.0004822
13,553.918,1.95112,3.66833,0.00568,0.35509,0.23758,0.23597,0.08028,1.86326,3.6705,0.00605,0.0004624,0.0004624,0.0004624
14,596.43,2.04415,3.47101,0.00601,0.35166,0.34658,0.20845,0.07805,1.78945,3.57368,0.00572,0.0004426,0.0004426,0.0004426
15,639.012,1.9844,3.28893,0.00569,0.31129,0.33851,0.2516,0.08193,1.74378,3.21532,0.00558,0.0004228,0.0004228,0.0004228
16,681.536,1.96816,3.19669,0.00539,0.35235,0.32795,0.24602,0.09485,1.84904,3.10629,0.00591,0.000403,0.000403,0.000403
17,723.978,1.90709,3.18936,0.00549,0.38611,0.35652,0.28276,0.10836,1.76109,3.07604,0.00567,0.0003832,0.0003832,0.0003832
18,766.402,1.80335,3.10143,0.00517,0.38486,0.37453,0.28698,0.11468,1.76664,2.9702,0.00568,0.0003634,0.0003634,0.0003634
19,808.948,1.96262,3.17123,0.00588,0.36329,0.32391,0.26836,0.1062,1.78673,3.36646,0.00573,0.0003436,0.0003436,0.0003436
20,851.636,1.74756,3.02224,0.00491,0.42942,0.35994,0.31959,0.10928,1.76499,3.216,0.00583,0.0003238,0.0003238,0.0003238
21,894.112,1.7957,3.07545,0.00515,0.41762,0.3528,0.31095,0.12015,1.76208,2.9031,0.00579,0.000304,0.000304,0.000304
22,936.924,1.92559,3.08294,0.00561,0.51457,0.3112,0.29983,0.11203,1.85005,2.93639,0.00596,0.0002842,0.0002842,0.0002842
23,979.444,1.88134,3.00986,0.00526,0.46146,0.37484,0.35466,0.13007,1.81539,2.90739,0.00582,0.0002644,0.0002644,0.0002644
24,1022.07,1.95353,2.92468,0.00566,0.57014,0.2882,0.349,0.13178,1.79371,2.93726,0.0058,0.0002446,0.0002446,0.0002446
25,1064.49,1.75717,2.63794,0.00487,0.45618,0.32871,0.33828,0.14047,1.67784,2.86715,0.00532,0.0002248,0.0002248,0.0002248
26,1106.89,1.80106,2.64364,0.00496,0.42163,0.39596,0.40045,0.14552,1.6651,2.65692,0.00515,0.000205,0.000205,0.000205
27,1149.49,1.80739,2.68501,0.00493,0.54194,0.30963,0.39466,0.15661,1.71674,2.6315,0.00542,0.0001852,0.0001852,0.0001852
28,1191.83,1.78999,2.6678,0.00489,0.59943,0.30427,0.37905,0.1398,1.67636,2.73412,0.00536,0.0001654,0.0001654,0.0001654
29,1234.19,1.79999,2.6132,0.00527,0.5369,0.37466,0.38482,0.14055,1.7187,2.89063,0.00554,0.0001456,0.0001456,0.0001456
30,1276.57,1.80917,2.56287,0.00499,0.53488,0.4139,0.38773,0.15182,1.76673,2.61031,0.00567,0.0001258,0.0001258,0.0001258
31,1318.74,1.73047,2.5781,0.0047,0.52878,0.38913,0.40608,0.15306,1.70152,2.54377,0.00542,0.000106,0.000106,0.000106
32,1361.18,1.81293,2.45832,0.00503,0.59604,0.37112,0.42951,0.1537,1.73202,2.41844,0.00553,8.62e-05,8.62e-05,8.62e-05
33,1403.59,1.89009,2.41587,0.00512,0.48746,0.43509,0.43381,0.15365,1.71438,2.42376,0.00547,6.64e-05,6.64e-05,6.64e-05
34,1445.97,1.81,2.42117,0.00493,0.50208,0.39869,0.42605,0.14578,1.71871,2.4485,0.0055,4.66e-05,4.66e-05,4.66e-05
35,1488.26,1.90968,2.57251,0.00542,0.52237,0.37112,0.42032,0.1433,1.73029,2.41909,0.00556,2.68e-05,2.68e-05,2.68e-05
