epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2881,2.14069,11.7755,0.00646,0,0,0,0,2.02196,5.38977,0.00681,0.000228667,0.000228667,0.067562
2,52.9753,2.06659,4.78866,0.00637,0.27602,0.35497,0.22427,0.06321,1.77192,4.32255,0.00572,0.000448932,0.000448932,0.0344489
3,80.454,2.00294,4.06824,0.0057,0.51082,0.34814,0.32017,0.10956,1.91229,3.2691,0.00608,0.000655997,0.000655997,0.00132266
4,107.686,1.98468,3.50515,0.00556,0.53377,0.5064,0.44793,0.16485,1.98031,2.86074,0.00612,0.0006406,0.0006406,0.0006406
5,135.089,1.84989,3.17754,0.00491,0.54939,0.41474,0.40259,0.15051,1.74155,2.91333,0.00525,0.0006208,0.0006208,0.0006208
6,162.826,1.85,3.23549,0.005,0.65481,0.46118,0.48738,0.19736,1.72315,2.74758,0.00529,0.000601,0.000601,0.000601
7,192.553,1.83022,3.01661,0.00475,0.61507,0.51238,0.52468,0.17424,1.88582,2.97528,0.00597,0.0005812,0.0005812,0.0005812
8,219.631,1.71233,2.77857,0.00444,0.84042,0.45908,0.58141,0.22748,1.7841,2.58544,0.0058,0.0005614,0.0005614,0.0005614
9,246.657,1.76336,2.92609,0.00459,0.63821,0.47857,0.51165,0.17053,1.8072,2.26694,0.00547,0.0005416,0.0005416,0.0005416
10,274.043,1.7156,2.60574,0.00475,0.74375,0.53261,0.63555,0.24198,1.80688,2.18697,0.00554,0.0005218,0.0005218,0.0005218
11,301.411,1.77456,2.45473,0.00467,0.73063,0.58678,0.63643,0.21288,1.74251,2.20956,0.00528,0.000502,0.000502,0.000502
12,328.797,1.81751,2.55963,0.00503,0.67744,0.59481,0.60952,0.22048,1.76256,2.12869,0.00553,0.0004822,0.0004822,0.0004822
13,356.114,1.70345,2.36777,0.00449,0.69471,0.59006,0.55837,0.18613,1.8548,2.09529,0.00585,0.0004624,0.0004624,0.0004624
14,383.463,1.828,2.27625,0.00492,0.7479,0.58571,0.6586,0.25473,1.72294,1.96727,0.00515,0.0004426,0.0004426,0.0004426
15,410.751,1.69742,2.18265,0.00448,0.70794,0.61553,0.66075,0.25724,1.65422,1.96184,0.00496,0.0004228,0.0004228,0.0004228
16,437.828,1.69817,2.14915,0.00441,0.62932,0.60637,0.66527,0.26014,1.73755,2.06855,0.00526,0.000403,0.000403,0.000403
17,465.033,1.68913,2.21335,0.00456,0.66132,0.59441,0.62537,0.24832,1.75281,2.11307,0.00522,0.0003832,0.0003832,0.0003832
18,492.156,1.55749,2.15293,0.00406,0.59077,0.64441,0.59464,0.23078,1.81058,2.04065,0.00549,0.0003634,0.0003634,0.0003634
19,519.361,1.65053,2.16014,0.0044,0.70161,0.58354,0.64681,0.23807,1.77884,2.15295,0.00526,0.0003436,0.0003436,0.0003436
20,546.621,1.54354,2.07426,0.00403,0.67482,0.61493,0.63768,0.2418,1.73234,2.16478,0.00516,0.0003238,0.0003238,0.0003238
21,573.915,1.62357,1.85085,0.00428,0.73642,0.64709,0.68286,0.27676,1.72972,2.04318,0.0052,0.000304,0.000304,0.000304
22,601.234,1.72014,1.99924,0.00468,0.77481,0.62418,0.66405,0.26581,1.7728,1.89992,0.0054,0.0002842,0.0002842,0.0002842
23,628.408,1.70696,1.82877,0.00451,0.79453,0.63719,0.67147,0.24763,1.82672,1.89337,0.00552,0.0002644,0.0002644,0.0002644
24,655.812,1.6546,1.92653,0.0044,0.74705,0.63794,0.67083,0.26952,1.68256,1.93749,0.00491,0.0002446,0.0002446,0.0002446
25,682.956,1.56733,1.73233,0.00407,0.75429,0.56501,0.64951,0.2762,1.67619,1.91278,0.00495,0.0002248,0.0002248,0.0002248
26,710.807,1.6827,1.75655,0.00435,0.76774,0.60101,0.68222,0.27702,1.7823,1.9472,0.00524,0.000205,0.000205,0.000205
27,739.417,1.59294,1.73314,0.00415,0.73679,0.59719,0.67569,0.2704,1.767,1.95691,0.0053,0.0001852,0.0001852,0.0001852
28,766.893,1.65762,1.77586,0.00434,0.75356,0.60069,0.67561,0.27455,1.76991,1.89587,0.00527,0.0001654,0.0001654,0.0001654
29,794.005,1.59182,1.67484,0.0043,0.75604,0.61961,0.69204,0.27332,1.72879,1.94625,0.00506,0.0001456,0.0001456,0.0001456
30,821.081,1.71913,1.6782,0.00445,0.75439,0.61605,0.69778,0.28072,1.67774,1.91387,0.00484,0.0001258,0.0001258,0.0001258
31,848.041,1.60069,1.62155,0.00409,0.75678,0.63758,0.71047,0.28201,1.70567,1.84384,0.00498,0.000106,0.000106,0.000106
32,875.155,1.64265,1.6135,0.00434,0.74848,0.64268,0.71497,0.28042,1.73194,1.8196,0.00507,8.62e-05,8.62e-05,8.62e-05
33,902.207,1.63777,1.57562,0.0042,0.75406,0.64623,0.71991,0.28173,1.74793,1.77074,0.00514,6.64e-05,6.64e-05,6.64e-05
34,929.36,1.60334,1.57719,0.00418,0.73551,0.66827,0.72171,0.28432,1.74003,1.78237,0.00508,4.66e-05,4.66e-05,4.66e-05
35,956.5,1.72255,1.72174,0.0046,0.75182,0.66811,0.72181,0.28717,1.73797,1.77567,0.00507,2.68e-05,2.68e-05,2.68e-05
